,comentario,etiquetado_humano
165,maquillaje del bienestar,2.0
166,,3.0
167,me da risa gobierno ridculo que el mundo se entere como nos tienen,1.0
168,que elegancia la de juuuuuaaaatttt,3.0
169,lo q no sabes es q esas goteras son parte de los adornos,3.0
170,nmmn hasta ahorita se dan cuenta si desde que empezaron ya se saba que no iban a terminar,3.0
171,falto pintura morada,3.0
172,jajajajajaajajaa es neta que pusieron eso en el metro no mms,3.0
173,,3.0
174,esta quedando con madre la escenografa,4.0
175,a que partido te vendiste cunto te pagaron,3.0
176,yo ayer en la estacin hidalgo esperando el metro viendo como goteaba el techo,3.0
177,y las calles y carreteras como para cuando,2.0
178,me recuerda aquel conocido refrn candil de la calle oscuridad de la casa,3.0
179,renuncia clara brugada,1.0
180,la primera seora tiene toda la razn,3.0
181,el metro es subterrneo y est en medio de un tnel de bajo de la tierra y todas las lneas del metro son as,3.0
182,jajjajajaj,3.0
183,me da risa,3.0
184,no s porque permitimos estos desfalcos innecesarios cuando en el pas hay otras prioridades entonces si hay presupuesto pero el gobierno de no lo suelta porque le vale madres el pas y su gente,1.0
185,que t valgaa,1.0
186,solo por el mundial,2.0
187,de hecho pense que era el unico que se dio cuenta del tema me da risa,3.0
189,no gracias,1.0
190,cmo si con pintura y loseta nueva fueran a avanzar ms rpido los trenes,2.0
191,eh ey ey porque no hay un ajolote ah y por qu no est pintado de morado,3.0
192,ningn chile les embona que si est en reparacin que si esto que si el otro que por qu mejor no lo cierran que por qu lo cierran sabes realmente que el metro jams puede parar su servicio ya que es el trasporte de millones de personas y el darle un mantenimiento muy profundo requiere de mucho tiempo ahora el metro est fuera de servicio desde las 0 00 hasta las 05 00 am en 5 horas diarias es imposible dar mtt muy profundo,4.0
193,y las coladeras trampa para cuando,2.0
194,y no sera mejor que den mantenimiento o modernicen los semforos de la ciudad,2.0
195,que metro es,3.0
196,nmms nada les embona,4.0
197,dejaron las fuentes modernas,3.0
198,la primera seora tiene toda la razn,3.0
199,y justificaron millones de pesos gastados me da risa,2.0
200,gobierno,3.0
201,yujuuuu para los choferesde app me da risa,
202,saldrn con la excusa de q era una remodelacion muy aparte del mundial,
203,,
204,puro gasto intil,
205,un nuevo crusing,
206,cuando estaba lloviendo yo una vez me iba a caer a las vas por que me resbal por evitar esas tablas,
207,nada nos parece,
208,como no siempre se necesita los baos pblicos,
209,nada les embona,
210,el metro necesita mantenimiento no lmparitas bonitas,
211,ese gasto es inesesario porque despus de unos meses no le van a dar mantenimiento y aparte eso requiere de sanitizacin,
212,mejor que recojan realmente la basura que hay en las calles,
213,te imaginas cuanto supuestamente gastaran en arreglar nadamas una parte as v diran q ocupan unos cuantos billones y an as haber si queda v pq es difcil yo digo pero an as v en una de esas por la humedad pierde sus propiedades para cargar tanto peso para el q fue diseado y sacas q se caiga mms,
214,que elegancia la de francia y las goteras pa,
215,mejor q arreglen los elevadores y las escaleras elctricas del metro y metrobus,2.0
216,ni hay agua,
217,hasta eso les van a quitar a los comerciantes,
218,s se quejan cuando el metro cerr para la remodelacin visual ahora si tuvieran que reparar todo desde cero imagnense estuvieran peor,
219,no nada ms por el mundial todos esos sanitarios los deberan de poner en cada transborde de las lneas del metro de la cdmx,
220,ojal las personas que viven en las calles no se adueen de los baos y las conviertan en su hogar,
221,porque no ponen botes de basura en toda la ciudad y arreglen todos los el pavimento y tuberas de agua,3.0
222,estan como cuando se les esta botando la pintura porque tienen humedad en las paredes y dicen que poniendoles sellador y una pintadita queda bien,
223,muchas gracias por tu reporte joaquin,
224,la apuesta es que no llueva en el mundial,
225,las estupideces de los gobiernos de morena no tienen lmites,
226,esos sanitarios se saldrn de control estar apestosos,
227,gobernado por morena,
228,3 mil millones de pesos costaron seguramente y se embolsaron ms de la mitad y van a costar ms de 30 pesos el acceso,
229,este gobierno pura estupidez,
230,es una cascada muy top muy fina para que cualquiera le vea el potencial muy como en dubai,
231,se pasaron yo me imaginaba ms moderno el metro que iba a quedar pero no as,
232,puras apariencias,
233,mejor inviertanle ms al metro porque siento que cada vez est peor,
234,y las escuelas y hospitales para cuando,
235,,
236,me da risa,
237,n necesito q vayas,
238,lnea 1 tiene puros plafones oxidados por humedad rubalcaba tambin nosotros maltratamos las estaciones con humedad,
239,y si mejor arreglan los hospitales ponen mas camas por que nunca hay dan medicamentos e insumos,2.0
240,dios ya quitales el poder,
241,no lo entiendes es el toque de humildad que todo burgus necesita,
242,shhhaaale,
243,gobierno ignorante mejor que arreglen las goteras,
245,si estuvo bn siempre me ando cagando en los baos,
246,y los hospitales hasta sin reactivos para hacer un laboratorio de gabinete bsico,
247,,
248,que burla como todo en este gobierno,
249,la gente dice no me gustan prefiero cagar en una bolsa,
250,es la gealidad dul tegceg monde chingona la decoracin y el servicio de calidad para cuando,
251,me da risa es para sentir q estas en venecia entre lujos y agua,
252,,
253,,
254,siento que no lo van a terminar y van a usar el pretexto de que en realidad las reparaciones no eran para el mundial sino para el pueblo bueno,
255,,
256,para puro turista y los ricos,
257,cmo si valiera la pena,
258,estn buenos para el cruising,4.0
259,si lo terminan pero quedarn muchos detalles,
260,no me reuso a usar algo que dejo el malvado don porfirio sarcasmo perdoneme don profirio por cierto la lampara combina con la cinta aguas con la pared y las aguas en los techos,
261,si el peor gobierno bola de corruptos miserables,
262,se hizo rpido la remodelacin nunca dijimos que bien,
263,eso es normal son filtraciones de agua por que es subsuelo,
264,clara y si mejor arreglas los baches y pones mayor seguridad es lobque necesitamos,
265,y las cascadas y goteras para cuando,
266,mejor la ajolotera esa que vea los baches caray,
267,y la lnea a cuando ah no que a iztapalacra no vienen turistas,
268,y si mejor nos ponen ms seguridad,
269,,
270,toma taxi,
271,al rato va a estar abandonado sucio y con basura,
272,mejor no hagan nada,
273,y si mejor lo cancelan,2.0
274,pasara lo que con los bebederos en los metros solo el gasto y ya,
275,las fugas pa cuando,
276,lo peor cuando pase el mundial lo van a dejar as los creo muy capaces,
277,inviertan o no siguen jodiendo todo les molesta que horror,
278,no al mundial por el ebola,
279,cuantos millones costaran esos candelabros de temu,
280,no alcanzo el presupuesto para hacerlo bien,
281,siguen las simulaciones hicieron como que remodelaron y a la primera de las lluvias ven lo obvio lo mal hecho,
282,es para que sientas que vas caminando con luz de los candelabros bajo la lluvia al puro estilo europeo,
283,son cascadas para dar el toque de la francia de los grandes jardines con fuentes,
284,pero si ya existe reforma 22,2.0
285,al chile que bueno,
286,hay prioridades quedar bien en el mundial,
287,creo que en portales van poner como tipo pista de baile,
288,esas madres ni van a durar 6 meses,
289,neta hay cosas ms necesarias,
290,esas goteras tienen tanto tiempo qu ya dao el cemento del piso se nota en la huella,
291,me recuerda a las mams no todas cuando va a llegar una visita limpian toodo a fondo la mejor vajilla los manteles mas lindos copas etc pero cuando no hay visitas usan la vajilla ya despostillada los vasos desiguales los manteles viejitos etc algo asi esta pasando pero a gran escala,
292,puro gasto infructuoso pero bueno como no es su dinero,
293,y las inundaciones fuera del metro ni se diga,
294,v un meme de esos candelabros y pens que era una broma y no si pusieron,
295,,
296,ya quiero ver el costo al que se los vendieron a brugada,
297,por qu quieren aparentar lo que no es,
298,las prioridades del metro estn igual a mi economa,
299,puesi q ganan con gastar dinero en eso con quin quieren quedar bien y eso es poco por loq hayq hacer por los metros hospitales parques xxxxxx,
300,el auditorio ayer todo pareca la esperanza pero sin luz no mmn,
301,no words,
302,les digo que este gobierno es una,
303,como el mismo gobierno se roba la luz,
304,15 das y ya hicieron su mmda te apuesto que ni lo van a terminar y lo van a dejar a medias,
305,yo solo juzgamos y juzgamos como si fuwramos perfectos avwces si hay gente que cae mal se creen perfectos,
306,cmo no un parchecito por aqu otro parchecito por all y nadie ve los daos sarcasmo,
307,uffas nuevos lienzos,
308,me da risa no mms,
309,es para darle el estilo vintage,
310,no no no solo ve los candelabros,
311,parece zona de guerra,
312,lo peor esq las paredes de mrmol las pusieron por encima de la pared de antes,
313,un poco de pintura lila y queda como nuevo,
314,y como pa que fue eso de los candelabros,
315,,
316,normal diran que entre en calendabro y la pinta dirn que costo 9 5 millones de dlares para justificar no te espantes,
317,debieron empezar desde el ao pasado pero siempre procastinan,
318,pues yo una ves me cague para m est bien,
319,la desventaja que el gobierno liber los recursos a finales de marzo 2026,
320,no roban la energa ya est la instalacin de cfe solo faltan los medidores eso pasa hasta en las casas no lo instalan de inmediato,
321,mejor deberan de ocupar ese presupuesto k gastaron en otras cosas k hacen falta para los k aqui vivimos,
322,estn construyendo baos para el mundial pero no arreglan los baches o las fugas de agua de hay en la cuidad,2.0
323,me da risa si donde quiera hay goteras y eso que an no llueve en serio,
324,uno que otro usuario del metro,
325,para eso si ah lana no pero para que aya agua y pavimenten para eso no ah que poca tienen,
326,para que no los abran como los elevadores en puentes y metro,
327,exacto es lo que digo ese dinero que se gastaron millones de pesos en remodelaciones piteras que no eran necesarias y las vas los trenes las instalaciones elctricas las goteras la humedad lo que s es necesario,
328,no son goteras es una fuente natural,
329,est presidenta creo que estamos en el siglo 16 ya que siempre le echa la culpa a los opositores me da risa me da risa,
330,,
331,pea nieto se te extraa,
332,sin mantenimiento estarn en cuanto acabe el mundial,2.0
333,todo lo que gastan deberan de aumentar las pensiones de los s trabajadores del imss ni al mnimo llega,
334,cdmx es bien random,
335,no entendien que entre mas gente vengas mas gente deja su dinero aqu en mexico,
336,restos del prian,
337,en tres meses va estar alguien afuera de cada bao vendiendo dulces y cobrando 7,
338,la gente ni lo va saber usar,
339,ningn chile les embona,
340,,
341,,
342,seguro gastaron ms de 5 millones por sanitario,
343,nmmn llueve mas adentro que afuera,
344,jajajjajaj,
345,maana lo pintan de morado,
346,me imagino que habr mucha gente de limpieza para todo lo que piensan poner,
347,salgo del metro puebla y no esta puebla dia 8 pidiendo este,
348,un mega desmadre,
350,,
351,creo que no se puede impermeabilizar la calle o si alguien puede decir que se puede hacer con su infinita inteligencia,
352,como que hacen eso para molestar a ciudadanos,
353,de q hay personas q nada les va,
354,ah uno en revolucin,
355,deberian llamarle estacion fuentes brotantes,
356,yo le doy 1 mes que van a durar,
358,todos con telfono iphone en paguitos y recargas de 100,
359,yo no s para madres arreglaron tantas estaciones y solo en lo visual xq lo verdadero importante q son las grietas como ests o los trenes,
360,eso es lo que deberan de arreglar las filtraciones de agua entre otras cosas,
361,a mi si me sirve si me ando cagando es entrandole jejeje,
362,hecho en mxico,
363,es decoracin para el da de muertos pues que no estn chig y chig que con tiempo se hace todo jjj,
364,se van a meter a dormir ah los que viven en la calle por ah,
365,y el bola ama centros de contagio seguro,
366,nada les parece los baos pblicos son tiles en todos lados a m me ha pasado que tengo la urgencia de hacer mis necesidades como todo el mundo y no hay ni dnde ya ah anda uno buscando una gasolinera o algn lugar en donde se pueda hacer sus necesidades y no hay ninguno,
367,oooh todo quieren me da risa,
368,,
369,muy bien lo que dijo la seora,
370,qpkm tiene el gobierno habiendo tantas pinches necesidades en el pas y gastan en esto,
371,por que no arreglan las avenidas principales no que hay un buen de baches y la delincuencia cada dia esta peor,
372,seores no han visto la regadera que puso para lavar los trenes,
373,creo que el transporte demanda solucin real en otros temas,
374,el claro ejemplo de que ningun chile les embona,
375,me da risa,
376,y si en los centros de salud nos dan sillas dignas para trabajar y material,
377,que ve vea 191,2.0
378,pens que lo de los candelabros era broma,
379,exacto todas las estaciones estn en muy malas condiciones esto son solo parches sus candelabros puro desperdicio de dinero,
380,desde que pasas los torniquetes,
381,,
382,el metro y la cuidad necesitan mantenimiento preventivo y correctivo no solo pintura el pas necesita educacin y todos necesitamos ms cultura tamos bien mal todos y todo,
383,lo primero era arreglar los problemas que tenia tuvieron 4 aos para hacerlo,
384,tranquila ahorita lo pintan de morado y le ponen un ajolote,
385,telediariomx ya sabemos el destino de estos sanitarios pblicos quedaran en el abandon u operando en precarias e insalubres condiciones,
386,tienen que aceptar que el problema no es solo el gobierno tambin la gente si el metro lo hubieran arreglado antes ya estara todo pintado y maltratado,
387,composturas del bienestar,
388,claudia sheinbaum pardo partido morena,
389,y si mejor le dan el presupuesto a las escuelas y hospitales,
390,que bueno xq luego uno se handa c g nd y no hay dond tirarse el key,
391,dinero desperdiciado,1.0
392,pues que bueno porque mi trabajo es en campo y luego no encuentro baos,
393,,
394,o su restauracin del metro auditorio y el resto de la lnea horrorosa,
395,una prueba mas de que es una porquera este gobierno,
396,para que despus huela horrible,2.0
397,alch que bueno,
398,que hartazgo con este gobierno,
399,ya lo sabamos wey ntp,
400,es parte del arte y el surrealismo que tiene est obra,
401,el aicm est igual no van a terminar,
402,aqu aplica la de barrieron nomas por donde pasa la suegra jajajajjajaja,
403,ay s y en unos meses va costar me da risa,
404,entonces si es muy parecido al titanic,
405,camara contraten ms especialistas en los hospitales,
406,,
407,ya me imagino esos baos cerrados como los baos del metro bus teniendo que buscar a algn polica para que te pueda abrir,
408,lo remodelo bis chungus,
409,no s no me convence es un estilo moderno clasico futurista mexicano ajolotes minimalista,
410,son fuentes hermosa es parte del estilo antiguo,
411,,
412,ay que si ya te escuchamos,
413,la gente nada les gusta y todo critican,
414,y pensar que para estas cosas me voy a dar de alta en el sat que coraje,
415,lo que van a durar,
416,sus candelabros de temu y su papel tapiz hoy en da por eso todos tenemos mrmol en las paredes por qu nos cuesta 60 pesos el metro y viene en rollo de 10 metros lo malo que en el recibo van a poner candelabros forjados en italia y mrmol trado de la minas de no s total 500 millones,
417,es un gasto innecesario para la capital apuesto que pasa el mundial y los van a cerrar y jams van a estar en funcionamiento,1.0
418,,
419,si we pero hay cosas ms importantes que pintar metros para el mundial si no estuvieran arreglando tambin se quejaran jajajaj,
420,apenas le toc a mi nio en pediatra y no haba camas solo casos graves les asignaron los dems en sillas estaban canalizados en batita cansados de madrugada que difcil situacin del pas deberan invertir esos temas ya que todos los mexicanos aportamos para eso,
421,solo si te fijas michojajajajaja,
422,si los baos del metro siempre estn cerrados,
423,o es una o es otra cosa para las dos no alcanza,
424,es la transformacin de 4ta,
425,jajajajajajq no mmen,
426,y se sigue parando el metro a veces v,
427,muchas falta de mantenimiento para que los candelabros,
428,sin palabras,
429,y cunto cost la suavicrema sea el monumento a la corrupcin y para que sirve,
430,y de hecho si llega a ganar en el siguiente pri o pan estar igual no cambiar nada eso es un hecho el metro est igual de siempre entonces cul es la sorpresa ana si todos mienten ms bien ustedes que creen,
431,que absurdo,
432,y si mejor empieza por los baches que hay en toda la ciudad y las calles tan en mal estado,
433,termina mal,
434,yo no entiendo por qu subes esto es obvio que lo van a arreglar ni modo que se quede as,
435,es que a presin sale todo mejor,
436,por aos mme y mme que pusieran baos pblicos y ahora que los ponen siguen mmdo,
437,,
438,se pasan todo horrible,
440,l hazme rer para el mundo entero,
441,me da risa la tubera el reloj y el letrero entre otros me da risa,
442,es que es como el titanic ya se est hundiendo,
443,estuvo sper bien me agrada la idea,
444,en eso gastan los impuestos,
445,es parte bro es una mezcla de arte antiguo con arte moderno aestetic,
446,lo malo es q la gente no cuida las cosas,
447,,
448,pero ya esa estacin es te etiqueta,
449,muchos faroles y candelabros y las goteras que,
450,ptm nada pueden hacer bien la 4t,
451,el que busca que hacer siempre va a encontrar y sobre todo cuando se descuido el metro pero con el cuidado que le demos estaremos ms que satisfechos,
452,que buena observacin entonces que cierre el metro el tiempo necesario para que arreglen todo y los usuarios empiecen a pagar sus taxis,
453,exacto y lo que deberan de arreglar no lo arreglan,
454,as decamos del azteca,
455,pena ajena este gobierno en verdad,
456,mejor pongan botes de basura,
457,no puede ser que terrible un metro con 70 aos le encontraron humedad devuelvan todo a como estaba,
458,,
459,y los medicamentos en insumos en los hospitales para cuando,2.0
460,sper bien por que se ocupan luego te andan multando por orinar pero tampoco no hay baos cercanos,
461,eso tiene aos nadie ha hecho nada para reparar las filtraciones,
462,mxico no est preparado para ese tipo de infraestructura,
463,,
464,no bro es que ahora estamos hablando de ftbol,
465,es que la gente por que no entiende que es mas importante que se vea bonito a que funcione bien,
466,cmo me imagino que paso x seor hay filtraciones y goteras no cree que es mejor arreglar eso x no quiero que pongas mis candelabros que tenga esas vibes de la realeza,
467,las calles con pinches coladeras destapadas baches y hoyos por,
468,lo que pasa es que amlo no estaba seguro de que ganara las elecciones del 2024 y obvio no iba a hacer algo que otros gobiernos iba a terminar cuando gano claudia ahora si se pusieron a hacer las cosas se le llama mezquindad,
469,no hay medicina en los hospitales pero esto es importante,
470,se quejan pero no cuidan las cosas,
471,si se hubiera remodelado hace un par de aos ya lo hubieran destruido,
472,me da risa es parte de la atraccin,
473,arruinaron la lnea azul,
474,servirn para el crujin,
475,as como los elevadores del metro metrobus inservibles que solo estn arreglando por el mundial,
476,lo que t no entiendes es que son las famossimas grutas del antiguo d f,
477,wey que bueno que van a notar baos luego me ando cagando y no encuentro algo rpido,
478,pues no creo que los que vengan a ver el mundial entren alos baos,
479,yo esperando el metro jajajjaa la goteras me da risa,
480,de los trenes ni hablamos,
481,me da risa,
482,cmo siempre obras de 4ta,
483,no lo hicieron antes porque sabiendo como somos los mexicanos no iba a durar ni el ao,
484,awebo otro lugar para embarrar todo gracias mxico,
485,los partidos de ftbol del mundial se van a jugar en los estadios no en el metro,
486,los nuevos hoteles econmicos,
487,tambin pinche gente quiere que le hagamos todo el pueblo tambin es el reflejo del gobierno,
488,todos esperando,
489,con que presupuesto de mugre le van a dar mantenimiento electricidad de donde quien va a pagar eso todos van a baos publicos sin costo,
490,fui a mi centro de salud zona amecameca y no hay medicamentos desde hace un mes pero qu tal esto,
491,,
492,me da risa me encanta pura pantalla mundialista,
493,van a ser todo menos baos me da risa,
494,la lnea uno trenes nuevos tren ligero nuevo trolebuses nuevos camiones nuevos el metro a un te cuesta 5 pesos y te quejas jijijiji,
495,me da risa pues como siempre no ms nos dan atole con el dedo y as varias estaciones con fugas de agua,
496,no era necesario hacer tanto desmadre para 5 partidos moleros que va ver en el 86 en neza hubo 3 partidos del mundial y las calles aledaa al estadio no tena ni pavimento solo la principal,
497,pues no lo uses con tus 5 00 vete en uber,
498,en lugar de baos alumbrado baches,
499,y si mejor se cancela el mundial por el brote de el bola mxico no est preparado para algo as y la presidenta lo est minimizando,
500,ya hicieron el mega gasto cuiden las cosas,
501,,
502,hay esos baos desde hace aos en paris por ejemplo,
503,eso no estaba en el presupuesto jijijijjii,
505,yo creo que y quieren subir el metro par pagar esos lujos,
506,hay presencia de humedad en esa rea y es precisamente porque la cdmx se est hundiendo s que no lo van a comprender lo ms simple es decirles que eso no se va a ir,
507,ni mundial debera de a ver as como est la situacin de las enfermedades que se estn propagando,
508,que la gente los cuide,
509,es que es parte de la decoracin,
510,a mi si me gustara pero en puntos estratgicos donde no all baos porque por ejemplo en el trole elevado haria falta y deberan de poner varias no slo en donde ser el mundial,
