comentario,etiquetado_humano,categoria
pero dicen no lo hubieran cuidado antes y cuando han visto todo grafiteado y lleno de basura el metro los daños que tiene el metro en general son debido al uso de millones de personas y de años sin mantenimiento alguno,4.0,infraestructura
las nuevas cabinas de los,3.0,infraestructura
me da risa dios quiera que llueva en los partidos del mundial para que mundo se dé cuenta de lo que vivimos diario entre tráfico inundaciones y goteras,2.0,infraestructura
el gobierno es un chiste,1.0,infraestructura
2 semanas faltan,3.0,infraestructura
lo peor del caso es que lo van a terminar meses después y no le van a volver a meter mano hasta que suceda una tragedia tipo l 12,2.0,infraestructura
quieren tapar la realidad como el sol con un dedo,2.0,infraestructura
está bien porque sale más caro la multa por orinar en publico,4.0,infraestructura
se pasan que es para que el mundo no vea como se cae el país a pedazos ya todo mundo sabe,2.0,infraestructura
la gente nunca cuida nada asi que,2.0,infraestructura
yo creo que usarán el poder mexa dejar todo para el día de entrega de la tarea y sacar 6,3.0,infraestructura
todo tiene filtraciones y mejor hubieran comprado más trenes y arreglado el cableado,3.0,infraestructura
deberían repavimentar buscar calles que están en condiciones deplorables eso nada más es desvió de recursos,2.0,infraestructura
y cuando pasen los 15 minutos se queda encerrado,3.0,infraestructura
en lugar de gastar en tonterías deberían dar mantenimiento real al metro,2.0,infraestructura
exactamente esas goteras son de miedo hace unas semanas pasé por la estación pino suárez y justo en el tramo de la correspondencia se vino una parte del techo acompañada de agua y cascajo en allende se vinieron unas vigas y a gente que iba bajando otras subiendo les cayeron encima las vigas lo de menos es lo espantoso que están dejando las estaciones si no el peligro al que a todos nos está exponiendo el gobierno obvio un ingeniero lo puede explicar mejor pero lo que han hecho es tanto como quitarle el alma a un zapato qué dios nos cuide a todos,1.0,infraestructura
uyyy y cuanto le costará a los de la cdmx esos baños serán permanentes o solo por lo del mundial,2.0,infraestructura
ya le quitaste el encanto,2.0,infraestructura
para que todo cambie se tiene que empezar desde nosotros desde el pueblo pero lastimosamente tanto el gobierno como las personas son un problema claro no todas pero la delincuencia la mala gente todo eso no lo podemos evitar de un día para otro triste lo de este país tan hermoso pero a la vez tan malo,1.0,infraestructura
méxico mágico,3.0,infraestructura
obviamente no van acabar hijo,2.0,infraestructura
y gasto miles de millones,2.0,infraestructura
para que después lo sirvan para nada,2.0,infraestructura
es propio del estilo renacentista,3.0,infraestructura
por 5 pesos que esperas que te den una botella de agua y un aperitivo,4.0,infraestructura
algo no cuadra,3.0,infraestructura
siiii para un rapidín,3.0,infraestructura
mejor que pongan más cámaras de seguridad,1.0,infraestructura
hay que hablar de esto ruvalcaba,3.0,infraestructura
nuevo spots para stickers,3.0,infraestructura
cuánto a que los olvidan y después ni van a servir,2.0,infraestructura
su gobierno que no invierte en las verdaderas necesidades de del país que se gasta el recurso en los viajes de su bancada,1.0,infraestructura
me parecen bien porque al final también nosotros los vamos a poder ocupar pero si está ahí el detalle de su mantenimiento,4.0,infraestructura
qué horror,1.0,infraestructura
cómprate tu carro para no padezcas esos inconvenientes y viajes como mejor te plazca,3.0,infraestructura
en otros países hay baños públicos de alta tecnología nosotros los necesitamos no estamos preparados para tenerlos no méxico siempre corriendo antes de caminar,3.0,infraestructura
que estupidez me da risa,1.0,infraestructura
por todo se quejan comprense su carro mejor yo voy bien cómoda jsjsjsj,3.0,infraestructura
los hubieran puesto 1 dia antes la gente no cuida nada a ver como quedan después,1.0,infraestructura
que pena da que su preoridad sea poner sanitarios que insumos y medicamentos en los hospitales,2.0,infraestructura
como los baños de la línea 12 que están clausurados,3.0,infraestructura
y nomas deja que llueva y se veran mas chidas las fuentes,2.0,infraestructura
para que cobren 10 como ahora ya en muchos lugares sucios y el papel aparte,1.0,infraestructura
y pregunta cuánto costara,3.0,infraestructura
buena iniciativa,5.0,infraestructura
gente tendremos titanic 2 en méxico claro que si próximamente en envivos de tik tok,3.0,infraestructura
que arreglen las calles,2.0,infraestructura
de verdad esperaban algo distinto lo hizo la 4 deformación,1.0,infraestructura
las goteras del bienestar,2.0,infraestructura
son faroles y de hecho tienes razón lo que debieron remodelar no lo hicieron,2.0,infraestructura
la cfe robándole a la nación de la cfe,2.0,infraestructura
y si mejor tapan los baches y invierten en seguridad,1.0,infraestructura
es que esa es la fuente bro que no estás viendo,1.0,infraestructura
la del zócalo está de la vrga ni abierta estaba,1.0,infraestructura
mejor que inviten los boletos para la final de cruz azul vs pumas,3.0,infraestructura
los candelabros de la época de porfirio díaz,3.0,infraestructura
pues ya lo hubiera dejado en 5pesos,3.0,infraestructura
se ve más económico,3.0,infraestructura
que oso pero dudo que la gente que pueda pagar un boleto para el mundial se traslade en metro me da risa,3.0,infraestructura
cuando realizarán algo bien,1.0,infraestructura
gastan en puras tonterías y lo que deben hacer no lo hacen gobierno de 4ta,1.0,infraestructura
apoco si creían que morena iba a hacer obras de calidad ya maduren,1.0,infraestructura
dicen los gobernantes que para el próximo mundial sin falta,3.0,infraestructura
esto es una locura de corrupción clara brugada ciudad de méxico,1.0,infraestructura
15 días tienen,3.0,infraestructura
lo vi en,3.0,infraestructura
que caray no duró ni para el mundial,2.0,infraestructura
la cosa es que van a entregar y así lo van a dejar para el siguiente,3.0,infraestructura
recuerden mis palabras después del mundial no van a funcionar regularmente,2.0,infraestructura
es una vergüenza,1.0,infraestructura
remodelacion a medias igual que en las calles de la cdmx,2.0,infraestructura
también colocaron cascadas artificiales instalaciones de primer nivel,2.0,infraestructura
en auditorio apenas la van a terminar y quedó mejor que bellas artes,3.0,infraestructura
como dice la señora solo va a ser por el mundial después hasta van a cobrar,1.0,infraestructura
así es ocapa brukk,3.0,infraestructura
alch q bueno que no quede,1.0,infraestructura
la primera marcha en la que se les ocurra voltear a ver los candiles lámparas o vitrales y ya era el metro se debe planear para lo que es mover masivamente a gente de manera segura y eficiente esto no abona a esa misión,3.0,infraestructura
ya después los quitan me da risa,3.0,infraestructura
nada les embona,4.0,infraestructura
había ofertas en galerías el triunfo,3.0,infraestructura
2 semanas,3.0,infraestructura
maquillaje del bienestar,2.0,infraestructura
me da risa gobierno ridículo que el mundo se entere como nos tienen,1.0,infraestructura
que elegancia la de juuuuuaaaatttt,3.0,infraestructura
lo q no sabes es q esas goteras son parte de los adornos,3.0,infraestructura
nmmn hasta ahorita se dan cuenta si desde que empezaron ya se sabía que no iban a terminar,3.0,infraestructura
falto pintura morada,3.0,infraestructura
jajajajajaajajaa es neta que pusieron eso en el metro no mms,3.0,infraestructura
esta quedando con madre la escenografía,4.0,infraestructura
a que partido te vendiste cuánto te pagaron,3.0,infraestructura
yo ayer en la estación hidalgo esperando el metro viendo como goteaba el techo,3.0,infraestructura
y las calles y carreteras como para cuando,2.0,infraestructura
me recuerda aquel conocido refrán candil de la calle oscuridad de la casa,3.0,infraestructura
renuncia clara brugada,1.0,infraestructura
la primera señora tiene toda la razón,3.0,infraestructura
el metro es subterráneo y está en medio de un túnel de bajo de la tierra y todas las líneas del metro son así,3.0,infraestructura
jajjajajaj,3.0,infraestructura
me da risa,3.0,infraestructura
no sé porque permitimos estos desfalcos innecesarios cuando en el país hay otras prioridades entonces si hay presupuesto pero el gobierno de no lo suelta porque le vale madres el país y su gente,1.0,infraestructura
que t valgaa,1.0,infraestructura
solo por el mundial,2.0,infraestructura
de hecho pense que era el unico que se dio cuenta del tema me da risa,3.0,infraestructura
no gracias,1.0,infraestructura
cómo si con pintura y loseta nueva fueran a avanzar más rápido los trenes,2.0,infraestructura
eh ey ey porque no hay un ajolote ahí y por qué no está pintado de morado,3.0,infraestructura
ningún chile les embona que si está en reparación que si esto que si el otro que por qué mejor no lo cierran que por qué lo cierran sabes realmente que el metro jamás puede parar su servicio ya que es el trasporte de millones de personas y el darle un mantenimiento muy profundo requiere de mucho tiempo ahora el metro está fuera de servicio desde las 0 00 hasta las 05 00 am en 5 horas diarias es imposible dar mtt muy profundo,4.0,infraestructura
y las coladeras trampa para cuando,2.0,infraestructura
y no sería mejor que den mantenimiento o modernicen los semáforos de la ciudad,2.0,infraestructura
que metro es,3.0,infraestructura
no me gusta nada les embona,4.0,infraestructura
dejaron las fuentes modernas,3.0,infraestructura
la primera señora tiene toda la razón,3.0,infraestructura
y justificaron millones de pesos gastados me da risa,2.0,infraestructura
gobierno,3.0,infraestructura
yujuuuu para los choferesde app me da risa,,infraestructura
saldrán con la excusa de q era una remodelacion muy aparte del mundial,,infraestructura
puro gasto inútil,,infraestructura
un nuevo crusing,,infraestructura
cuando estaba lloviendo yo una vez me iba a caer a las vías por que me resbalé por evitar esas tablas,,infraestructura
nada nos parece,,infraestructura
como no siempre se necesita los baños públicos,,infraestructura
nada les embona,,infraestructura
el metro necesita mantenimiento no lámparitas bonitas,,infraestructura
ese gasto es inesesario porque después de unos meses no le van a dar mantenimiento y aparte eso requiere de sanitización,,infraestructura
mejor que recojan realmente la basura que hay en las calles,,infraestructura
te imaginas cuanto supuestamente gastarían en arreglar nadamas una parte así v dirían q ocupan unos cuantos billones y aún así haber si queda v pq es difícil yo digo pero aún así v en una de esas por la humedad pierde sus propiedades para cargar tanto peso para el q fue diseñado y sacas q se caiga mms,,infraestructura
que elegancia la de francia y las goteras pa,,infraestructura
mejor q arreglen los elevadores y las escaleras eléctricas del metro y metrobus,2.0,infraestructura
ni hay agua,,infraestructura
hasta eso les van a quitar a los comerciantes,,infraestructura
sí se quejan cuando el metro cerró para la remodelación visual ahora si tuvieran que reparar todo desde cero imagínense estuvieran peor,,infraestructura
no nada más por el mundial todos esos sanitarios los deberían de poner en cada transborde de las líneas del metro de la cdmx,,infraestructura
ojalá las personas que viven en las calles no se adueñen de los baños y las conviertan en su hogar,,infraestructura
porque no ponen botes de basura en toda la ciudad y arreglen todos los el pavimento y tuberías de agua,3.0,infraestructura
estan como cuando se les esta botando la pintura porque tienen humedad en las paredes y dicen que poniendoles sellador y una pintadita queda bien,,infraestructura
muchas gracias por tu reporte joaquin,,infraestructura
la apuesta es que no llueva en el mundial,,infraestructura
las estupideces de los gobiernos de morena no tienen límites,,infraestructura
esos sanitarios se saldrán de control estará apestosos,,infraestructura
gobernado por morena,,infraestructura
3 mil millones de pesos costaron seguramente y se embolsaron más de la mitad y van a costar más de 30 pesos el acceso,,infraestructura
este gobierno pura estupidez,,infraestructura
es una cascada muy top muy fina para que cualquiera le vea el potencial muy como en dubai,,infraestructura
se pasaron yo me imaginaba más moderno el metro que iba a quedar pero no así,,infraestructura
puras apariencias,,infraestructura
mejor inviertanle más al metro porque siento que cada vez está peor,,infraestructura
y las escuelas y hospitales para cuando,,infraestructura
me da risa,,infraestructura
n necesito q vayas,,infraestructura
línea 1 tiene puros plafones oxidados por humedad rubalcaba también nosotros maltratamos las estaciones con humedad,,infraestructura
y si mejor arreglan los hospitales ponen mas camas por que nunca hay dan medicamentos e insumos,2.0,infraestructura
dios ya quitales el poder,,infraestructura
no lo entiendes es el toque de humildad que todo burgués necesita,,infraestructura
shhhaaale,,infraestructura
gobierno ignorante mejor que arreglen las goteras,,infraestructura
si estuvo bn siempre me ando cagando en los baños,,infraestructura
y los hospitales hasta sin reactivos para hacer un laboratorio de gabinete básico,,infraestructura
que burla como todo en este gobierno,,infraestructura
la gente dice no me gustan prefiero cagar en una bolsa,,infraestructura
es la gealidad dul tegceg monde muy bueno la decoración y el servicio de calidad para cuando,,infraestructura
me da risa es para sentir q estas en venecia entre lujos y agua,,infraestructura
siento que no lo van a terminar y van a usar el pretexto de que en realidad las reparaciones no eran para el mundial sino para el pueblo bueno,,infraestructura
para puro turista y los ricos,,infraestructura
cómo si valiera la pena,,infraestructura
están buenos para el cruising,4.0,infraestructura
si lo terminan pero quedarán muchos detalles,,infraestructura
no me reuso a usar algo que dejo el malvado don porfirio sarcasmo perdoneme don profirio por cierto la lampara combina con la cinta aguas con la pared y las aguas en los techos,,infraestructura
si el peor gobierno bola de corruptos miserables,,infraestructura
se hizo rápido la remodelación nunca dijimos que bien,,infraestructura
eso es normal son filtraciones de agua por que es subsuelo,,infraestructura
clara y si mejor arreglas los baches y pones mayor seguridad es lobque necesitamos,,infraestructura
y las cascadas y goteras para cuando,,infraestructura
mejor la ajolotera esa que vea los baches caray,,infraestructura
y la línea a cuando ah no que a iztapalacra no vienen turistas,,infraestructura
y si mejor nos ponen más seguridad,,infraestructura
toma taxi,,infraestructura
al rato va a estar abandonado sucio y con basura,,infraestructura
mejor no hagan nada,,infraestructura
y si mejor lo cancelan,2.0,infraestructura
pasara lo que con los bebederos en los metros solo el gasto y ya,,infraestructura
las fugas pa cuando,,infraestructura
lo peor cuando pase el mundial lo van a dejar así los creo muy capaces,,infraestructura
inviertan o no siguen jodiendo todo les molesta que horror,,infraestructura
no al mundial por el ebola,,infraestructura
cuantos millones costarían esos candelabros de temu,,infraestructura
no alcanzo el presupuesto para hacerlo bien,,infraestructura
siguen las simulaciones hicieron como que remodelaron y a la primera de las lluvias ven lo obvio lo mal hecho,,infraestructura
es para que sientas que vas caminando con luz de los candelabros bajo la lluvia al puro estilo europeo,,infraestructura
son cascadas para dar el toque de la francia de los grandes jardines con fuentes,,infraestructura
pero si ya existe reforma 22,2.0,infraestructura
al chile que bueno,,infraestructura
hay prioridades quedar bien en el mundial,,infraestructura
creo que en portales van poner como tipo pista de baile,,infraestructura
esas madres ni van a durar 6 meses,,infraestructura
neta hay cosas más necesarias,,infraestructura
esas goteras tienen tanto tiempo qué ya daño el cemento del piso se nota en la huella,,infraestructura
me recuerda a las mamás no todas cuando va a llegar una visita limpian toodo a fondo la mejor vajilla los manteles mas lindos copas etc pero cuando no hay visitas usan la vajilla ya despostillada los vasos desiguales los manteles viejitos etc algo asi esta pasando pero a gran escala,,infraestructura
puro gasto infructuoso pero bueno como no es su dinero,,infraestructura
y las inundaciones fuera del metro ni se diga,,infraestructura
ví un meme de esos candelabros y pensé que era una broma y no si pusieron,,infraestructura
ya quiero ver el costo al que se los vendieron a brugada,,infraestructura
por qué quieren aparentar lo que no es,,infraestructura
las prioridades del metro están igual a mi economía,,infraestructura
puesi q ganan con gastar dinero en eso con quién quieren quedar bien y eso es poco por loq hayq hacer por los metros hospitales parques me da risa,,infraestructura
el auditorio ayer todo parecía la esperanza pero sin luz no mmn,,infraestructura
no words,,infraestructura
les digo que este gobierno es una,,infraestructura
como el mismo gobierno se roba la luz,,infraestructura
15 días y ya hicieron su mmda te apuesto que ni lo van a terminar y lo van a dejar a medias,,infraestructura
yo solo juzgamos y juzgamos como si fuwramos perfectos avwces si hay gente que cae mal se creen perfectos,,infraestructura
cómo no un parchecito por aquí otro parchecito por allá y nadie ve los daños sarcasmo,,infraestructura
uffas nuevos lienzos,,infraestructura
me da risa no mms,,infraestructura
es para darle el estilo vintage,,infraestructura
no no no solo ve los candelabros,,infraestructura
parece zona de guerra,,infraestructura
lo peor esq las paredes de mármol las pusieron por encima de la pared de antes,,infraestructura
un poco de pintura lila y queda como nuevo,,infraestructura
y como pa que fue eso de los candelabros,,infraestructura
normal diran que entre en calendabro y la pinta dirán que costo 9 5 millones de dólares para justificar no te espantes,,infraestructura
debieron empezar desde el año pasado pero siempre procastinan,,infraestructura
pues yo una ves me cague para mí está bien,,infraestructura
la desventaja que el gobierno liberó los recursos a finales de marzo 2026,,infraestructura
no roban la energía ya está la instalación de cfe solo faltan los medidores eso pasa hasta en las casas no lo instalan de inmediato,,infraestructura
mejor deberían de ocupar ese presupuesto k gastaron en otras cosas k hacen falta para los k aqui vivimos,,infraestructura
están construyendo baños para el mundial pero no arreglan los baches o las fugas de agua de hay en la cuidad,2.0,infraestructura
me da risa si donde quiera hay goteras y eso que aún no llueve en serio,,infraestructura
uno que otro usuario del metro,,infraestructura
para eso si ahí lana no pero para que aya agua y pavimenten para eso no ahí que poca tienen,,infraestructura
para que no los abran como los elevadores en puentes y metro,,infraestructura
exacto es lo que digo ese dinero que se gastaron millones de pesos en remodelaciones piteras que no eran necesarias y las vías los trenes las instalaciones eléctricas las goteras la humedad lo que sí es necesario,,infraestructura
no son goteras es una fuente natural,,infraestructura
está presidenta creo que estamos en el siglo 16 ya que siempre le echa la culpa a los opositores me da risa me da risa,,infraestructura
peña nieto se te extraña,,infraestructura
sin mantenimiento estarán en cuanto acabe el mundial,2.0,infraestructura
todo lo que gastan deberían de aumentar las pensiones de los s trabajadores del imss ni al mínimo llega,,infraestructura
cdmx es bien random,,infraestructura
no entendien que entre mas gente vengas mas gente deja su dinero aquí en mexico,,infraestructura
restos del prian,,infraestructura
en tres meses va estar alguien afuera de cada baño vendiendo dulces y cobrando 7,,infraestructura
la gente ni lo va saber usar,,infraestructura
ningún chile les embona,,infraestructura
seguro gastaron más de 5 millones por sanitario,,infraestructura
nmmn llueve mas adentro que afuera,,infraestructura
jajajjajaj,,infraestructura
mañana lo pintan de morado,,infraestructura
me imagino que habrá mucha gente de limpieza para todo lo que piensan poner,,infraestructura
salgo del metro puebla y no esta puebla dia 8 pidiendo este,,infraestructura
un mega desmadre,,infraestructura
creo que no se puede impermeabilizar la calle o si alguien puede decir que se puede hacer con su infinita inteligencia,,infraestructura
como que hacen eso para molestar a ciudadanos,,infraestructura
de q hay personas q nada les va,,infraestructura
ahí uno en revolución,,infraestructura
deberian llamarle estacion fuentes brotantes,,infraestructura
yo le doy 1 mes que van a durar,,infraestructura
todos con teléfono iphone en paguitos y recargas de 100,,infraestructura
yo no sé para madres arreglaron tantas estaciones y solo en lo visual xq lo verdadero importante q son las grietas como estás o los trenes,,infraestructura
eso es lo que deberían de arreglar las filtraciones de agua entre otras cosas,,infraestructura
a mi si me sirve si me ando cagando es entrandole jejeje,,infraestructura
hecho en méxico,,infraestructura
es decoración para el día de muertos pues que no están chig y chig que con tiempo se hace todo jjj,,infraestructura
se van a meter a dormir ahí los que viven en la calle por ahí,,infraestructura
y el ébola ama centros de contagio seguro,,infraestructura
nada les parece los baños públicos son útiles en todos lados a mí me ha pasado que tengo la urgencia de hacer mis necesidades como todo el mundo y no hay ni dónde ya ahí anda uno buscando una gasolinera o algún lugar en donde se pueda hacer sus necesidades y no hay ninguno,,infraestructura
oooh todo quieren me da risa,,infraestructura
muy bien lo que dijo la señora,,infraestructura
qpkm tiene el gobierno habiendo tantas pinches necesidades en el país y gastan en esto,,infraestructura
por que no arreglan las avenidas principales no que hay un buen de baches y la delincuencia cada dia esta peor,,infraestructura
señores no han visto la regadera que puso para lavar los trenes,,infraestructura
creo que el transporte demanda solución real en otros temas,,infraestructura
el claro ejemplo de que ningun chile les embona,,infraestructura
me da risa,,infraestructura
y si en los centros de salud nos dan sillas dignas para trabajar y material,,infraestructura
que ve vea 191,2.0,infraestructura
pensé que lo de los candelabros era broma,,infraestructura
exacto todas las estaciones están en muy malas condiciones esto son solo parches sus candelabros puro desperdicio de dinero,,infraestructura
desde que pasas los torniquetes,,infraestructura
el metro y la cuidad necesitan mantenimiento preventivo y correctivo no solo pintura el país necesita educación y todos necesitamos más cultura tamos bien mal todos y todo,,infraestructura
lo primero era arreglar los problemas que tenia tuvieron 4 años para hacerlo,,infraestructura
tranquila ahorita lo pintan de morado y le ponen un ajolote,,infraestructura
telediariomx ya sabemos el destino de estos sanitarios públicos quedaran en el abandonó u operando en precarias e insalubres condiciones,,infraestructura
tienen que aceptar que el problema no es solo el gobierno también la gente si el metro lo hubieran arreglado antes ya estaría todo pintado y maltratado,,infraestructura
composturas del bienestar,,infraestructura
claudia sheinbaum pardo partido morena,,infraestructura
y si mejor le dan el presupuesto a las escuelas y hospitales,,infraestructura
que bueno xq luego uno se handa c g nd y no hay dond tirarse el key,,infraestructura
dinero desperdiciado,1.0,infraestructura
pues que bueno porque mi trabajo es en campo y luego no encuentro baños,,infraestructura
o su restauración del metro auditorio y el resto de la línea horrorosa,,infraestructura
una prueba mas de que es una porquería este gobierno,,infraestructura
para que después huela horrible,2.0,infraestructura
alch que bueno,,infraestructura
que hartazgo con este gobierno,,infraestructura
ya lo sabíamos wey ntp,,infraestructura
es parte del arte y el surrealismo que tiene está obra,,infraestructura
el aicm está igual no van a terminar,,infraestructura
aquí aplica la de barrieron nomas por donde pasa la suegra jajajajjajaja,,infraestructura
ay sí y en unos meses va costar me da risa,,infraestructura
entonces si es muy parecido al titanic,,infraestructura
camara contraten más especialistas en los hospitales,,infraestructura
ya me imagino esos baños cerrados como los baños del metro bus teniendo que buscar a algún policía para que te pueda abrir,,infraestructura
lo remodelo bis chungus,,infraestructura
no sé no me convence es un estilo moderno clasico futurista mexicano ajolotes minimalista,,infraestructura
son fuentes hermosa es parte del estilo antiguo,,infraestructura
ay que si ya te escuchamos,,infraestructura
la gente nada les gusta y todo critican,,infraestructura
y pensar que para estas cosas me voy a dar de alta en el sat que coraje,,infraestructura
lo que van a durar,,infraestructura
sus candelabros de temu y su papel tapiz hoy en día por eso todos tenemos mármol en las paredes por qué nos cuesta 60 pesos el metro y viene en rollo de 10 metros lo malo que en el recibo van a poner candelabros forjados en italia y mármol traído de la minas de no sé total 500 millones,,infraestructura
es un gasto innecesario para la capital apuesto que pasa el mundial y los van a cerrar y jamás van a estar en funcionamiento,1.0,infraestructura
si we pero hay cosas más importantes que pintar metros para el mundial si no estuvieran arreglando también se quejarían jajajaj,,infraestructura
apenas le tocó a mi niño en pediatría y no había camas solo casos graves les asignaron los demás en sillas estaban canalizados en batita cansados de madrugada que difícil situación del país deberían invertir esos temas ya que todos los mexicanos aportamos para eso,,infraestructura
solo si te fijas michojajajajaja,,infraestructura
si los baños del metro siempre están cerrados,,infraestructura
o es una o es otra cosa para las dos no alcanza,,infraestructura
es la transformación de 4ta,,infraestructura
jajajajajajq no mmen,,infraestructura
y se sigue parando el metro a veces v,,infraestructura
muchas falta de mantenimiento para que los candelabros,,infraestructura
sin palabras,,infraestructura
y cuánto costó la suavicrema ósea el monumento a la corrupción y para que sirve,,infraestructura
y de hecho si llega a ganar en el siguiente pri o pan estará igual no cambiará nada eso es un hecho el metro está igual de siempre entonces cuál es la sorpresa aúna si todos mienten más bien ustedes que creen,,infraestructura
que absurdo,,infraestructura
y si mejor empieza por los baches que hay en toda la ciudad y las calles tan en mal estado,,infraestructura
termina mal,,infraestructura
yo no entiendo por qué subes esto es obvio que lo van a arreglar ni modo que se quede así,,infraestructura
es que a presión sale todo mejor,,infraestructura
por años mme y mme que pusieran baños públicos y ahora que los ponen siguen mmdo,,infraestructura
se pasan todo horrible,,infraestructura
él hazme reír para el mundo entero,,infraestructura
me da risa la tubería el reloj y el letrero entre otros me da risa,,infraestructura
es que es como el titanic ya se está hundiendo,,infraestructura
estuvo súper bien me agrada la idea,,infraestructura
en eso gastan los impuestos,,infraestructura
es parte bro es una mezcla de arte antiguo con arte moderno aestetic,,infraestructura
lo malo es q la gente no cuida las cosas,,infraestructura
pero ya esa estación es te etiqueta,,infraestructura
muchos faroles y candelabros y las goteras que,,infraestructura
ptm nada pueden hacer bien la 4t,,infraestructura
el que busca que hacer siempre va a encontrar y sobre todo cuando se descuido el metro pero con el cuidado que le demos estaremos más que satisfechos,,infraestructura
que buena observación entonces que cierre el metro el tiempo necesario para que arreglen todo y los usuarios empiecen a pagar sus taxis,,infraestructura
exacto y lo que deberían de arreglar no lo arreglan,,infraestructura
así decíamos del azteca,,infraestructura
pena ajena este gobierno en verdad,,infraestructura
mejor pongan botes de basura,,infraestructura
no puede ser que terrible un metro con 70 años le encontraron humedad devuelvan todo a como estaba,,infraestructura
y los medicamentos en insumos en los hospitales para cuando,2.0,infraestructura
súper bien por que se ocupan luego te andan multando por orinar pero tampoco no hay baños cercanos,,infraestructura
eso tiene años nadie ha hecho nada para reparar las filtraciones,,infraestructura
méxico no está preparado para ese tipo de infraestructura,,infraestructura
no bro es que ahora estamos hablando de fútbol,,infraestructura
