,comentario,rango_humano
87,prefiero un méxico sin desaparecidos que un mundial espero que puedan encontrarlos y los familiares tengan paz,2.0
88,pero ella jura que todo está bien,3.0
89,que raro que no lo terminaron con la palabra bienestar me da risa,3.0
90,ojalá todos encuentren a sus seres queridos fuerza y suerte,2.0
91,ósea que si tienen el armamento para combatir el narco solo no les importa lo mexicanos,2.0
92,se debe informar que solo sería para el mundial y como objetivo los extranjeros y que después del mundial será como cuando desinstalas una app de celular me da risa,3.0
93,siguen adelante en el poderoso nombre de jesús sigan y pídanle a dios que el sea su guardador,3.0
94,el chiste se cuenta solo este gobierno parece una burla,1.0
95,muyyy triste de verdad me dueles méxico,1.0
96,que coraje meda todo esto sólo hay seguridad porque va a ver mundial me enoja mucho,1.0
97,que lamentable apoyos a las familias afectadas,2.0
98,no queremos mundial queremos un méxico seguro,1.0
99,qué cosas y por el pueblo mexicano no mueven un dedo me enoja mucho,2.0
100,a lo mejor alguien entre mucha gente durante el mundial puede ser que ha visto o conocer a un desaparecido esto ayudará mucho,3.0
101,apoyo total a este movimiento,5.0
102,welcome to jalisco,4.0
103,que feo que se enfoquen en esto en vez de proteger al pueblo,2.0
104,osea que si se puede nomás no quieren,3.0
105,si buscan la ruleta rusa con su seguridad méxico es la opción,2.0
106,seguridad en el país seguridad por un partido de fútbol,3.0
107,seguro harán un trato con los narcos,1.0
108,ku kul kan suena conocido de algo,3.0
109,encontrar a los desaparecidos y subir los sueldos no puede ser que en nuestro país casi un 70 trabajen en la informalidad o sin prestaciones de ley y un 49 de los egresados de universidades se encuentran en desempleo,3.0
110,y cuando termine el mundial regreso a la realidad,3.0
111,a veces no dimensionamos las situaciones hasta que nos pasan no se que sería de mi si alguien de mi familia desaparece y poca madre de los gobernantes por hacerse pendejos con estos temas,1.0
112,yo también tengo un hijo desaparecido y nadien me a escuchado no ay seguimiento de nada,1.0
113,ojalá se cancele,1.0
114,a veces pienso que lo hacen con sarcasmo para tener muchas vistas,2.0
115,nos hace falta unirnos como sociedad y cuidarnos entre todos,3.0
116,osea que habrá protección para que se pueda jugar al fútbol pero no hay protección para tener una buena calidad de vida,2.0
117,proteger a los mexicanos proteger a los turistas,1.0
118,oye espérate si no estamos en wakanda,3.0
119,todo el mundial va ser en méxico y canadá porque usa no participará por lo que ya saben me da risa mucho,3.0
120,osea que siempre han podido defender a la población les valía madres antes o que,1.0
121,que tristeza me entristece,1.0
122,mientras el gobierno invierte millones en eventos como el mundial de fútbol miles de familias siguen buscando a sus desaparecidos sin apoyo suficiente sin respuestas y sin justicia no puede haber celebración completa en un país donde tantos padres siguen buscando a sus hijos la prioridad debería ser la seguridad la verdad y la dignidad de las víctimas,2.0
123,en día de mundial hay que hacer una marcha por los desaparecidos me entristece,1.0
124,no se que da más miedo que méxico puede o que méxico no quiere,1.0
125,en el parque de la ciudad donde vivo nunca habia visto pegados panfletos de desaparecidos y cuando recién pase y los vi fue un shock se sintió muy triste,1.0
126,es decir que sí pueden combatir la delincuencia pero no lo hacen todos los días me da risa mucho,1.0
127,ósea si pueden y tienen poder solo no quieren,1.0
128,no al mundial matan mujeres todos los días y no las protegen,1.0
129,no ven tv azteca,3.0
130,no al mundial,1.0
131,y por qué 15 días antes y 15 días después por qué no dejarlo así siempre,3.0
132,méxico no necesita tener un mundial para tener toda esa seguridad la necesita siempre para todos los mexicanos que triste ver la realidad del gobierno,1.0
133,dios les de fuerza y les devuelva a sus hijos,2.0
134,proteger a los mismos mexicanos en su país mexicano respuesta negativo,1.0
135,para los que no entienden ojalá nunca les toque buscar un familiar o que sean ellos a los que los tengan que buscar,1.0
136,todos los mexicanos conocemos o sabemos de alguien que está desaparecido o ha sido afectado por el crimen,1.0
137,es que entiendan no están en contra del mundial ni nada sino que están en contra de que se gasten miles de millones de pesos en remodelaciones innecesarias solo para verse bonita para menos del mes mientras no hay dinero para búsquedas de desaparecidos no hay dinero para medicamentos no hay dinero para nada,2.0
138,y la de proteger al pueblo siempre no se la saben,2.0
139,donde se puede donar para que impriman más,3.0
140,no queremos mundial gobierno mediocre queremos seguridad de nuestro país queremos nuestros ecosistemas limpios queremos que no destruyan nuestros ecosistemas y acaben con la naturaleza queremos un país con soberanía,1.0
141,me gusta mucho el fútbol pero ha llegado el momento de que miles de voces sean escuchadas de que todos nos unamos,4.0
142,osea que para el mundial si tienen seguridad pero para el día a día no grande mi país saquenme de aquí,3.0
143,llenen este carrito de super yo empiezo,3.0
144,que miedo me entristece,1.0
145,si tan solo usaran toda esa organización y poder para realmente limpiar y cuidar el país me entristece,1.0
146,necesitamos seguridad no mundial,1.0
147,el sábado fui al centro es una tristeza ver tantos carteles de personas desaparecidas que miedo,1.0
148,no vengan no les crean,1.0
149,no me interesa el mundial aquí me interesa la seguridad de mi pueblo el hambre de mi país,1.0
150,entonces tomaremos la seguridad como privilegio de algunos cuantos me enoja mucho,1.0
152,nos puede des decir de donde sale o que significa kukulcan me suena a cucurrucucu hay méxico,3.0
153,pero dice tu tía claudia que cada vez estamos mejor,2.0
154,lo que me imaginé,3.0
155,osea que si pueden proteger pero no quieren,1.0
156,e lugar de mi dial y trenes busque allude con los desaparesidos,3.0
157,ven que si tenemos la capacidad de controlar la violencia en mexico armamento gente pero nomas les vlvga al gobierno,1.0
158,los policías también roban ojo ahí turistas ojalá no vengan,1.0
159,si hablamos de mexico no confío ni en la policía,1.0
160,se va poner de acuerdo harfuch con los capos con los que tiene acuerdo para que ese mes no hagan nada y van a decir que el plan que propusieron dio resultado me da risa muchisimo,1.0
161,un poco mas y es el plan kukusklan me da risa mucho,3.0
162,por que no posieron eso para acabar con los carteles,1.0
163,hay que cancelar el mundial eso no es importante lo importante es tratar los problemas del país,1.0
164,imaginen esto en sinaloa también,1.0
165,lo chistoso es que esos 3 aviones caza f5 son todos los que tiene la fuerza aérea me da risa,3.0
166,osea hacen de cuidado solo cuando es mundial pero el resto del año q se chinguen el pueblo,2.0
167,de que sirve si les da miedo enfrentar a los delincuentes,1.0
168,igual el mundial mexico no va pasar de cuartos,3.0
169,no protege ni a los ciudadanos que va proteger a los turistas,1.0
170,justicia para los desaparecidos no quiero mundial quiero un mexico seguro,1.0
171,imponer el plan kukulkán en méxico para que acaben con la violencia imponer el plan kukulkán solo para el mundial y atraer extranjeros,3.0
172,lamento mucho su dolor mamitas y papitos me entristece,3.0
173,cómo se notan las prioridades no se dejen que vean lo que realmente importa,2.0
174,mi apoyo desde españa comparto mucha fuerza para las familias,3.0
175,que hermosa campaña no se dejen estamos con ustedes me entristece,4.0
176,gobierno de asco,1.0
177,osea que si se puede reforzar la seguridad interesante,2.0
178,triste realidad de méxico me enoja muchisimo,1.0
179,y la seguridad despues del mundial que cual plan,1.0
180,ellos no deben ser invisibles en el mundia ellos deben ser los mas presentes en el mundial que el mundo vea rosotros de gente que puede ser encontrada gracias a la difusion,2.0
181,duda latinus es independiente o pertenece a alguna televisora,3.0
182,los comentarios ocultos,3.0
183,pero ya están vendidos todos los boletos y la venta de playeras no para y no se diga del álbum que es todo un fenómeno nacional más de 1500 albums vendidos diariamente y 10 mil sobres con las cartitas también,3.0
184,ojalá encuentren a los desaparecidos,3.0
185,dios los bendiga salmos92 10 12 y salmos94 1 23,3.0
186,su mirada,3.0
187,escuchen bien dijeron proteger a los turistas y a los equipos porque los mexicanos no les importamos,1.0
188,el mundial es cada 4 años y desaparecidos hay siempre pueden esperar,2.0
189,de por sí me cae mal el futbol ahora mas,2.0
190,mientras tanto claudia,1.0
191,la tristeza me entristece,1.0
192,y porque no hacen eso siempre pero para todos los mexicanos,2.0
193,ya vimos que si no le beneficia al gobierno no hace nada respecto a la seguridad mientras después que pase la fifa otra ves a números rojos,1.0
194,no al mundial en méxico,1.0
195,ahi vemos que es prioridad para los gobiernos que tristeza,1.0
196,y despues del mundial q nos lleve la chingada a todos los demas,1.0
197,me da risa no tenemos ese tipo de aviones me da risa mucho,3.0
198,no al mundial en mexico para proteger extrangeros hacen todo y nosotros,1.0
199,se jactan presumen de tanta seguridad y saben perfectamente que nada esta bien en éste país ojalá no hubiera mundial,1.0
200,ojala cancelen el mundial,1.0
202,no queremos mundial,1.0
204,seguridad para la gente del mencho seguridad para extranjeros y para cuándo la seguridad para los ciudadanos bueno igual se les olvida un poquito cuando tienen que ejercer sus derechos y ver a shakira,
205,deberían cancelar el mundial en méxico por seguridad no deberían hacerlo acá,
206,para mí que gana portugal,
207,ojalá los encuentren dios los bendiga,
208,no al mundial,
209,el gobierno que hace para el mundial si el mundial lo hace la fifa,
210,qué pena que sea para cuidar a los turistas y no lo hagan siempre para cuidar a los mexicanos,
211,apoyo la manifestación el día del mundial,
212,porque no entienden que no se trata de partidos políticos ni gobiernos se trata de quien gobierna cada entidad quien este en la presidencia es lo mismo hará lo que pueda en su gobierno pero los que son los gobernadores delegados o presidentes de cada entidad son los que hacen lo que quieren,
213,el dinero y el football es más importante que las vidas de la gente todo mundo lo sabe,
214,el mundial es un tape de ojo pará lo que se viene todo lo que roba el gobierno,
215,ni regalado,
216,todo eso para proteger extranjeros pero a los mexicanos que nos lleve la chgda me da risa,
217,ojalá cancelen el mundial,
218,que tristeza,
219,ya ven que no terminan con el narco nada más porqué no quieren,
220,osea se preocupan por todos menos por nosotros los mexicanos me entristece,
221,queremos seguridad no mundial,
223,por qué no hablan de cancelar el mundial en estados unidos por riesgo a un ataque,
224,ya que cancelen el mundial por fsvooooor,
225,si ellos mismos te roban también es algo que no tiene sentido deben tener más cuidado ya que te quitan dinero,
226,para que tanta seguridad si se trata de un evento deportivo,
227,que impotencia,
228,tienen razón no se vale,
229,espero que algún día tenga respuesta de donde esta sus ijos,
230,méxico protegiendo a todos menos a los mexicanos ojalá no haya mundial neta,
231,boicot al mundiaaaaaaal,
232,mucha fuerza y luz para todos los padres buscadores,
233,y los medicamentos en los servicios de salud para cuando,
234,deja tu flor interactuando,
235,no necesitamos un mundial necesitamos apoyo para las madres buscadoras,
236,no queremos mundial,
238,entonces si había tecnología para acabar con el crimen organizado pero no querían trabajar,
239,por favor fifa cancele el mundial en méxico está muy muy peligroso,
240,plan para defender a los ciudadanos nah aqui no hacemos eso,
241,que nos quieren decir que si se puede hacer operativos de seguridad pero no para el pueblo bueno y pero si para los turistas que cinismo de este gobierno,
242,duele mucho este tema estos hechos duelen mucho me entristece mucho,
243,terminando el mundial continuamos sin seguridad,
244,marcha el día de la inauguración,
245,es que el mundo se acaba para unas personas y sigue para otras los que no tienen problemas si desean el mundial lo siento en verdad por los que una tristeza o injusticia hará que vean al mundial como un gasto innecesario,
246,toda mi empatía con los padres buscadores,
247,plan para que el país mejore plan para el mundial solamente,
248,reclámale a tu gobernador,
249,no sabía que contábamos con tantos elementos de defensa aérea en el país además por qué mencionan medidas y entrenamiento contra terrorismo,
251,va a ser un caos total,
252,ah bueno los mexicanos valemos madre,
253,con quién nos comunicamos para apoyar con la impresión y el pegado de fichas,
254,todo sea por el futbol y a la población que se la lleve el cuerno,
255,méxico es un estado fallido,
256,por que no implementan un plan para todo mexico,
257,no queremos mundial,
258,carolom lo ideal sería boicotear el mundial y no acudir al estadio no consumir de las marcas patrocinadoras pero seguiré soñando porque en mi méxico mágico eso jamás sucedería,
259,entonces para el gobierno es prioridad la seguridad de 5 5 millones de turistas por 1 mes que la de 134 millones de mexicanos todo el año,
260,eso significa que si pueden implementar seguridad solo que no les interesa proteger a los mexicanos,
261,esto ya es demasiado grave par nuestro país,
262,nosotros como mexicanos debemos cancelar dicho mundial ya que el dinero recaudado no es para el país es para el gobierno dos quien nos asegura que no va ver atentados en los estadios hoteles avenidas principales mejor cancelarlo,
263,eso no le importa al gobierno tristemente me entristece muchisimo,
264,bravo por esa gente,
265,se aplaude y la pregunta es y porque no hacerlo permanente para cuidarnos a los mexicanos que vivimos aqui,
266,yo te apoyo por qué hoy son tus hijos mañana no quiero que sean los míos,
267,neta méxico tiene todo para ser primer mundo pero a los del poder se les sube el poder se dejan ganar y les gana el hambre de más poder,
268,el plan kukulkán llegó para quedarse o solo será temporal mientras está el mundial,
269,solo pensar en méxico da miedo,
270,q sean encontrados,
271,muy bonito todo pero es obvio que no se cuenta con el personal y mucho menos con el equipo táctico indispensable para garantizar seguridad,
272,me encanta el futbol y me llena de mucha alegría que los mexas sabemos que aquí lo importante son nuestros desaparecidos la exigencia de seguridad y una vida digna para todos mis compatriotas,
274,si de mi dependiera sería únicamente en canadá,
275,méxico niega la violencia y desapareciones,
276,yo si los apoyo por qué yo no sé que haría si alguien forma parte de mi vida desapareciera noalmundial me entristece,
277,que ganas de ser extranjera en mi país,
278,exacto,
279,en culiacán hay soldados en cada esquina y no sirve de nada desviven ahí cerquita de ellos siempre llegan y no agarran a nadie,
280,ese es el verdadero mexico,
281,es correcto y peña nieto no hubiera aceptado el mundial que desde un inicio de ser aceptado se empiezan con gastos pequeños propaganda y otros gastos pequeños si desde los 43 normalistas que son 43 jóvenes que no dio explicaciones de donde quedaron así como muchos que han desaparecido años antes ningún presidente a puesto una jurisdicción especializada solo para personas desaparecidas que desde 1980 a estado pasando esto,
282,cuanto dura el mundial para saber cuánto tiempo podré vivir sin tanto miedo a no volver a casa,
283,por qué no hicieron esto cuando carlos manzo pidió ayuda,
284,no mms es un chiste el gobierno mexicano me da risa,
285,si si aún que estamos ya entrando a la fiebre mundialista no hay que olvidar la realidad de nuestro país que tenemos cientos de desaparecido y no hay que ser indiferentes porque no sabes cuando alguien puede estar en esos zapatos de papas buscando a sus hijos,
286,osea tiene equipamiento y no lo usan en contra del narcotráfico,
287,por los gobiernos no les interesa alas personas,
288,pero les apuesto que muchos vieron la final verán su mundial así quie hoy no joven gracias,
289,solo por el mundial jajajaa y el resto del año nada me entristece,
290,excelente,
291,que miedos ir a méxico ya no iré al mundial,
292,no queremos mundial,
293,y porque no aplican eso a diario me da risa,
294,solo lo van a hacer por el mundial y turistas porque no hacen esto todos los días,
295,y no podría ser todos los días para protegernos no sé se me ocurre,
296,cancelen el mundial,
297,y como van a vigilar el metro recuerdan todos los piquetes que hubo meses antes,
298,cuál mundial si son como 10 pedorros partidos,
299,deberían apoyar más a las marchas y no ir al mundial o comprar boletos,
300,si no ubiera mundial no hacen eso,
301,listo para la inaguración junto a mi familia me gusta mucho,
302,de seguro los otros países están muy protegidos no tiene problemas,
303,todos dicen lo que pasó en méx pero eu está en una guerra jajajaj la vida diplomática es un chiste,
304,solo por el mundial ya después vuelve lo normal inseguridad robo y lo mismo de siempre me da risa mucho,
305,soy de españa y se me encoje el corazon con vosotros no visito mexico por estas cosas no me trae seguridad pero mira que si e un sitio muy prometedor ojala os ayude alguien aunque sea trump ya que claudia me entristece,
306,y por que asta orita salen aser eso,
307,tanta seguridad para extranjeros y para los mexicanos nada,
309,no sé si todas las personas sepan lo que es perder un hijo yo no pero si me llegará a pasar sé que estaría con ellos buscando hasta en las coladeras desiertos etc y no me gustaría pasar ningún nadie pasara por eso talvez no puedo apoyar directamente a toda esta gente buscadora pero no podemos ser indiferentes así como sienten la unión en el mundial diciéndonos hermanos así deberíamos apoyar está ocasión amo el fut pero es primero nuestro país y nuestra gente,
310,me dolió tanto ver este reportaje,
311,cómo podemos registrarnos como turistas aunque seamos locales nos urge sentirnos seguros,
312,ósea que mexico mágico si puede tener seguridad pero no quiere su gobierno,
313,por qué siguen insistiendo con el mundial,
314,se imaginan q hicieran esas grandes estrategias en michoacan sinaloa bueno en todo mexico o sin necesidad de la inauguración del mundial la verdad mexico sería otra historia,
315,méxico narco,
316,y por qué no hacen eso siempre y no solo para el mundial en lugar de gastar nuestros impuestos en croquetas del bienestar,
317,todo para aparentar que este es un país seguro,
318,pero nadie va a decir no al dinero que va a llegar al pais,
319,que tal si mandan hacer camisetas del mundial con la foto del desaparecido y al reverso méxico no busca acuden al estadio tanto dentro como fuera haciendo haci una protesta,
320,una manifestación en todo el país el día del mundial,
321,ejemplo de fortaleza todas esas familias,
322,katt difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusiónj difusión difusión,
323,somos la voz de nuestros desaparecidos,
324,mientras la presidente recibe artistas y hace conciertos defiende a los políticos señalados por usa defiende a los hijos del ex presidente amlo a las madres y padres buscadores no los reciben y no atienden el problema me enoja mucho,
325,que todos esos desaparecidos sean encontrados me gusta,
326,ahí dios deberás hay que ser empaticos me entristece,
327,a quien le gustaría a un mundial al cuál no podrá ir un hijo un hermano o padre,
328,el futbol es de lo mejor desde siempre la fifa la peor basura al menos estos tiempos,
329,no dejen de luchar queremos regresos no mundiales,
330,ni loko iria a méxico,
331,justicia dios los ayude justicia justicia,
332,yo soy madre y se me duele ver a los familiares de chicos desaparecidos ésa angustia y dolor permanente las mamás que ya buscan a sus hijos en las fosas clandestinas con la esperanza de encontrar a sus hijos nadie conoce ése sufrimiento más que la madre o familiares lo están viviendo,
333,aaa pero los q vivimos pagamos impuestos y sus salarios,
334,me da risa ifusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusiónj difusión difusión,
335,quien en su sano juicio iría a méxico solo por el mundial,
336,lo gestionó la administración de calderón o peña,
337,me da risa entonces gastarán más que lo que ingresara,
338,señores entiendan el narcotrafico esta en el congreso por eso no lo hacen,
339,kukul que,
340,messi y cristina llegando a méxico,
341,in dia de mundial por años de desaparesidos mamas con el dolor de no saber de sus hijos mi mexico duele,
342,voten bien la próxima,
343,con lo que gastan de impresiones todos los días junten para tener suficientes para tapizar el mero día del mundial,
344,las madres buscadoras requieren todo el apoyo,
345,ni uno más porque si nos falta uno nos faltan todos,
346,méxico no quiere mundial méxico quiere seguridad,
347,están en contra del olvido de nuestros desaparecidos recuerda que el gobierno es el culpable de que el sistema este corrompido,
348,me da risa ni regalado voy para méxico quiero ver el mundial no andar esquivando balas me da risa mucho,
349,una manifestación mega grande el día del mundial que el mundo se entere en carne propia lo que se vive día a día en méxico,
350,not0da la culpa la tiene el gobierno también es la educación dela casa la libertad ke les dan alos hijos casi no pasa eso hoy en día,
351,mientras tanto,
352,estan queriendo desir que si se puede garantisar seguridad pero solo cuando le conviene al gobierno,
353,interactuando,
354,que se cancelé el mundial no lo queremos,
355,jajajja vaya manera de decir si podemos hacer las cosas bien y mejorar el país pero no queremos,
356,cuanto dolor dios mio cuanto sufrimiento,
357,ya ven que el estado si tiene con que cuando se lo mandan,
358,no queremos mundial queremos seguridad,
359,pero si en méxico te asalta hasta la policía,
360,el plan yo calmo a mis criminales no pasa nada solo doy la orden,
361,que cosas,
362,no sería más fácil hacer los juegos en otro pais,
363,no queremos mundial queremos seguridad en todo méxico medicinas en los hospitales ya vasta que estén derrochando el poco dinero que hay me enoja muchisimo,
364,creo que está quedando claro que los mexicanos no queremos mundial queremos vivir seguros,
365,así deberían de asegurar la seguridad de los ciudadanos para siempre no nada más cuando hay mundial,
366,no enserio que pena,
367,dios los bendiga,
368,mucha gente invierte en el mundial de que es difícil pero entonces debieron interponer todas las medidas para que no se celebrara en méxico suena crudo,
369,al chile méxico no merece nada,
370,mexicanos hay que tumbar el mundial,
371,con todo lo qué pasa en el país de verdad necesitamos un mundial yo no lo creo,
372,no nos cuidan a los mexicanos van a andar cuidando extrangeros,
373,de hecho el futbol es un ente muy aparte a la politica los gobiernos no pagsn a los jugadores etc,
374,ojalá así nos protegieran a nosotros los mexicanos,
375,yo no entiendo como no son empaticos ósea soy madre y perder un hijo no tiene nombre y se que no puedo dimensionar lo que sienten pero si puedo hacer algo y si el gobierno tiene recursos es incongruente que para unas cosas si puede gastar y otras no,
376,y ya que se acabe el mundial volvemos a los asesinatos y desapariciones,
377,buenos para proteger a extranjeros y no para proteger a su gente,
378,no queremos mundial queremos seguridad,
379,deberían de acudir al cuadro del centro histórico justo donde están pintando y remodelando y alli pedirle permiso a cada locatario para poner una pequeña lona en el exterior,
380,cuando tendremos un buen gobierno cada vez lo veo más imposible me entristece,
381,y parece que nadie conoce a los secuestradores solo es cuestión de investigación sería,
382,me estás diciendo que mexico si puede implementar medidas de seguridad pero no para los mexicanos,
383,ven que si tienen con que detener el narco pero no lo hacen,
384,es de terror lo que vivimos en méxico,
385,debe ser una pesadilla vivir en mexico y un holocausto caminar en ella,
387,claudia se convirtió en calderón,
