comentario,puntuacion_estimada,puntuacion_real,confianza,categoria
no veo las filas y el mar de gente estrenándolos por el fomo,1,3.0,0.6169700026512146,infraestructura
triste realidad,1,1.0,0.46115973591804504,infraestructura
y si ponen más seguridad,3,2.0,0.4832770526409149,infraestructura
y cuantos millones costaron,1,3.0,0.39866986870765686,infraestructura
es que necesitaba mantenimiento no remodelación,2,2.0,0.3310643434524536,infraestructura
es interactivo así sabrás cuando esté lloviendo afuera me da risa,4,2.0,0.31561461091041565,infraestructura
jajajajj,4,3.0,0.287477046251297,infraestructura
si el metro no sirve imagínate los baños hay nooooo por dios,1,2.0,0.6648257374763489,infraestructura
ni un año les doy,1,2.0,0.3549884557723999,infraestructura
casitas premium,5,2.0,0.34387317299842834,infraestructura
esos candelabros son para que nos teletransportemos como en harry potter,5,3.0,0.543982744216919,infraestructura
omg ya eres toda una famosa,5,3.0,0.6773180961608887,infraestructura
se está hundiendo el titanic,1,2.0,0.6657071113586426,infraestructura
la neta está bien siempre hago en la calle pipi me da risa,4,3.0,0.42804405093193054,infraestructura
creen que los candelabros evitarán que no se den cuenta de las deficiencias en el transporte colectivo,3,2.0,0.2290884256362915,infraestructura
mejor pongan botes de basura en los metros luego se quejan que hay basura en todos lados,2,2.0,0.43466731905937195,infraestructura
me da risa es para poder llenar las estaciones de agua me da risa,3,2.0,0.293439656496048,infraestructura
ni los baños públicos tendrán activación económica me da risa este mundial es solo para unos cuantos,1,2.0,0.5183045268058777,infraestructura
me da risa,3,3.0,0.23887060582637787,infraestructura
pero dicen no lo hubieran cuidado antes y cuando han visto todo grafiteado y lleno de basura el metro los daños que tiene el metro en general son debido al uso de millones de personas y de años sin mantenimiento alguno,1,4.0,0.4003436267375946,infraestructura
las nuevas cabinas de los,5,3.0,0.4450054466724396,infraestructura
me da risa dios quiera que llueva en los partidos del mundial para que mundo se dé cuenta de lo que vivimos diario entre tráfico inundaciones y goteras,1,2.0,0.32670238614082336,infraestructura
el gobierno es un chiste,1,1.0,0.3951977491378784,infraestructura
2 semanas faltan,1,3.0,0.444965124130249,infraestructura
lo peor del caso es que lo van a terminar meses después y no le van a volver a meter mano hasta que suceda una tragedia tipo l 12,1,2.0,0.6407285332679749,infraestructura
quieren tapar la realidad como el sol con un dedo,5,2.0,0.3770236670970917,infraestructura
está bien porque sale más caro la multa por orinar en publico,3,4.0,0.6100754737854004,infraestructura
se pasan que es para que el mundo no vea como se cae el país a pedazos ya todo mundo sabe,1,2.0,0.2711676359176636,infraestructura
la gente nunca cuida nada asi que,1,2.0,0.8024131655693054,infraestructura
yo creo que usarán el poder mexa dejar todo para el día de entrega de la tarea y sacar 6,1,3.0,0.3210415244102478,infraestructura
todo tiene filtraciones y mejor hubieran comprado más trenes y arreglado el cableado,1,3.0,0.27631184458732605,infraestructura
deberían repavimentar buscar calles que están en condiciones deplorables eso nada más es desvió de recursos,1,2.0,0.5294868350028992,infraestructura
y cuando pasen los 15 minutos se queda encerrado,1,3.0,0.6038124561309814,infraestructura
en lugar de gastar en tonterías deberían dar mantenimiento real al metro,3,2.0,0.2711062729358673,infraestructura
exactamente esas goteras son de miedo hace unas semanas pasé por la estación pino suárez y justo en el tramo de la correspondencia se vino una parte del techo acompañada de agua y cascajo en allende se vinieron unas vigas y a gente que iba bajando otras subiendo les cayeron encima las vigas lo de menos es lo espantoso que están dejando las estaciones si no el peligro al que a todos nos está exponiendo el gobierno obvio un ingeniero lo puede explicar mejor pero lo que han hecho es tanto como quitarle el alma a un zapato qué dios nos cuide a todos,1,1.0,0.6191126108169556,infraestructura
uyyy y cuanto le costará a los de la cdmx esos baños serán permanentes o solo por lo del mundial,1,2.0,0.2924172580242157,infraestructura
ya le quitaste el encanto,5,2.0,0.6329252123832703,infraestructura
para que todo cambie se tiene que empezar desde nosotros desde el pueblo pero lastimosamente tanto el gobierno como las personas son un problema claro no todas pero la delincuencia la mala gente todo eso no lo podemos evitar de un día para otro triste lo de este país tan hermoso pero a la vez tan malo,1,1.0,0.5664417147636414,infraestructura
méxico mágico,5,3.0,0.5707232356071472,infraestructura
obviamente no van acabar hijo,1,2.0,0.3445417881011963,infraestructura
y gasto miles de millones,1,2.0,0.5115087032318115,infraestructura
para que después lo sirvan para nada,1,2.0,0.5122507214546204,infraestructura
es propio del estilo renacentista,4,3.0,0.3393041491508484,infraestructura
por 5 pesos que esperas que te den una botella de agua y un aperitivo,1,4.0,0.5274541974067688,infraestructura
algo no cuadra,3,3.0,0.39385709166526794,infraestructura
siiii para un rapidín,3,3.0,0.3645937740802765,infraestructura
mejor que pongan más cámaras de seguridad,5,1.0,0.607441782951355,infraestructura
hay que hablar de esto ruvalcaba,1,3.0,0.34205150604248047,infraestructura
nuevo spots para stickers,5,3.0,0.38751548528671265,infraestructura
cuánto a que los olvidan y después ni van a servir,1,2.0,0.3250478506088257,infraestructura
su gobierno que no invierte en las verdaderas necesidades de del país que se gasta el recurso en los viajes de su bancada,1,1.0,0.46111345291137695,infraestructura
me parecen bien porque al final también nosotros los vamos a poder ocupar pero si está ahí el detalle de su mantenimiento,3,4.0,0.4703024625778198,infraestructura
qué horror,1,1.0,0.36391890048980713,infraestructura
cómprate tu carro para no padezcas esos inconvenientes y viajes como mejor te plazca,5,3.0,0.4719822108745575,infraestructura
en otros países hay baños públicos de alta tecnología nosotros los necesitamos no estamos preparados para tenerlos no méxico siempre corriendo antes de caminar,1,3.0,0.43211135268211365,infraestructura
que estupidez me da risa,1,1.0,0.5642622113227844,infraestructura
por todo se quejan comprense su carro mejor yo voy bien cómoda jsjsjsj,4,3.0,0.36495158076286316,infraestructura
los hubieran puesto 1 dia antes la gente no cuida nada a ver como quedan después,1,1.0,0.6781525611877441,infraestructura
que pena da que su preoridad sea poner sanitarios que insumos y medicamentos en los hospitales,1,2.0,0.27502068877220154,infraestructura
como los baños de la línea 12 que están clausurados,5,3.0,0.3240388035774231,infraestructura
y nomas deja que llueva y se veran mas chidas las fuentes,2,2.0,0.447909951210022,infraestructura
para que cobren 10 como ahora ya en muchos lugares sucios y el papel aparte,2,1.0,0.30909985303878784,infraestructura
y pregunta cuánto costara,5,3.0,0.27742788195610046,infraestructura
buena iniciativa,4,5.0,0.4638681709766388,infraestructura
gente tendremos titanic 2 en méxico claro que si próximamente en envivos de tik tok,1,3.0,0.32613494992256165,infraestructura
que arreglen las calles,5,2.0,0.5120836496353149,infraestructura
de verdad esperaban algo distinto lo hizo la 4 deformación,3,1.0,0.3805333077907562,infraestructura
las goteras del bienestar,5,2.0,0.3947526812553406,infraestructura
son faroles y de hecho tienes razón lo que debieron remodelar no lo hicieron,1,2.0,0.4129182696342468,infraestructura
la cfe robándole a la nación de la cfe,1,2.0,0.5124399662017822,infraestructura
y si mejor tapan los baches y invierten en seguridad,5,1.0,0.4386669993400574,infraestructura
es que esa es la fuente bro que no estás viendo,1,1.0,0.39164867997169495,infraestructura
la del zócalo está de la vrga ni abierta estaba,1,1.0,0.64705890417099,infraestructura
mejor que inviten los boletos para la final de cruz azul vs pumas,5,3.0,0.7269676923751831,infraestructura
los candelabros de la época de porfirio díaz,5,3.0,0.37645742297172546,infraestructura
pues ya lo hubiera dejado en 5pesos,1,3.0,0.44652876257896423,infraestructura
se ve más económico,3,3.0,0.41741445660591125,infraestructura
que oso pero dudo que la gente que pueda pagar un boleto para el mundial se traslade en metro me da risa,1,3.0,0.38487857580184937,infraestructura
cuando realizarán algo bien,3,1.0,0.3411087691783905,infraestructura
gastan en puras tonterías y lo que deben hacer no lo hacen gobierno de 4ta,1,1.0,0.762363076210022,infraestructura
apoco si creían que morena iba a hacer obras de calidad ya maduren,3,1.0,0.265552818775177,infraestructura
dicen los gobernantes que para el próximo mundial sin falta,5,3.0,0.2809329628944397,infraestructura
esto es una locura de corrupción clara brugada ciudad de méxico,1,1.0,0.7596916556358337,infraestructura
15 días tienen,1,3.0,0.4186723530292511,infraestructura
lo vi en,4,3.0,0.25673946738243103,infraestructura
que caray no duró ni para el mundial,1,2.0,0.5083989500999451,infraestructura
la cosa es que van a entregar y así lo van a dejar para el siguiente,1,3.0,0.3781992793083191,infraestructura
recuerden mis palabras después del mundial no van a funcionar regularmente,1,2.0,0.49063658714294434,infraestructura
es una vergüenza,1,1.0,0.8766021132469177,infraestructura
remodelacion a medias igual que en las calles de la cdmx,4,2.0,0.26759108901023865,infraestructura
también colocaron cascadas artificiales instalaciones de primer nivel,5,2.0,0.3404078483581543,infraestructura
en auditorio apenas la van a terminar y quedó mejor que bellas artes,5,3.0,0.3238779604434967,infraestructura
como dice la señora solo va a ser por el mundial después hasta van a cobrar,1,1.0,0.47643449902534485,infraestructura
así es ocapa brukk,5,3.0,0.2991712987422943,infraestructura
alch q bueno que no quede,3,1.0,0.26492780447006226,infraestructura
la primera marcha en la que se les ocurra voltear a ver los candiles lámparas o vitrales y ya era el metro se debe planear para lo que es mover masivamente a gente de manera segura y eficiente esto no abona a esa misión,2,3.0,0.3697786033153534,infraestructura
ya después los quitan me da risa,1,3.0,0.44624826312065125,infraestructura
nada les embona,1,4.0,0.5284662246704102,infraestructura
había ofertas en galerías el triunfo,5,3.0,0.2626418173313141,infraestructura
2 semanas,2,3.0,0.39204978942871094,infraestructura
maquillaje del bienestar,4,2.0,0.3538908064365387,infraestructura
me da risa gobierno ridículo que el mundo se entere como nos tienen,1,1.0,0.6613925695419312,infraestructura
que elegancia la de juuuuuaaaatttt,5,3.0,0.37480491399765015,infraestructura
lo q no sabes es q esas goteras son parte de los adornos,5,3.0,0.48033174872398376,infraestructura
nmmn hasta ahorita se dan cuenta si desde que empezaron ya se sabía que no iban a terminar,1,3.0,0.34890347719192505,infraestructura
falto pintura morada,1,3.0,0.44670242071151733,infraestructura
jajajajajaajajaa es neta que pusieron eso en el metro no mms,1,3.0,0.44418689608573914,infraestructura
esta quedando con madre la escenografía,3,4.0,0.3146202862262726,infraestructura
a que partido te vendiste cuánto te pagaron,1,3.0,0.5712699890136719,infraestructura
yo ayer en la estación hidalgo esperando el metro viendo como goteaba el techo,1,3.0,0.2955320179462433,infraestructura
y las calles y carreteras como para cuando,5,2.0,0.44117966294288635,infraestructura
me recuerda aquel conocido refrán candil de la calle oscuridad de la casa,5,3.0,0.4302762746810913,infraestructura
renuncia clara brugada,1,1.0,0.36269810795783997,infraestructura
la primera señora tiene toda la razón,5,3.0,0.6164737939834595,infraestructura
el metro es subterráneo y está en medio de un túnel de bajo de la tierra y todas las líneas del metro son así,5,3.0,0.3518191874027252,infraestructura
jajjajajaj,4,3.0,0.2967945337295532,infraestructura
me da risa,3,3.0,0.23887060582637787,infraestructura
no sé porque permitimos estos desfalcos innecesarios cuando en el país hay otras prioridades entonces si hay presupuesto pero el gobierno de no lo suelta porque le vale madres el país y su gente,1,1.0,0.5843588709831238,infraestructura
que t valgaa,1,1.0,0.2705559730529785,infraestructura
solo por el mundial,2,2.0,0.2913382053375244,infraestructura
de hecho pense que era el unico que se dio cuenta del tema me da risa,2,3.0,0.304530531167984,infraestructura
no gracias,1,1.0,0.6183727383613586,infraestructura
cómo si con pintura y loseta nueva fueran a avanzar más rápido los trenes,3,2.0,0.28695592284202576,infraestructura
eh ey ey porque no hay un ajolote ahí y por qué no está pintado de morado,2,3.0,0.3374078571796417,infraestructura
ningún chile les embona que si está en reparación que si esto que si el otro que por qué mejor no lo cierran que por qué lo cierran sabes realmente que el metro jamás puede parar su servicio ya que es el trasporte de millones de personas y el darle un mantenimiento muy profundo requiere de mucho tiempo ahora el metro está fuera de servicio desde las 0 00 hasta las 05 00 am en 5 horas diarias es imposible dar mtt muy profundo,1,4.0,0.5833476185798645,infraestructura
y las coladeras trampa para cuando,2,2.0,0.39011406898498535,infraestructura
y no sería mejor que den mantenimiento o modernicen los semáforos de la ciudad,3,2.0,0.3877527415752411,infraestructura
que metro es,5,3.0,0.2459297925233841,infraestructura
no me gusta nada les embona,1,4.0,0.5624455213546753,infraestructura
dejaron las fuentes modernas,2,3.0,0.2739112377166748,infraestructura
la primera señora tiene toda la razón,5,3.0,0.6164737939834595,infraestructura
y justificaron millones de pesos gastados me da risa,1,2.0,0.6638609170913696,infraestructura
gobierno,5,3.0,0.3380008935928345,infraestructura
yujuuuu para los choferesde app me da risa,3,,0.2525913715362549,infraestructura
saldrán con la excusa de q era una remodelacion muy aparte del mundial,1,,0.32318922877311707,infraestructura
puro gasto inútil,1,,0.841433048248291,infraestructura
un nuevo crusing,5,,0.4476308226585388,infraestructura
cuando estaba lloviendo yo una vez me iba a caer a las vías por que me resbalé por evitar esas tablas,1,,0.49418607354164124,infraestructura
nada nos parece,1,,0.5874361395835876,infraestructura
como no siempre se necesita los baños públicos,5,,0.508025586605072,infraestructura
nada les embona,1,,0.5284662246704102,infraestructura
el metro necesita mantenimiento no lámparitas bonitas,2,,0.3571564853191376,infraestructura
ese gasto es inesesario porque después de unos meses no le van a dar mantenimiento y aparte eso requiere de sanitización,1,,0.5348722338676453,infraestructura
mejor que recojan realmente la basura que hay en las calles,5,,0.7500998377799988,infraestructura
te imaginas cuanto supuestamente gastarían en arreglar nadamas una parte así v dirían q ocupan unos cuantos billones y aún así haber si queda v pq es difícil yo digo pero aún así v en una de esas por la humedad pierde sus propiedades para cargar tanto peso para el q fue diseñado y sacas q se caiga mms,2,,0.4498649835586548,infraestructura
que elegancia la de francia y las goteras pa,5,,0.5331298112869263,infraestructura
mejor q arreglen los elevadores y las escaleras eléctricas del metro y metrobus,5,2.0,0.5850690603256226,infraestructura
ni hay agua,1,,0.4159272015094757,infraestructura
hasta eso les van a quitar a los comerciantes,1,,0.2563830614089966,infraestructura
sí se quejan cuando el metro cerró para la remodelación visual ahora si tuvieran que reparar todo desde cero imagínense estuvieran peor,2,,0.383262038230896,infraestructura
no nada más por el mundial todos esos sanitarios los deberían de poner en cada transborde de las líneas del metro de la cdmx,5,,0.2642161250114441,infraestructura
ojalá las personas que viven en las calles no se adueñen de los baños y las conviertan en su hogar,2,,0.41981542110443115,infraestructura
porque no ponen botes de basura en toda la ciudad y arreglen todos los el pavimento y tuberías de agua,5,3.0,0.5199152231216431,infraestructura
estan como cuando se les esta botando la pintura porque tienen humedad en las paredes y dicen que poniendoles sellador y una pintadita queda bien,3,,0.35320746898651123,infraestructura
muchas gracias por tu reporte joaquin,5,,0.6504010558128357,infraestructura
la apuesta es que no llueva en el mundial,1,,0.35179293155670166,infraestructura
las estupideces de los gobiernos de morena no tienen límites,1,,0.45997050404548645,infraestructura
esos sanitarios se saldrán de control estará apestosos,3,,0.23171952366828918,infraestructura
gobernado por morena,5,,0.31808313727378845,infraestructura
3 mil millones de pesos costaron seguramente y se embolsaron más de la mitad y van a costar más de 30 pesos el acceso,1,,0.777233898639679,infraestructura
este gobierno pura estupidez,1,,0.9218478202819824,infraestructura
es una cascada muy top muy fina para que cualquiera le vea el potencial muy como en dubai,5,,0.7719607949256897,infraestructura
se pasaron yo me imaginaba más moderno el metro que iba a quedar pero no así,2,,0.4427489638328552,infraestructura
puras apariencias,5,,0.48845574259757996,infraestructura
mejor inviertanle más al metro porque siento que cada vez está peor,2,,0.3566833734512329,infraestructura
y las escuelas y hospitales para cuando,4,,0.3800748288631439,infraestructura
me da risa,3,,0.23887060582637787,infraestructura
n necesito q vayas,1,,0.34465453028678894,infraestructura
línea 1 tiene puros plafones oxidados por humedad rubalcaba también nosotros maltratamos las estaciones con humedad,1,,0.5318268537521362,infraestructura
y si mejor arreglan los hospitales ponen mas camas por que nunca hay dan medicamentos e insumos,3,2.0,0.33599865436553955,infraestructura
dios ya quitales el poder,5,,0.42253485321998596,infraestructura
no lo entiendes es el toque de humildad que todo burgués necesita,1,,0.5227560997009277,infraestructura
shhhaaale,3,,0.25193068385124207,infraestructura
gobierno ignorante mejor que arreglen las goteras,1,,0.6778707504272461,infraestructura
si estuvo bn siempre me ando cagando en los baños,1,,0.44426965713500977,infraestructura
y los hospitales hasta sin reactivos para hacer un laboratorio de gabinete básico,4,,0.2657213509082794,infraestructura
que burla como todo en este gobierno,5,,0.3728277385234833,infraestructura
la gente dice no me gustan prefiero cagar en una bolsa,1,,0.6019906997680664,infraestructura
es la gealidad dul tegceg monde muy bueno la decoración y el servicio de calidad para cuando,5,,0.5063222646713257,infraestructura
me da risa es para sentir q estas en venecia entre lujos y agua,5,,0.37859782576560974,infraestructura
siento que no lo van a terminar y van a usar el pretexto de que en realidad las reparaciones no eran para el mundial sino para el pueblo bueno,1,,0.4448685050010681,infraestructura
para puro turista y los ricos,5,,0.43823713064193726,infraestructura
cómo si valiera la pena,5,,0.5057519674301147,infraestructura
están buenos para el cruising,4,4.0,0.4939972162246704,infraestructura
si lo terminan pero quedarán muchos detalles,3,,0.5501928329467773,infraestructura
no me reuso a usar algo que dejo el malvado don porfirio sarcasmo perdoneme don profirio por cierto la lampara combina con la cinta aguas con la pared y las aguas en los techos,1,,0.5987206697463989,infraestructura
si el peor gobierno bola de corruptos miserables,1,,0.7989685535430908,infraestructura
se hizo rápido la remodelación nunca dijimos que bien,5,,0.34231019020080566,infraestructura
eso es normal son filtraciones de agua por que es subsuelo,3,,0.4225030839443207,infraestructura
clara y si mejor arreglas los baches y pones mayor seguridad es lobque necesitamos,4,,0.3601902723312378,infraestructura
y las cascadas y goteras para cuando,1,,0.23477499186992645,infraestructura
mejor la ajolotera esa que vea los baches caray,3,,0.32224878668785095,infraestructura
y la línea a cuando ah no que a iztapalacra no vienen turistas,1,,0.2908686101436615,infraestructura
y si mejor nos ponen más seguridad,3,,0.38599643111228943,infraestructura
toma taxi,5,,0.3240523338317871,infraestructura
al rato va a estar abandonado sucio y con basura,1,,0.7902480363845825,infraestructura
mejor no hagan nada,5,,0.42376792430877686,infraestructura
y si mejor lo cancelan,1,2.0,0.3420749604701996,infraestructura
pasara lo que con los bebederos en los metros solo el gasto y ya,1,,0.3750566840171814,infraestructura
las fugas pa cuando,2,,0.29308566451072693,infraestructura
lo peor cuando pase el mundial lo van a dejar así los creo muy capaces,5,,0.36830633878707886,infraestructura
inviertan o no siguen jodiendo todo les molesta que horror,1,,0.4172232747077942,infraestructura
no al mundial por el ebola,1,,0.5954862236976624,infraestructura
cuantos millones costarían esos candelabros de temu,1,,0.4565660059452057,infraestructura
no alcanzo el presupuesto para hacerlo bien,2,,0.4171113967895508,infraestructura
siguen las simulaciones hicieron como que remodelaron y a la primera de las lluvias ven lo obvio lo mal hecho,4,,0.30649182200431824,infraestructura
es para que sientas que vas caminando con luz de los candelabros bajo la lluvia al puro estilo europeo,5,,0.28753846883773804,infraestructura
son cascadas para dar el toque de la francia de los grandes jardines con fuentes,4,,0.4333241581916809,infraestructura
pero si ya existe reforma 22,3,2.0,0.4031529426574707,infraestructura
al chile que bueno,5,,0.3961515426635742,infraestructura
hay prioridades quedar bien en el mundial,3,,0.4224151074886322,infraestructura
creo que en portales van poner como tipo pista de baile,3,,0.2911956310272217,infraestructura
esas madres ni van a durar 6 meses,1,,0.5040286183357239,infraestructura
neta hay cosas más necesarias,4,,0.3616218566894531,infraestructura
esas goteras tienen tanto tiempo qué ya daño el cemento del piso se nota en la huella,1,,0.49736228585243225,infraestructura
me recuerda a las mamás no todas cuando va a llegar una visita limpian toodo a fondo la mejor vajilla los manteles mas lindos copas etc pero cuando no hay visitas usan la vajilla ya despostillada los vasos desiguales los manteles viejitos etc algo asi esta pasando pero a gran escala,3,,0.39610862731933594,infraestructura
puro gasto infructuoso pero bueno como no es su dinero,1,,0.4909205138683319,infraestructura
y las inundaciones fuera del metro ni se diga,1,,0.4633243680000305,infraestructura
ví un meme de esos candelabros y pensé que era una broma y no si pusieron,1,,0.5927731394767761,infraestructura
ya quiero ver el costo al que se los vendieron a brugada,1,,0.31395667791366577,infraestructura
por qué quieren aparentar lo que no es,3,,0.2525532841682434,infraestructura
las prioridades del metro están igual a mi economía,5,,0.37734633684158325,infraestructura
puesi q ganan con gastar dinero en eso con quién quieren quedar bien y eso es poco por loq hayq hacer por los metros hospitales parques me da risa,1,,0.3737904131412506,infraestructura
el auditorio ayer todo parecía la esperanza pero sin luz no mmn,1,,0.3458012640476227,infraestructura
no words,1,,0.5766536593437195,infraestructura
les digo que este gobierno es una,5,,0.2930406332015991,infraestructura
como el mismo gobierno se roba la luz,1,,0.5338244438171387,infraestructura
15 días y ya hicieron su mmda te apuesto que ni lo van a terminar y lo van a dejar a medias,1,,0.6398279070854187,infraestructura
yo solo juzgamos y juzgamos como si fuwramos perfectos avwces si hay gente que cae mal se creen perfectos,5,,0.4519898593425751,infraestructura
cómo no un parchecito por aquí otro parchecito por allá y nadie ve los daños sarcasmo,1,,0.47654053568840027,infraestructura
uffas nuevos lienzos,5,,0.3650020360946655,infraestructura
me da risa no mms,1,,0.47005847096443176,infraestructura
es para darle el estilo vintage,4,,0.4014158844947815,infraestructura
no no no solo ve los candelabros,1,,0.39543816447257996,infraestructura
parece zona de guerra,3,,0.31297677755355835,infraestructura
lo peor esq las paredes de mármol las pusieron por encima de la pared de antes,1,,0.6669592261314392,infraestructura
un poco de pintura lila y queda como nuevo,3,,0.5334450602531433,infraestructura
y como pa que fue eso de los candelabros,5,,0.2541675567626953,infraestructura
normal diran que entre en calendabro y la pinta dirán que costo 9 5 millones de dólares para justificar no te espantes,3,,0.39243194460868835,infraestructura
debieron empezar desde el año pasado pero siempre procastinan,2,,0.35076597332954407,infraestructura
pues yo una ves me cague para mí está bien,3,,0.40315642952919006,infraestructura
la desventaja que el gobierno liberó los recursos a finales de marzo 2026,1,,0.47964343428611755,infraestructura
no roban la energía ya está la instalación de cfe solo faltan los medidores eso pasa hasta en las casas no lo instalan de inmediato,1,,0.6699547171592712,infraestructura
mejor deberían de ocupar ese presupuesto k gastaron en otras cosas k hacen falta para los k aqui vivimos,1,,0.45228877663612366,infraestructura
están construyendo baños para el mundial pero no arreglan los baches o las fugas de agua de hay en la cuidad,2,2.0,0.44536077976226807,infraestructura
me da risa si donde quiera hay goteras y eso que aún no llueve en serio,2,,0.3579399585723877,infraestructura
uno que otro usuario del metro,1,,0.25082945823669434,infraestructura
para eso si ahí lana no pero para que aya agua y pavimenten para eso no ahí que poca tienen,3,,0.4281928837299347,infraestructura
para que no los abran como los elevadores en puentes y metro,2,,0.37834596633911133,infraestructura
exacto es lo que digo ese dinero que se gastaron millones de pesos en remodelaciones piteras que no eran necesarias y las vías los trenes las instalaciones eléctricas las goteras la humedad lo que sí es necesario,1,,0.3487042784690857,infraestructura
no son goteras es una fuente natural,5,,0.2744290232658386,infraestructura
está presidenta creo que estamos en el siglo 16 ya que siempre le echa la culpa a los opositores me da risa me da risa,1,,0.31142106652259827,infraestructura
peña nieto se te extraña,1,,0.3643946647644043,infraestructura
sin mantenimiento estarán en cuanto acabe el mundial,1,2.0,0.5604091882705688,infraestructura
todo lo que gastan deberían de aumentar las pensiones de los s trabajadores del imss ni al mínimo llega,1,,0.5591243505477905,infraestructura
cdmx es bien random,4,,0.33688241243362427,infraestructura
no entendien que entre mas gente vengas mas gente deja su dinero aquí en mexico,1,,0.7430373430252075,infraestructura
restos del prian,4,,0.24213074147701263,infraestructura
en tres meses va estar alguien afuera de cada baño vendiendo dulces y cobrando 7,1,,0.6726925373077393,infraestructura
la gente ni lo va saber usar,1,,0.36150744557380676,infraestructura
ningún chile les embona,1,,0.5086957216262817,infraestructura
seguro gastaron más de 5 millones por sanitario,1,,0.5253443121910095,infraestructura
nmmn llueve mas adentro que afuera,2,,0.3072696924209595,infraestructura
jajajjajaj,4,,0.29379889369010925,infraestructura
mañana lo pintan de morado,1,,0.44324642419815063,infraestructura
me imagino que habrá mucha gente de limpieza para todo lo que piensan poner,3,,0.3537423014640808,infraestructura
