comentario,categoria,etiqueta_estimada,etiqueta_real,confianza
se está hundiendo el titanic,infraestructura,2,2.0,0.5231375098228455
la neta está bien siempre hago en la calle pipi me da risa,infraestructura,4,3.0,0.5025904178619385
creen que los candelabros evitarán que no se den cuenta de las deficiencias en el transporte colectivo,infraestructura,2,2.0,0.6144964098930359
mejor pongan botes de basura en los metros luego se quejan que hay basura en todos lados,infraestructura,2,2.0,0.6080616116523743
me da risa es para poder llenar las estaciones de agua me da risa,infraestructura,3,2.0,0.47855255007743835
ni los baños públicos tendrán activación económica me da risa este mundial es solo para unos cuantos,infraestructura,2,2.0,0.5546161532402039
me da risa,infraestructura,3,3.0,0.5177321434020996
pero dicen no lo hubieran cuidado antes y cuando han visto todo grafiteado y lleno de basura el metro los daños que tiene el metro en general son debido al uso de millones de personas y de años sin mantenimiento alguno,infraestructura,4,4.0,0.7448399066925049
las nuevas cabinas de los,infraestructura,3,3.0,0.349111407995224
me da risa dios quiera que llueva en los partidos del mundial para que mundo se dé cuenta de lo que vivimos diario entre tráfico inundaciones y goteras,infraestructura,2,2.0,0.4660874307155609
el gobierno es un chiste,infraestructura,1,1.0,0.9786681532859802
2 semanas faltan,infraestructura,2,3.0,0.47489526867866516
lo peor del caso es que lo van a terminar meses después y no le van a volver a meter mano hasta que suceda una tragedia tipo l 12,infraestructura,2,2.0,0.5666416883468628
quieren tapar la realidad como el sol con un dedo,infraestructura,2,2.0,0.5566547513008118
está bien porque sale más caro la multa por orinar en publico,infraestructura,4,4.0,0.9097056984901428
se pasan que es para que el mundo no vea como se cae el país a pedazos ya todo mundo sabe,infraestructura,1,2.0,0.5591625571250916
la gente nunca cuida nada asi que,infraestructura,1,2.0,0.862589418888092
yo creo que usarán el poder mexa dejar todo para el día de entrega de la tarea y sacar 6,infraestructura,2,3.0,0.4890926480293274
todo tiene filtraciones y mejor hubieran comprado más trenes y arreglado el cableado,infraestructura,2,3.0,0.5415785312652588
deberían repavimentar buscar calles que están en condiciones deplorables eso nada más es desvió de recursos,infraestructura,2,2.0,0.5603300333023071
y cuando pasen los 15 minutos se queda encerrado,infraestructura,2,3.0,0.5491423010826111
en lugar de gastar en tonterías deberían dar mantenimiento real al metro,infraestructura,2,2.0,0.6146588921546936
exactamente esas goteras son de miedo hace unas semanas pasé por la estación pino suárez y justo en el tramo de la correspondencia se vino una parte del techo acompañada de agua y cascajo en allende se vinieron unas vigas y a gente que iba bajando otras subiendo les cayeron encima las vigas lo de menos es lo espantoso que están dejando las estaciones si no el peligro al que a todos nos está exponiendo el gobierno obvio un ingeniero lo puede explicar mejor pero lo que han hecho es tanto como quitarle el alma a un zapato qué dios nos cuide a todos,infraestructura,1,1.0,0.9669232964515686
uyyy y cuanto le costará a los de la cdmx esos baños serán permanentes o solo por lo del mundial,infraestructura,2,2.0,0.5551680326461792
ya le quitaste el encanto,infraestructura,2,2.0,0.4732561409473419
para que todo cambie se tiene que empezar desde nosotros desde el pueblo pero lastimosamente tanto el gobierno como las personas son un problema claro no todas pero la delincuencia la mala gente todo eso no lo podemos evitar de un día para otro triste lo de este país tan hermoso pero a la vez tan malo,infraestructura,1,1.0,0.9529351592063904
méxico mágico,infraestructura,5,3.0,0.788135290145874
obviamente no van acabar hijo,infraestructura,2,2.0,0.4520852863788605
y gasto miles de millones,infraestructura,2,2.0,0.5490828156471252
para que después lo sirvan para nada,infraestructura,2,2.0,0.5603135228157043
es propio del estilo renacentista,infraestructura,3,3.0,0.4240795969963074
por 5 pesos que esperas que te den una botella de agua y un aperitivo,infraestructura,4,4.0,0.5202043056488037
algo no cuadra,infraestructura,3,3.0,0.43985748291015625
siiii para un rapidín,infraestructura,3,3.0,0.6381493806838989
mejor que pongan más cámaras de seguridad,infraestructura,2,1.0,0.5678246021270752
hay que hablar de esto ruvalcaba,infraestructura,2,3.0,0.4098878800868988
nuevo spots para stickers,infraestructura,3,3.0,0.49815574288368225
cuánto a que los olvidan y después ni van a servir,infraestructura,2,2.0,0.48384156823158264
su gobierno que no invierte en las verdaderas necesidades de del país que se gasta el recurso en los viajes de su bancada,infraestructura,1,1.0,0.8598624467849731
me parecen bien porque al final también nosotros los vamos a poder ocupar pero si está ahí el detalle de su mantenimiento,infraestructura,4,4.0,0.9566890001296997
qué horror,infraestructura,1,1.0,0.8812278509140015
cómprate tu carro para no padezcas esos inconvenientes y viajes como mejor te plazca,infraestructura,2,3.0,0.4318137764930725
en otros países hay baños públicos de alta tecnología nosotros los necesitamos no estamos preparados para tenerlos no méxico siempre corriendo antes de caminar,infraestructura,2,3.0,0.48635080456733704
que estupidez me da risa,infraestructura,1,1.0,0.9358213543891907
por todo se quejan comprense su carro mejor yo voy bien cómoda jsjsjsj,infraestructura,3,3.0,0.5514357089996338
los hubieran puesto 1 dia antes la gente no cuida nada a ver como quedan después,infraestructura,1,1.0,0.5822587609291077
que pena da que su preoridad sea poner sanitarios que insumos y medicamentos en los hospitales,infraestructura,1,2.0,0.41924527287483215
como los baños de la línea 12 que están clausurados,infraestructura,2,3.0,0.45338699221611023
y nomas deja que llueva y se veran mas chidas las fuentes,infraestructura,2,2.0,0.7165204882621765
para que cobren 10 como ahora ya en muchos lugares sucios y el papel aparte,infraestructura,2,1.0,0.6183426380157471
y pregunta cuánto costara,infraestructura,3,3.0,0.5493962168693542
buena iniciativa,infraestructura,5,5.0,0.9157161116600037
gente tendremos titanic 2 en méxico claro que si próximamente en envivos de tik tok,infraestructura,3,3.0,0.4455988109111786
que arreglen las calles,infraestructura,2,2.0,0.5464370846748352
de verdad esperaban algo distinto lo hizo la 4 deformación,infraestructura,2,1.0,0.4484643340110779
las goteras del bienestar,infraestructura,2,2.0,0.5823671221733093
son faroles y de hecho tienes razón lo que debieron remodelar no lo hicieron,infraestructura,2,2.0,0.5094094276428223
la cfe robándole a la nación de la cfe,infraestructura,1,2.0,0.6243649125099182
y si mejor tapan los baches y invierten en seguridad,infraestructura,2,1.0,0.6413348913192749
es que esa es la fuente bro que no estás viendo,infraestructura,1,1.0,0.6213857531547546
la del zócalo está de la vrga ni abierta estaba,infraestructura,2,1.0,0.5304182171821594
mejor que inviten los boletos para la final de cruz azul vs pumas,infraestructura,3,3.0,0.4909018278121948
los candelabros de la época de porfirio díaz,infraestructura,3,3.0,0.4292810261249542
pues ya lo hubiera dejado en 5pesos,infraestructura,3,3.0,0.4620971083641052
se ve más económico,infraestructura,3,3.0,0.6025272011756897
que oso pero dudo que la gente que pueda pagar un boleto para el mundial se traslade en metro me da risa,infraestructura,4,3.0,0.39620837569236755
cuando realizarán algo bien,infraestructura,3,1.0,0.43149057030677795
gastan en puras tonterías y lo que deben hacer no lo hacen gobierno de 4ta,infraestructura,1,1.0,0.8895528316497803
apoco si creían que morena iba a hacer obras de calidad ya maduren,infraestructura,1,1.0,0.4289793074131012
dicen los gobernantes que para el próximo mundial sin falta,infraestructura,3,3.0,0.4291847348213196
esto es una locura de corrupción clara brugada ciudad de méxico,infraestructura,1,1.0,0.9784607291221619
15 días tienen,infraestructura,3,3.0,0.5052977204322815
lo vi en,infraestructura,3,3.0,0.4335547089576721
que caray no duró ni para el mundial,infraestructura,2,2.0,0.4239460229873657
la cosa es que van a entregar y así lo van a dejar para el siguiente,infraestructura,3,3.0,0.45120537281036377
recuerden mis palabras después del mundial no van a funcionar regularmente,infraestructura,1,2.0,0.5048128366470337
es una vergüenza,infraestructura,1,1.0,0.9790583252906799
remodelacion a medias igual que en las calles de la cdmx,infraestructura,2,2.0,0.6083048582077026
también colocaron cascadas artificiales instalaciones de primer nivel,infraestructura,2,2.0,0.5544073581695557
en auditorio apenas la van a terminar y quedó mejor que bellas artes,infraestructura,2,3.0,0.467669278383255
como dice la señora solo va a ser por el mundial después hasta van a cobrar,infraestructura,1,1.0,0.3637234568595886
así es ocapa brukk,infraestructura,3,3.0,0.6118316054344177
alch q bueno que no quede,infraestructura,1,1.0,0.7566209435462952
la primera marcha en la que se les ocurra voltear a ver los candiles lámparas o vitrales y ya era el metro se debe planear para lo que es mover masivamente a gente de manera segura y eficiente esto no abona a esa misión,infraestructura,2,3.0,0.5406674742698669
ya después los quitan me da risa,infraestructura,3,3.0,0.4468347728252411
nada les embona,infraestructura,4,4.0,0.45817580819129944
había ofertas en galerías el triunfo,infraestructura,3,3.0,0.42711779475212097
2 semanas,infraestructura,3,3.0,0.41106700897216797
maquillaje del bienestar,infraestructura,3,2.0,0.4477129280567169
me da risa gobierno ridículo que el mundo se entere como nos tienen,infraestructura,1,1.0,0.956017792224884
que elegancia la de juuuuuaaaatttt,infraestructura,3,3.0,0.45321494340896606
lo q no sabes es q esas goteras son parte de los adornos,infraestructura,3,3.0,0.40974169969558716
nmmn hasta ahorita se dan cuenta si desde que empezaron ya se sabía que no iban a terminar,infraestructura,3,3.0,0.42123496532440186
falto pintura morada,infraestructura,2,3.0,0.5101211071014404
jajajajajaajajaa es neta que pusieron eso en el metro no mms,infraestructura,3,3.0,0.4254935085773468
esta quedando con madre la escenografía,infraestructura,4,4.0,0.6690436601638794
a que partido te vendiste cuánto te pagaron,infraestructura,1,3.0,0.3819401264190674
yo ayer en la estación hidalgo esperando el metro viendo como goteaba el techo,infraestructura,3,3.0,0.5003476738929749
y las calles y carreteras como para cuando,infraestructura,3,2.0,0.4978395402431488
me recuerda aquel conocido refrán candil de la calle oscuridad de la casa,infraestructura,1,3.0,0.5432689785957336
renuncia clara brugada,infraestructura,1,1.0,0.4192031919956207
la primera señora tiene toda la razón,infraestructura,3,3.0,0.43999823927879333
el metro es subterráneo y está en medio de un túnel de bajo de la tierra y todas las líneas del metro son así,infraestructura,3,3.0,0.3688167929649353
jajjajajaj,infraestructura,3,3.0,0.4861294627189636
me da risa,infraestructura,3,3.0,0.5177319645881653
no sé porque permitimos estos desfalcos innecesarios cuando en el país hay otras prioridades entonces si hay presupuesto pero el gobierno de no lo suelta porque le vale madres el país y su gente,infraestructura,1,1.0,0.9339077472686768
que t valgaa,infraestructura,2,1.0,0.4317740499973297
solo por el mundial,infraestructura,3,2.0,0.4252890944480896
de hecho pense que era el unico que se dio cuenta del tema me da risa,infraestructura,3,3.0,0.396807461977005
no gracias,infraestructura,1,1.0,0.7065196633338928
cómo si con pintura y loseta nueva fueran a avanzar más rápido los trenes,infraestructura,2,2.0,0.6085930466651917
eh ey ey porque no hay un ajolote ahí y por qué no está pintado de morado,infraestructura,3,3.0,0.58416748046875
ningún chile les embona que si está en reparación que si esto que si el otro que por qué mejor no lo cierran que por qué lo cierran sabes realmente que el metro jamás puede parar su servicio ya que es el trasporte de millones de personas y el darle un mantenimiento muy profundo requiere de mucho tiempo ahora el metro está fuera de servicio desde las 0 00 hasta las 05 00 am en 5 horas diarias es imposible dar mtt muy profundo,infraestructura,4,4.0,0.41646748781204224
y las coladeras trampa para cuando,infraestructura,2,2.0,0.5888030529022217
y no sería mejor que den mantenimiento o modernicen los semáforos de la ciudad,infraestructura,2,2.0,0.6862719655036926
que metro es,infraestructura,3,3.0,0.6366049647331238
no me gusta nada les embona,infraestructura,1,4.0,0.5419699549674988
dejaron las fuentes modernas,infraestructura,2,3.0,0.5114673972129822
la primera señora tiene toda la razón,infraestructura,3,3.0,0.4399982988834381
y justificaron millones de pesos gastados me da risa,infraestructura,2,2.0,0.4856724143028259
gobierno,infraestructura,5,3.0,0.436801016330719
yujuuuu para los choferesde app me da risa,infraestructura,2,,0.45270296931266785
saldrán con la excusa de q era una remodelacion muy aparte del mundial,infraestructura,2,,0.4285179078578949
puro gasto inútil,infraestructura,1,,0.8968144655227661
un nuevo crusing,infraestructura,2,,0.5496646165847778
cuando estaba lloviendo yo una vez me iba a caer a las vías por que me resbalé por evitar esas tablas,infraestructura,2,,0.4336727261543274
nada nos parece,infraestructura,3,,0.31127387285232544
como no siempre se necesita los baños públicos,infraestructura,3,,0.4392990171909332
nada les embona,infraestructura,4,,0.4581758975982666
el metro necesita mantenimiento no lámparitas bonitas,infraestructura,2,,0.5513123869895935
ese gasto es inesesario porque después de unos meses no le van a dar mantenimiento y aparte eso requiere de sanitización,infraestructura,2,,0.46730729937553406
mejor que recojan realmente la basura que hay en las calles,infraestructura,1,,0.5698074102401733
te imaginas cuanto supuestamente gastarían en arreglar nadamas una parte así v dirían q ocupan unos cuantos billones y aún así haber si queda v pq es difícil yo digo pero aún así v en una de esas por la humedad pierde sus propiedades para cargar tanto peso para el q fue diseñado y sacas q se caiga mms,infraestructura,2,,0.5010790824890137
que elegancia la de francia y las goteras pa,infraestructura,3,,0.4621439576148987
mejor q arreglen los elevadores y las escaleras eléctricas del metro y metrobus,infraestructura,2,2.0,0.5883955955505371
ni hay agua,infraestructura,2,,0.4021442234516144
hasta eso les van a quitar a los comerciantes,infraestructura,2,,0.4315776824951172
sí se quejan cuando el metro cerró para la remodelación visual ahora si tuvieran que reparar todo desde cero imagínense estuvieran peor,infraestructura,2,,0.3954290449619293
no nada más por el mundial todos esos sanitarios los deberían de poner en cada transborde de las líneas del metro de la cdmx,infraestructura,2,,0.5191214680671692
ojalá las personas que viven en las calles no se adueñen de los baños y las conviertan en su hogar,infraestructura,2,,0.6642544865608215
porque no ponen botes de basura en toda la ciudad y arreglen todos los el pavimento y tuberías de agua,infraestructura,4,3.0,0.5326141119003296
estan como cuando se les esta botando la pintura porque tienen humedad en las paredes y dicen que poniendoles sellador y una pintadita queda bien,infraestructura,3,,0.42998772859573364
muchas gracias por tu reporte joaquin,infraestructura,5,,0.7964584827423096
la apuesta es que no llueva en el mundial,infraestructura,1,,0.49234190583229065
las estupideces de los gobiernos de morena no tienen límites,infraestructura,1,,0.9321343302726746
esos sanitarios se saldrán de control estará apestosos,infraestructura,2,,0.5226176381111145
gobernado por morena,infraestructura,1,,0.43820202350616455
3 mil millones de pesos costaron seguramente y se embolsaron más de la mitad y van a costar más de 30 pesos el acceso,infraestructura,2,,0.6159286499023438
este gobierno pura estupidez,infraestructura,1,,0.9883909225463867
es una cascada muy top muy fina para que cualquiera le vea el potencial muy como en dubai,infraestructura,4,,0.4557640850543976
se pasaron yo me imaginaba más moderno el metro que iba a quedar pero no así,infraestructura,2,,0.5755493640899658
puras apariencias,infraestructura,2,,0.42429691553115845
mejor inviertanle más al metro porque siento que cada vez está peor,infraestructura,2,,0.602857768535614
y las escuelas y hospitales para cuando,infraestructura,3,,0.42774900794029236
me da risa,infraestructura,3,,0.5177319049835205
n necesito q vayas,infraestructura,3,,0.44189149141311646
línea 1 tiene puros plafones oxidados por humedad rubalcaba también nosotros maltratamos las estaciones con humedad,infraestructura,2,,0.5987290143966675
y si mejor arreglan los hospitales ponen mas camas por que nunca hay dan medicamentos e insumos,infraestructura,2,2.0,0.5550183057785034
dios ya quitales el poder,infraestructura,2,,0.3565024733543396
no lo entiendes es el toque de humildad que todo burgués necesita,infraestructura,1,,0.9159618020057678
shhhaaale,infraestructura,2,,0.4589795768260956
gobierno ignorante mejor que arreglen las goteras,infraestructura,1,,0.9732086658477783
si estuvo bn siempre me ando cagando en los baños,infraestructura,3,,0.4516184628009796
y los hospitales hasta sin reactivos para hacer un laboratorio de gabinete básico,infraestructura,2,,0.5785999298095703
que burla como todo en este gobierno,infraestructura,1,,0.8779748678207397
la gente dice no me gustan prefiero cagar en una bolsa,infraestructura,1,,0.6551711559295654
es la gealidad dul tegceg monde muy bueno la decoración y el servicio de calidad para cuando,infraestructura,5,,0.4722713232040405
me da risa es para sentir q estas en venecia entre lujos y agua,infraestructura,3,,0.5140277147293091
siento que no lo van a terminar y van a usar el pretexto de que en realidad las reparaciones no eran para el mundial sino para el pueblo bueno,infraestructura,2,,0.6094521880149841
para puro turista y los ricos,infraestructura,3,,0.3955082893371582
cómo si valiera la pena,infraestructura,3,,0.41085582971572876
están buenos para el cruising,infraestructura,4,4.0,0.6683579683303833
si lo terminan pero quedarán muchos detalles,infraestructura,4,,0.7379931211471558
no me reuso a usar algo que dejo el malvado don porfirio sarcasmo perdoneme don profirio por cierto la lampara combina con la cinta aguas con la pared y las aguas en los techos,infraestructura,1,,0.9196698069572449
si el peor gobierno bola de corruptos miserables,infraestructura,1,,0.9800615906715393
se hizo rápido la remodelación nunca dijimos que bien,infraestructura,4,,0.36680692434310913
eso es normal son filtraciones de agua por que es subsuelo,infraestructura,3,,0.369646281003952
clara y si mejor arreglas los baches y pones mayor seguridad es lobque necesitamos,infraestructura,2,,0.5337384343147278
y las cascadas y goteras para cuando,infraestructura,2,,0.5910334587097168
mejor la ajolotera esa que vea los baches caray,infraestructura,2,,0.5658354759216309
y la línea a cuando ah no que a iztapalacra no vienen turistas,infraestructura,3,,0.3962031900882721
y si mejor nos ponen más seguridad,infraestructura,2,,0.48450466990470886
toma taxi,infraestructura,5,,0.3238232731819153
al rato va a estar abandonado sucio y con basura,infraestructura,2,,0.5649120211601257
mejor no hagan nada,infraestructura,1,,0.5613002181053162
y si mejor lo cancelan,infraestructura,2,2.0,0.5282366275787354
pasara lo que con los bebederos en los metros solo el gasto y ya,infraestructura,2,,0.5264189839363098
las fugas pa cuando,infraestructura,2,,0.4863380789756775
lo peor cuando pase el mundial lo van a dejar así los creo muy capaces,infraestructura,2,,0.4668826758861542
inviertan o no siguen jodiendo todo les molesta que horror,infraestructura,1,,0.684550404548645
no al mundial por el ebola,infraestructura,1,,0.9476003050804138
cuantos millones costarían esos candelabros de temu,infraestructura,2,,0.45378535985946655
no alcanzo el presupuesto para hacerlo bien,infraestructura,2,,0.4554634690284729
siguen las simulaciones hicieron como que remodelaron y a la primera de las lluvias ven lo obvio lo mal hecho,infraestructura,2,,0.528151273727417
es para que sientas que vas caminando con luz de los candelabros bajo la lluvia al puro estilo europeo,infraestructura,3,,0.5425929427146912
son cascadas para dar el toque de la francia de los grandes jardines con fuentes,infraestructura,4,,0.5512155890464783
pero si ya existe reforma 22,infraestructura,4,2.0,0.5405508279800415
al chile que bueno,infraestructura,3,,0.5592392683029175
hay prioridades quedar bien en el mundial,infraestructura,4,,0.4182480275630951
creo que en portales van poner como tipo pista de baile,infraestructura,3,,0.49109145998954773
esas madres ni van a durar 6 meses,infraestructura,2,,0.4877018332481384
neta hay cosas más necesarias,infraestructura,3,,0.570883572101593
esas goteras tienen tanto tiempo qué ya daño el cemento del piso se nota en la huella,infraestructura,2,,0.5846765637397766
me recuerda a las mamás no todas cuando va a llegar una visita limpian toodo a fondo la mejor vajilla los manteles mas lindos copas etc pero cuando no hay visitas usan la vajilla ya despostillada los vasos desiguales los manteles viejitos etc algo asi esta pasando pero a gran escala,infraestructura,4,,0.45516088604927063
puro gasto infructuoso pero bueno como no es su dinero,infraestructura,1,,0.899078369140625
y las inundaciones fuera del metro ni se diga,infraestructura,2,,0.6150256395339966
ví un meme de esos candelabros y pensé que era una broma y no si pusieron,infraestructura,2,,0.41185158491134644
ya quiero ver el costo al que se los vendieron a brugada,infraestructura,3,,0.39738550782203674
por qué quieren aparentar lo que no es,infraestructura,1,,0.5087716579437256
las prioridades del metro están igual a mi economía,infraestructura,3,,0.4873192310333252
puesi q ganan con gastar dinero en eso con quién quieren quedar bien y eso es poco por loq hayq hacer por los metros hospitales parques me da risa,infraestructura,3,,0.4453098475933075
el auditorio ayer todo parecía la esperanza pero sin luz no mmn,infraestructura,3,,0.38040441274642944
no words,infraestructura,1,,0.5850172638893127
les digo que este gobierno es una,infraestructura,1,,0.5870092511177063
como el mismo gobierno se roba la luz,infraestructura,1,,0.8469924330711365
15 días y ya hicieron su mmda te apuesto que ni lo van a terminar y lo van a dejar a medias,infraestructura,2,,0.5624402165412903
yo solo juzgamos y juzgamos como si fuwramos perfectos avwces si hay gente que cae mal se creen perfectos,infraestructura,1,,0.4427810311317444
cómo no un parchecito por aquí otro parchecito por allá y nadie ve los daños sarcasmo,infraestructura,1,,0.3969978392124176
uffas nuevos lienzos,infraestructura,2,,0.5640890598297119
me da risa no mms,infraestructura,3,,0.4452284574508667
es para darle el estilo vintage,infraestructura,3,,0.4117729961872101
no no no solo ve los candelabros,infraestructura,2,,0.5676394104957581
parece zona de guerra,infraestructura,2,,0.323447048664093
lo peor esq las paredes de mármol las pusieron por encima de la pared de antes,infraestructura,2,,0.5554195642471313
un poco de pintura lila y queda como nuevo,infraestructura,3,,0.5765863060951233
y como pa que fue eso de los candelabros,infraestructura,3,,0.4940311908721924
normal diran que entre en calendabro y la pinta dirán que costo 9 5 millones de dólares para justificar no te espantes,infraestructura,3,,0.44954565167427063
debieron empezar desde el año pasado pero siempre procastinan,infraestructura,2,,0.5128611922264099
pues yo una ves me cague para mí está bien,infraestructura,4,,0.5622503161430359
la desventaja que el gobierno liberó los recursos a finales de marzo 2026,infraestructura,1,,0.5291479825973511
no roban la energía ya está la instalación de cfe solo faltan los medidores eso pasa hasta en las casas no lo instalan de inmediato,infraestructura,1,,0.5627309083938599
mejor deberían de ocupar ese presupuesto k gastaron en otras cosas k hacen falta para los k aqui vivimos,infraestructura,2,,0.5267227292060852
están construyendo baños para el mundial pero no arreglan los baches o las fugas de agua de hay en la cuidad,infraestructura,2,2.0,0.45336484909057617
me da risa si donde quiera hay goteras y eso que aún no llueve en serio,infraestructura,2,,0.47215336561203003
uno que otro usuario del metro,infraestructura,3,,0.500779390335083
para eso si ahí lana no pero para que aya agua y pavimenten para eso no ahí que poca tienen,infraestructura,4,,0.3985530734062195
para que no los abran como los elevadores en puentes y metro,infraestructura,2,,0.6339237689971924
exacto es lo que digo ese dinero que se gastaron millones de pesos en remodelaciones piteras que no eran necesarias y las vías los trenes las instalaciones eléctricas las goteras la humedad lo que sí es necesario,infraestructura,1,,0.46061357855796814
no son goteras es una fuente natural,infraestructura,2,,0.37575873732566833
está presidenta creo que estamos en el siglo 16 ya que siempre le echa la culpa a los opositores me da risa me da risa,infraestructura,1,,0.5393335819244385
peña nieto se te extraña,infraestructura,1,,0.44514793157577515
sin mantenimiento estarán en cuanto acabe el mundial,infraestructura,1,2.0,0.6168954372406006
todo lo que gastan deberían de aumentar las pensiones de los s trabajadores del imss ni al mínimo llega,infraestructura,2,,0.4615779221057892
cdmx es bien random,infraestructura,3,,0.5078920722007751
no entendien que entre mas gente vengas mas gente deja su dinero aquí en mexico,infraestructura,1,,0.8061044216156006
restos del prian,infraestructura,3,,0.36217042803764343
en tres meses va estar alguien afuera de cada baño vendiendo dulces y cobrando 7,infraestructura,2,,0.44471752643585205
la gente ni lo va saber usar,infraestructura,1,,0.3946511149406433
ningún chile les embona,infraestructura,3,,0.4321517050266266
seguro gastaron más de 5 millones por sanitario,infraestructura,2,,0.41086339950561523
nmmn llueve mas adentro que afuera,infraestructura,2,,0.4721299111843109
jajajjajaj,infraestructura,3,,0.5023653507232666
mañana lo pintan de morado,infraestructura,2,,0.445069283246994
me imagino que habrá mucha gente de limpieza para todo lo que piensan poner,infraestructura,2,,0.49971941113471985
