comentario,rango_humano,aux,,,,,
México no necesita tener un mundial para tener toda esa seguridad la necesita siempre para todos los mexicanos que triste ver la realidad del gobierno,,0.783617284,,,,,
🙏🏻 Dios les de fuerza y les devuelva a sus hijos,,0.258436426,,,,,
-proteger a los Mismos Mexicanos en su País Mexicano Respuesta: NEGATIVO!,,0.865460023,,,,,
"Para los que no entienden, ojalá nunca les toque buscar un familiar o que sean ellos a los que los tengan que buscar",,0.368391976,,,,,
TODOS los mexicanos conocemos o sabemos de alguien que está desaparecido o ha sido afectado por el crimen.,,0.867735983,,,,,
"Es que entiendan, no están en contra del mundial ni nada, sino que están en contra de que se gasten miles de millones de pesos en remodelaciones innecesarias solo para verse ""bonita"" para menos del mes, mientras no hay dinero para búsquedas de desaparecidos, no hay dinero para medicamentos, no hay dinero para nada",,0.574127563,,,,,
Y la de proteger al pueblo siempre no se la saben?,,0.449792509,,,,,
[Sticker] Donde se puede donar para que impriman más?,,0.074621581,,,,,
no queremos mundial gobierno mediocre queremos seguridad de nuestro país queremos nuestros ecosistemas limpios queremos que no destruyan nuestros ecosistemas y acaben con la naturaleza queremos un país con soberanía,,0.096391004,,,,,
"Me gusta mucho el fútbol, pero ha llegado el momento de que miles de voces sean escuchadas, de que todos nos unamos.",,0.79826652,,,,,
"osea que para el mundial si tienen seguridad pero para el día a día no 🗿
grande mi país (saquenme de aquí)",,0.239657936,,,,,
"Llenen este carrito de super , yo empiezo 🛒",,0.388433162,,,,,
que miedo 😔,,0.213249746,,,,,
si tan solo usaran toda esa organización y poder para realmente limpiar y cuidar el país 😔,,0.433932317,,,,,
necesitamos seguridad no mundial,,0.78166977,,,,,
El sábado fui al centro es una tristeza ver tantos carteles de personas desaparecidas !! Que miedo 🥹,,0.219987377,,,,,
"No vengan ,no les crean",,0.94640779,,,,,
"No me interesa el mundial aquí, me interesa la seguridad de mi pueblo, el hambre de mi país",,0.036013233,,,,,
Entonces tomaremos la seguridad como privilegio de algunos cuantos …😡😡😡,,0.542964945,,,,,
[Sticker] ,,0.834105043,,,,,
Nos puede des decir de donde sale o que significa KUKULCAN me suena a cucurrucucu hay México,,0.7627332,,,,,
Pero Dice Tu Tía Claudia Que Cada Vez Estamos Mejor,,0.910704782,,,,,
Lo que me imaginé …..,,0.113772085,,,,,
osea que si pueden proteger 😳 pero no quieren😳😳😳,,0.141072068,,,,,
E lugar de mi dial y trenes busque allude con los desaparesidos,,0.161942197,,,,,
"ven que si tenemos la capacidad de controlar la violencia en mexico, armamento, gente pero nomas les vlvga al gobierno",,0.80511723,,,,,
Los policías también roban ojo ahí turistas ojalá no vengan 😐,,0.585175743,,,,,
Si hablamos de Mexico no confío ni en la policía,,0.743019959,,,,,
Se va poner de acuerdo Harfuch con los capos con los que tiene acuerdo para que ese mes no hagan nada y van a decir que el plan que propusieron dio resultado 🤣🤣🤣🤣🤣,,0.268591567,,,,,
un poco mas y es el.plan kukusklan 😂😂😂,,0.526270044,,,,,
Por que no posieron eso para acabar con los carteles,,0.094996298,,,,,
Hay que cancelar el mundial eso no es importante lo importante es tratar los problemas del país,,0.907216645,,,,,
Imaginen esto en Sinaloa también ?,,0.38788341,,,,,
Lo chistoso es que esos 3 aviones caza F5 son todos los que tiene la Fuerza Aérea jajajaja,,0.401329065,,,,,
"osea hacen de cuidado solo cuando es mundial
pero el resto del año q se chinguen el pueblo",,0.599264248,,,,,
De que sirve si les da miedo enfrentar a los delincuentes,,0.741692876,,,,,
[Sticker] igual el mundial mexico no va pasar de cuartos,,0.383466909,,,,,
"no protege ni a los ciudadanos,que va proteger a los turistas",,0.751524062,,,,,
"Justicia para los desaparecidos, no quiero mundial quiero un Mexico seguro",,0.398912955,,,,,
"imponer el plan Kukulkán en México para que acaben con la violencia ❌
imponer el plan Kukulkán solo para el mundial y atraer extranjeros ✅",,0.505303494,,,,,
lamento mucho su dolor mamitas y papitos😢,,0.754325755,,,,,
"[Sticker] Cómo se notan las prioridades, no se dejen que vean lo que realmente importa!",,0.79965815,,,,,
"Mi apoyo desde España, comparto . Mucha fuerza para las Familias",,0.481424128,,,,,
"Que hermosa campaña, no se dejen, estamos con ustedes. 🥺😭",,0.518721937,,,,,
Gobierno de asco .....,,0.73182901,,,,,
Osea que si se puede reforzar la seguridad?... Interesante,,0.214308506,,,,,
triste realidad de México 😡😡😡😡,,0.251674539,,,,,
y la seguridad despues del Mundial que? cual plan ?🤔🤔🤔,,0.75670576,,,,,
"[Sticker] Ellos no deben ser invisibles en el Mundia, ellos deben ser los mas presentes en el Mundial, que el mundo vea rosotros de gente que puede ser encontrada gracias a la difusion",,0.93157709,,,,,
Duda latinus es independiente o pertenece a alguna televisora ?,,0.30838309,,,,,
los comentarios ocultos 👀,,0.585394733,,,,,
"pero ya están vendidos todos los boletos y la venta de playeras no para y no se diga del álbum que es todo un fenómeno nacional más de 1500 albums vendidos diariamente y 10 mil sobres con las cartitas, también",,0.682947283,,,,,
[Sticker] ojalá encuentren a los desaparecidos,,0.641881508,,,,,
Dios los bendiga salmos92:10-12 y salmos94:1-23,,0.173795864,,,,,
Su mirada 🥹,,0.814758565,,,,,
"Escuchen bien , dijeron proteger a los turistas y a los equipos, porque los mexicanos no les importamos",,0.964141849,,,,,
El mundial es cada 4 años y desaparecidos hay siempre pueden esperar.,,0.599027035,,,,,
"de por sí me cae mal el futbol, ahora mas",,0.973415101,,,,,
[Sticker] mientras tanto claudia:,,0.447098419,,,,,
La tristeza 😭,,0.781592312,,,,,
y porque no hacen eso siempre pero para todos los mexicanos???😏😏😏,,0.876667482,,,,,
"Ya vimos que si no le beneficia al gobierno no hace nada respecto a la seguridad 🤷🏽‍♂️, mientras después que pase la FIFA otra ves a números rojos",,0.125738608,,,,,
🚫 NO AL MUNDIAL EN MÉXICO 🚫,,0.280824037,,,,,
"Ahi vemos que es prioridad para los gobiernos, que tristeza",,0.128763359,,,,,
"y despues del mundial, q nos lleve la chingada a todos los demas",,0.371989884,,,,,
jajajaja no tenemos ese tipo de aviones 😂😂😂,,0.525693419,,,,,
NO AL MUNDIAL EN MEXICO 🇲🇽.. para proteger extrangeros hacen todo y NOSOTROS ??,,0.088030327,,,,,
"Se jactan, presumen de tanta seguridad y saben perfectamente que nada esta bien en éste país, ojalá no hubiera mundial.",,0.577394365,,,,,
ojala cancelen el mundial,,0.04595555,,,,,
[Sticker] ,,0.404448139,,,,,
[Sticker] NO QUEREMOS MUNDIAL,,0.983754325,,,,,
[Sticker] ,,0.992328817,,,,,
"Seguridad para la gente del Mencho
Seguridad para extranjeros
y para cuándo la seguridad para los ciudadanos?
Bueno igual se les olvida un poquito cuando tienen que ejercer sus derechos y ver a Shakira",,0.750252457,,,,,
"Deberían cancelar el mundial en México, por seguridad no deberían hacerlo acá",,0.47793817,,,,,
Para mí que gana Portugal,,0.074402582,,,,,
ojalá los encuentren! dios los bendiga 🙏,,0.254343014,,,,,
NO AL MUNDIAL,,0.532185973,,,,,
El gobierno que hace para el mundial? Si el mundial lo hace la FIFA?,,0.241229767,,,,,
Qué pena que sea para cuidar a los turistas y no lo hagan siempre para cuidar a los mexicanos,,0.181499677,,,,,
Apoyo la manifestación el día del mundial 🙌,,0.701715597,,,,,
Porque no entienden que no se trata de partidos políticos ni gobiernos se trata de quien Gobierna cada entidad quien este en la presidencia es lo mismo hará lo que pueda en su gobierno pero los que son los Gobernadores delegados o presidentes de cada entidad son los que hacen lo que quieren,,0.295396688,,,,,
el dinero y el football es más importante que las vidas de la gente todo mundo lo sabe,,0.041394279,,,,,
el mundial es un tape de ojo Pará lo que se viene todo lo que roba el gobierno,,0.380982971,,,,,
ni regalado,,0.15487569,,,,,
todo eso para proteger extranjeros pero a los mexicanos que nos lleve la chgda 😅,,0.561913651,,,,,
Ojalá cancelen el mundial,,0.554826932,,,,,
Que tristeza,,0.885593114,,,,,
ya ven que no terminan con el narco nada más porqué no quieren,,0.801959389,,,,,
"Osea, se preocupan por todos, menos por nosotros los MEXICANOS 😔",,0.639910438,,,,,
Queremos seguridad no Mundial.,,0.093646233,,,,,
[Sticker] ,,0.975894074,,,,,
Por qué no hablan de cancelar el mundial en Estados Unidos por riesgo a un ataque 🙄,,0.460870186,,,,,
Ya que cancelen el mundial por fsvooooor,,0.1543039,,,,,
"si ellos mismos te roban también es algo que no tiene sentido, deben tener más cuidado ya que te quitan dinero",,0.396443498,,,,,
para que tanta seguridad si se trata de un evento deportivo?,,0.907848845,,,,,
que impotencia 😫😫😫😫,,0.608018495,,,,,
"Tienen razón, no se vale!!!",,0.054645822,,,,,
[Sticker] espero que algún día tenga respuesta de donde esta sus ijos,,0.950821082,,,,,
"México protegiendo a todos menos a los mexicanos, ojalá no haya mundial neta",,0.048517611,,,,,
BOICOT AL MUNDIAAAAAAAL,,0.586079093,,,,,
Mucha fuerza y luz para todos los padres buscadores 🙏🏻,,0.328712873,,,,,
"Y los medicamentos en los. Servicios de salud, para cuando????",,0.448071592,,,,,
Deja tu flor (interactuando) 🌸👇🏻,,0.424148317,,,,,
"no necesitamos un mundial , necesitamos apoyo para las madres buscadoras !!",,0.054564542,,,,,
no queremos mundial,,0.134105037,,,,,
[Sticker] ,,0.794214449,,,,,
Entonces si había tecnología para acabar con el crimen organizado??? Pero no querían trabajar ???,,0.196947754,,,,,
por favor FIFA cancele el mundial en México está muy muy peligroso,,0.756905972,,,,,
Plan para defender a los ciudadanos? NAH AQUI NO HACEMOS ESO,,0.221119466,,,,,
Que nos quieren decir que si se puede hacer operativos de seguridad pero no para el pueblo bueno y pero si para los turistas.... Que cinismo de este gobierno,,0.231719016,,,,,
duele mucho este tema estos hechos duelen mucho 😞😞😞,,0.658526476,,,,,
Terminando el mundial continuamos sin seguridad,,0.339308724,,,,,
Marcha el día de la inauguración!!,,0.059216114,,,,,
"Es que, el mundo se acaba para unas personas y sigue para otras, los que no tienen problemas si desean el mundial, lo siento en verdad por los que una tristeza o injusticia hará que vean al mundial como un gasto innecesario",,0.562954253,,,,,
Toda mi empatía con los padres buscadores.,,0.554379027,,,,,
"Plan para que el país mejore : ❌
Plan para el mundial solamente: ✅",,0.91282156,,,,,
Reclámale a tu gobernador,,0.973049272,,,,,
No sabía que contábamos con tantos elementos de defensa aérea en el país. además por qué mencionan medidas y entrenamiento contra terrorismo?...,,0.265985745,,,,,
[Sticker] ,,0.644920992,,,,,
Va a ser un CAOS total,,0.64095019,,,,,
Ah bueno los mexicanos valemos madre,,0.677873903,,,,,
¿Con quién nos comunicamos para apoyar con la impresión y el pegado de fichas?,,0.667453344,,,,,
Todo sea por el futbol y a la población que se la lleve el cuerno,,0.356187036,,,,,
México es un estado fallido,,0.754804404,,,,,
Por Que no implementan un plan para todo Mexico ?,,0.766369549,,,,,
[Sticker] No queremos mundial!!,,0.192362566,,,,,
"@__carolom__: Lo ideal sería boicotear el mundial y no acudir al estadio, no consumir de las marcas patrocinadoras ... pero seguiré soñando, porque en mi México mágico eso jamás sucedería",,0.408211894,,,,,
"Entonces para el gobierno es prioridad la seguridad de 5.5 millones de turistas por 1 mes, que la de 134 millones de mexicanos todo el año?",,0.68913862,,,,,
"Eso significa que si pueden implementar seguridad, solo que no les interesa proteger a los mexicanos",,0.914085551,,,,,
"esto ya es demasiado grave, par nuestro país",,0.015980965,,,,,
"nosotros como mexicanos debemos cancelar dicho mundial, ya que el dinero recaudado no es para el país, es para el gobierno.
Dos, quien nos asegura que no va ver atentados, en los estadios, hoteles, avenidas principales.
mejor cancelarlo",,0.42022916,,,,,
Eso no le importa al gobierno. Tristemente 😔😔😔😔,,0.993395079,,,,,
Bravo por esa gente 🙏🏻👏🏻👏🏻👏🏻👏🏻,,0.491559239,,,,,
SE APLAUDE Y LA PREGUNTA ES ..y porque no hacerlo Permanente para cuidarnos a los Mexicanos que vivimos aqui?,,0.781436025,,,,,
"[Sticker] Yo te apoyo por qué hoy son tus hijos,Mañana NO quiero que sean los míos ❌",,0.776825244,,,,,
"neta méxico tiene todo para ser primer mundo, pero a los del poder se les sube el poder, se dejan ganar y les gana el hambre de más poder.",,0.516718114,,,,,
el plan Kukulkán llegó para quedarse o solo será temporal mientras está el mundial 🤔🤔,,0.26438458,,,,,
Solo pensar en México da miedo,,0.581286759,,,,,
q sean encontrados 🙏,,0.511758242,,,,,
"Muy bonito todo, pero es obvio que no se cuenta con el personal y mucho menos con el equipo táctico indispensable para garantizar seguridad",,0.607912445,,,,,
Me encanta el futbol y me llena de mucha alegría que los mexas sabemos que aquí lo importante son nuestros desaparecidos la exigencia de seguridad y una vida digna para todos mis compatriotas,,0.825934293,,,,,
[Sticker] ,,0.423748475,,,,,
si de mi dependiera sería ÚNICAMENTE EN CANADÁ.,,0.668329796,,,,,
México NIEGA la violencia y desapareciones,,0.507520061,,,,,
"Yo si los apoyo, Por qué yo no sé que haría si alguien forma parte de mi vida desapareciera. 🥹💔
#Noalmundial",,0.153231597,,,,,
Que ganas de ser extranjera en mi país 🤦🏻‍♀️,,0.946124133,,,,,
Exacto,,0.008603943,,,,,
en culiacán hay soldados en cada esquina y no sirve de nada desviven ahí cerquita de ellos siempre llegan y no agarran a nadie,,0.785526819,,,,,
ese es el verdadero mexico .....,,0.88678551,,,,,
Es correcto y Peña Nieto no hubiera aceptado el mundial que desde un inicio de ser aceptado se empiezan con gastos pequeños propaganda y otros gastos pequeños si desde los 43 normalistas que son 43 jóvenes que no dio explicaciones de donde quedaron así como muchos que han desaparecido años antes ningún presidente a puesto una jurisdicción especializada solo para personas desaparecidas que desde 1980 a estado pasando esto.,,0.735013314,,,,,
Cuanto dura el mundial? Para saber cuánto tiempo podré vivir sin tanto miedo a no volver a casa,,0.14446101,,,,,
Por qué no hicieron esto cuando Carlos Manzo pidió ayuda?,,0.017651397,,,,,
No mms 🤣 es un chiste el gobierno mexicano! 🙄,,0.445021944,,,,,
Si si aún que estamos ya entrando a la fiebre mundialista no hay que olvidar la realidad de nuestro país que tenemos cientos de desaparecido y no hay que ser indiferentes porque no sabes cuando alguien puede estar en esos zapatos de papas buscando a sus hijos,,0.312806507,,,,,
Osea tiene equipamiento y no lo usan en contra del narcotráfico,,0.981646624,,,,,
Por los gobiernos no les interesa alas personas,,0.211539869,,,,,
pero les apuesto que muchos vieron la final verán su mundial así quie hoy no joven gracias,,0.859867961,,,,,
Solo por el mundial jajajaa y el resto del año nada 💔,,0.692720672,,,,,
Excelente 👍👍👍,,0.241210934,,,,,
Que miedos ir a México ya no iré al mundial,,0.324262617,,,,,
no queremos mundial!,,0.547249943,,,,,
y porque no aplican eso a diario?😂,,0.426737753,,,,,
"Solo lo van a hacer por el mundial y turistas, porque no hacen esto todos los días",,0.559948568,,,,,
"Y no podría ser todos los días para protegernos ??? no sé,se me ocurre.",,0.922457251,,,,,
cancelen el mundial,,0.74191141,,,,,
Y como van a vigilar el metro? recuerdan todos los piquetes que hubo meses antes?,,0.973697498,,,,,
cuál mundial si son como 10 pedorros partidos,,0.184781634,,,,,
Deberían apoyar más a las marchas y no ir al mundial o comprar boletos,,0.849808269,,,,,
si no ubiera mundial no hacen eso,,0.970264311,,,,,
Listo para la inaguración junto a mi familia 😎😎,,0.358397619,,,,,
De seguro los otros países están muy protegidos no tiene. Problemas,,0.364974246,,,,,
Todos dicen lo que pasó en Méx pero EU está en una guerra jajajaj la vida diplomática es un chiste .,,0.468527685,,,,,
"solo por el mundial,, ya después vuelve lo normal , inseguridad, robo, y lo mismo de siempre 😂😂😂",,0.801811414,,,,,
"Soy de España y se me encoje el corazon con vosotros,no visito mexico por estas cosas no me trae seguridad pero mira que si e un sitio muy prometedor 🥺🥲 ojala os ayude alguien aunque sea Trump ya que Claudia....",,0.953644084,,,,,
y por que asta orita salen aser eso,,0.032274189,,,,,
