,comentario,rango_humano
48,Jajajajajajaja,3.0
49,??????,3.0
50,sanitarios Del Bienestar,3.0
51,esas goteras tienen mi edad 35 años,2.0
52,El peor gobierno de la historia de México,1.0
53,No veo las filas y el mar de gente estrenándolos por el Fomo,3.0
54,triste realidad,1.0
55,Y si ponen más seguridad ?,2.0
56,y cuantos millones costaron????????,3.0
57,"Es que necesitaba mantenimiento, no remodelación ??",2.0
58,es interactivo así sabrás cuando esté lloviendo afuera jaja,2.0
59,Jajajajj,3.0
60,si el metro no sirve imagínate los baños hay nooooo por dios,2.0
61,Ni un año les doy,2.0
62,??????,3.0
63,Casitas premium,2.0
64,Esos candelabros son para que nos teletransportemos como en Harry Potter.,3.0
65,Omg ya eres toda una famosa ??,3.0
66,se está hundiendo el titanic,2.0
67,La neta está bien siempre hago en la calle pipi jaja,3.0
68,??????,3.0
69,creen que los candelabros evitarán que no se den cuenta de las deficiencias en el transporte colectivo,2.0
70,"mejor pongan botes de basura en los metros, luego se quejan que hay basura en todos lados",2.0
71,Jajajaja es para poder llenar las estaciones de agua jajaja,2.0
72,ni los baños públicos tendrán activación económica jajajaja este mundial es solo para unos cuantos.,2.0
73,Jajajajaja,3.0
74,"pero dicen ""no lo hubieran cuidado antes"" ¿y cuando han visto todo grafiteado y lleno de basura el metro? Los daños que tiene el metro en general son debido al uso de millones de personas y de años sin mantenimiento alguno.",4.0
75,las nuevas cabinas de los ????????,3.0
77,??????,3.0
78,"Jajaja Dios quiera que llueva en los partidos del mundial, para que mundo se dé cuenta de lo que vivimos diario entre tráfico, inundaciones y goteras ????",2.0
79,El gobierno es un chiste,1.0
80,2 semanas faltan*,3.0
81,??????,3.0
82,"Lo peor del caso es que, lo van a terminar meses después, y no le van a volver a meter mano hasta que suceda una tragedia tipo L 12",2.0
83,???????? quieren tapar la realidad como el sol con un dedo ??????,2.0
84,??????,3.0
85,está bien porque sale más caro la multa por orinar en publico,4.0
86,Se pasan que es para que el mundo no vea como se cae el país a pedazos ya todo mundo sabe,2.0
87,la gente nunca cuida nada asi que.....,2.0
88,"Yo creo que usarán el poder mexa, dejar todo para el día de entrega de la tarea y sacar 6",3.0
89,"Todo tiene filtraciones y mejor, hubieran comprado más trenes y arreglado el cableado",3.0
90,"deberían repavimentar, buscar calles que están en condiciones deplorables, eso nada más es desvió de recursos",2.0
91,y cuando pasen los 15 minutos se queda encerrado??????????,3.0
92,"En lugar de gastar en tonterías, deberían dar mantenimiento real al metro... ??????",2.0
93,"Exactamente; esas goteras son de miedo!. Hace unas semanas pasé por la estación Pino Suárez y justo en el tramo de la correspondencia se vino una parte del techo, acompañada de agua y cascajo... En Allende se vinieron unas vigas y a gente que iba bajando, otras subiendo les cayeron encima las vigas... Lo de menos es lo espantoso que están dejando las estaciones. Si no el peligro al que a todos nos está exponiendo el gobierno. Obvio un ingeniero lo puede explicar mejor; pero lo que han hecho es tanto como quitarle el ""alma"" a un ""zapato""...Qué Dios nos cuide a todos!??",1.0
94,uyyy y cuanto le costará a los de la CDMX esos baños?serán permanentes o solo por lo del mundial ??,2.0
95,Ya le quitaste el encanto,2.0
96,"Para que todo cambie se tiene que empezar desde nosotros desde el pueblo pero lastimosamente tanto el gobierno como las personas son un problema claro no todas pero la delincuencia la mala gente todo eso no lo podemos evitar de un día para otro, triste lo de este país tan hermoso pero a la vez tan malo",1.0
97,México mágico,3.0
98,Obviamente no van acabar hijo,2.0
99,???????? y gasto miles de millones,2.0
100,Para que después lo sirvan para nada,2.0
101,Es propio del estilo renacentista,3.0
102,??????,3.0
103,por 5 pesos que esperas que te den una botella de agua y un aperitivo,4.0
104,algo no cuadra ????????????,3.0
105,Siiii para un rapidín ??,3.0
106,mejor que pongan más cámaras de seguridad,1.0
107,Hay que hablar de esto ruvalcaba,3.0
108,nuevo spots para stickers ????,3.0
109,??,3.0
110,Cuánto a que los olvidan y después ni van a servir,2.0
111,su gobierno que no invierte en las verdaderas necesidades de del país que se gasta el recurso en los viajes de su bancada,1.0
112,me parecen bien porque al final también nosotros los vamos a poder ocupar pero si está ahí el detalle de su mantenimiento,4.0
113,qué horror ????,1.0
114,cómprate tu carro para no padezcas esos inconvenientes y viajes como mejor te plazca,3.0
115,"en otros países hay baños públicos de alta tecnología, nosotros los necesitamos?, no, estamos preparados para tenerlos?, no... México siempre corriendo antes de caminar",3.0
116,que estupidez jajajaja,1.0
117,"Por todo se quejan, comprense su carro mejor, yo voy bien cómoda Jsjsjsj ??",3.0
118,"Los hubieran puesto 1 dia antes, la gente no cuida nada, a ver como quedan después",1.0
119,que pena da que su preoridad sea poner sanitarios que insumos y medicamentos en los hospitales,2.0
120,Como los baños de la línea 12 que están clausurados?,3.0
121,y nomas deja que llueva y se veran mas chidas las fuentes...,2.0
122,"para que cobren $10 como ahora ya en muchos lugares, sucios y el papel aparte.",1.0
123,y pregunta cuánto costara?,3.0
124,Buena iniciativa,5.0
125,"Gente, tendremos Titanic 2 En México, claro que si.Próximamente en envivos de tik tok????",3.0
126,??????????,3.0
127,que arreglen las calles,2.0
128,De verdad esperaban algo distinto????Lo hizo la 4 deformación...,1.0
129,Las goteras del bienestar,2.0
130,son faroles y de hecho tienes razón lo que debieron remodelar no lo hicieron,2.0
131,La CFE robándole a la nación de la CFE,2.0
132,Y si mejor tapan los baches y invierten en seguridad,1.0
133,Es que esa es la fuente bro que no estás viendo,1.0
134,La del Zócalo está de la vrga ni abierta estaba,1.0
135,mejor que inviten los boletos para la final de Cruz azul vs pumas????,3.0
136,los candelabros...de la época de Porfirio Díaz,3.0
137,??????,3.0
139,??????,3.0
140,pues ya lo hubiera dejado en 5pesos??,3.0
141,se ve más económico ??,3.0
142,"Que oso, pero dudo que la gente que pueda pagar un boleto para el mundial, se traslade en metro jaja ??",3.0
143,cuando realizarán algo bien?,1.0
144,"Gastan en puras tonterías, y lo que deben hacer, no lo hacen... Gobierno de 4ta....",1.0
145,apoco si creían que morena iba a hacer obras de calidad ?????????ya maduren ??????,1.0
146,Dicen los gobernantes que para el próximo mundial sin falta,3.0
147,Esto es una locura de corrupción @Clara Brugada @Ciudad de México,1.0
148,15 días tienen ??,3.0
149,[Sticker] lo vi en,3.0
150,que caray ....no duró ni para el mundial,2.0
151,La cosa es que van a entregar y así lo van a dejar para el siguiente.,3.0
152,"Recuerden mis palabras: ""Después del mundial, no van a funcionar regularmente"".",2.0
153,Es una VERGÜENZA,1.0
154,"remodelacion a medias, igual que en las calles de la CDMX.",2.0
155,también colocaron cascadas artificiales instalaciones de primer nivel ??????????,2.0
156,En auditorio apenas la van a terminar y quedó mejor que bellas artes,3.0
157,"[Sticker] como dice la señora , solo va a ser por el mundial , después hasta van a cobrar",1.0
158,Así es Ocapa Brukk,3.0
159,alch q bueno que no quede,1.0
160,"la primera marcha en la que se les ocurra voltear a ver los candiles, lámparas o vitrales y ya era...el metro se debe planear para lo que es, mover masivamente a gente de manera segura y eficiente...esto no abona a esa misión.",3.0
161,ya después los quitan hahaha,3.0
162,nada les embona,4.0
163,Había ofertas en GALERÍAS EL TRIUNFO?!? ????,3.0
164,2 semanas*,3.0
165,maquillaje del bienestar,2.0
166,??????,3.0
167,jaja Gobierno Ridículo que el mundo se entere como nos tienen,1.0
168,Que elegancia la de.......juuuuuaaaatttt ??????????????,3.0
169,lo q no sabes es q esas goteras son parte de los adornos,3.0
170,nmmn hasta ahorita se dan cuenta si desde que empezaron ya se sabía que no iban a terminar ??????,3.0
171,falto pintura morada,3.0
172,Jajajajajaajajaa es neta que pusieron eso en el metro? No mms,3.0
173,??????,3.0
174,Esta quedando con madre la escenografía??,4.0
175,¿A que partido te vendiste ?¿cuánto te pagaron ?,3.0
176,[Sticker] yo ayer en la estación hidalgo esperando el metro viendo como goteaba el techo,3.0
177,Y las calles y carreteras como para cuando?,2.0
178,"me recuerda aquel conocido refrán..Candil de la calle, Oscuridad de la casa...??????????????",3.0
179,renuncia Clara Brugada,1.0
180,La primera señora tiene toda la razón ??,3.0
181,el metro es subterráneo y está en medio de un túnel de bajo de la tierra y todas las líneas del metro son así,3.0
182,Jajjajajaj,3.0
183,Jajaja,3.0
184,"No sé porque permitimos estos desfalcos innecesarios, cuando en el país hay otras prioridades... entonces si hay presupuesto pero el gobierno de ?? no lo suelta porque le vale madres el país y su gente ??",1.0
185,que t valgaa,1.0
186,Solo por el mundial ??,2.0
187,[Sticker] DE HECHO PENSE QUE ERA EL UNICO QUE SE DIO CUENTA DEL TEMA xD ??,3.0
189,No gracias,1.0
190,cómo si con pintura y loseta nueva fueran a avanzar más rápido los trenes ??,2.0
191,eh ey ey ¿porque no hay un ajolote ahí? ¿y por qué no está pintado de morado?,3.0
192,"ningún chile les embona , que si está en reparación que si esto que si el otro que por qué mejor no lo cierran que por qué lo cierran , sabes realmente que el metro jamás puede parar su servicio ya que es el trasporte de millones de personas y el darle un mantenimiento muy profundo requiere de mucho tiempo ahora el metro está fuera de servicio desde las 0:00 hasta las 05:00 am en 5 horas diarias es imposible dar mtt muy profundo",4.0
193,"y las coladeras trampa, para cuando ??",2.0
194,Y no sería mejor que den mantenimiento o modernicen los semáforos de la ciudad? ??,2.0
195,que metro es??,3.0
196,Nmms nada les embona,4.0
197,dejaron las fuentes modernas ??,3.0
198,la primera señora tiene toda la razón,3.0
199,Y justificaron millones de pesos gastados JAJAJAJA,2.0
200,gobierno,3.0
201,yujuuuu para los choferesde app jajajaja,
202,saldrán con la excusa de q era una remodelacion muy aparte del.mundial ...??,
203,??????,
204,puro gasto inútil,
205,un nuevo crusing,
206,Cuando estaba lloviendo yo una vez me iba a caer a las vías por que me resbalé por evitar esas tablas ??,
207,Nada nos parece ??,
208,"Como no, siempre se necesita los baños públicos!!!!",
209,[Sticker] Nada les embona,
210,"El metro necesita mantenimiento, no lámparitas bonitas.",
211,ese gasto es inesesario porque después de unos meses no le van a dar mantenimiento y aparte eso requiere de sanitización,
212,Mejor que recojan realmente la basura que hay en las calles,
213,"te imaginas cuanto supuestamente gastarían en ""arreglar"" nadamas una parte así :v? dirían q ocupan unos cuantos billones y aún así, ""haber si queda"" :v pq es difícil yo digo pero aún así :v en una de esas por la humedad pierde sus propiedades para cargar tanto peso para el q fue diseñado y sacas q se caiga mms",
214,"Que elegancia la de Francia, y las goteras pa'",
215,Mejor q arreglen los elevadores y las escaleras Eléctricas del metro y metrobus,2.0
216,ni hay agua,
217,Hasta eso les van a quitar a los comerciantes,
218,sí se quejan cuando el metro cerró para la remodelación visual..!! ahora si tuvieran que reparar todo desde cero?. imagínense.... estuvieran peor.,
219,no nada más por el mundial todos esos sanitarios los deberían de poner en cada transborde de las líneas del metro de la CDMX,
220,"Ojalá las personas que viven en las calles, no se adueñen de los baños y las conviertan en su hogar. ??",
221,Porque no ponen botes de basura en toda la ciudad y arreglen todos los el pavimento y tuberías de agua,3.0
222,estan como cuando se les esta botando la pintura porque tienen humedad en las paredes y dicen que poniendoles sellador y una pintadita queda bien,
223,muchas gracias por tu reporte joaquin ??????,
224,la apuesta es que no llueva en el mundial ??????????,
225,"Las estupideces de los gobiernos de Morena, no tienen límites.",
226,esos sanitarios se saldrán de control estará apestosos,
227,?????? gobernado por morena??,
228,3 mil millones de pesos costaron seguramente!! Y se embolsaron más de la mitad!!!Y van a costar más de 30 pesos el acceso!,
229,Este gobierno pura estupidez,
230,es una cascada muy top muy fina para que cualquiera le vea el potencial muy como en Dubai ????,
231,Se pasaron yo me imaginaba más moderno el metro que iba a quedar pero no así.??,
232,puras apariencias,
233,mejor inviertanle más al metro porque siento que cada vez está peor ??,
234,y las escuelas y hospitales para cuando?,
235,??????,
236,Jajajajajaja.,
237,@?? n necesito q vayas,
238,"línea 1 tiene puros plafones oxidados, por humedad. Rubalcaba también nosotros maltratamos las estaciones con humedad???",
239,"Y si mejor arreglan los hospitales? Ponen mas camas por que nunca hay, dan medicamentos e insumos?",2.0
240,Dios ya quitales el poder!!!??,
241,[Sticker] No lo entiendes es el toque de humildad que todo burgués necesita,
242,shhhaaale????,
243,gobierno ignorante mejor que arreglen las goteras,
245,si estuvo BN siempre me ando cagando en los baños,
246,y los hospitales hasta sin reactivos para hacer un laboratorio de gabinete básico.,
247,??????,
248,"Que burla, como todo en este gobierno",
249,"la gente dice, no me gustan, prefiero cagar en una bolsa",
250,Es la gealidad dul tegceg monde. ???? Chingona la decoración ¿y el servicio de calidad para cuando?,
251,Jajajaja es para sentir q estas en Venecia entre lujos y agua,
252,??????,
253,??????,
254,siento que no lo van a terminar y van a usar el pretexto de que en realidad las reparaciones no eran para el mundial sino para el pueblo bueno ??,
255,????????????,
256,para puro turista y los ricos,
257,cómo si valiera la pena,
258,están buenos para el cruising,4.0
259,"Si lo terminan, pero quedarán muchos detalles",
260,"no!, me reuso a usar algo que dejo el malvado Don Porfirio (sarcasmo); -perdoneme Don Profirio-por cierto la lampara combina con la cinta ""aguas con la pared"" y las aguas en los techos",
261,"si el peor gobierno , bola de Corruptos miserables",
262,[Sticker] SE HIZO RÁPIDO LA REMODELACIÓN NUNCA DIJIMOS QUE BIEN,
263,eso es normal son filtraciones de agua por que es subsuelo,
264,clara y si mejor arreglas los baches y pones mayor seguridad? es lobque necesitamos,
265,y las cascadas y goteras para cuando???,
266,mejor la ajolotera esa que vea los baches caray,
267,"Y la línea A cuando? ah no, que a Iztapalacra no vienen turistas ?????",
268,y si mejor nos ponen más seguridad,
269,??????,
270,toma taxi,
271,"al rato va a estar abandonado, sucio, y con basura.",
272,????????????????????mejor no hagan nada ??????????,
273,y si mejor lo cancelan ?,2.0
274,pasara lo que con los bebederos en los metros ?? solo el gasto y ya,
275,las fugas pa cuando ????????,
276,lo peor cuando pase el mundial lo van a dejar así :/ los creo muy capaces,
277,"inviertan o no siguen jodiendo, todo les molesta que horror",
278,no al mundial por el ebola,
279,Cuantos millones costarían esos candelabros de temu?,
280,no alcanzo el presupuesto para hacerlo bien,
281,"Siguen las simulaciones, hicieron como que remodelaron, y a la primera de las lluvias, ven lo obvio, lo mal hecho??",
282,Es para que sientas que vas caminando con luz de los candelabros bajo la lluvia al puro estilo europeo,
283,son cascadas para dar el toque de la Francia de los grandes jardines con fuentes,
284,pero si ya existe reforma 22,2.0
285,[Sticker] Al chile que bueno,
286,Hay prioridades... quedar bien en el mundial ????,
287,Creo que en Portales van poner como tipo pista de baile ??,
288,Esas madres ni van a durar 6 meses,
289,Neta ? Hay cosas más necesarias,
290,"Esas goteras tienen tanto tiempo, qué ya daño el cemento del piso, se nota en la huella.",
291,"Me recuerda a las mamás (no todas) cuando va a llegar una visita limpian toodo a fondo, la mejor vajilla, los manteles mas lindos, copas etc.Pero cuando no hay visitas usan la vajilla ya despostillada, los vasos desiguales, los manteles viejitos, etc.Algo asi esta pasando pero a gran escala ??",
292,puro gasto infructuoso pero bueno como no es su dinero,
293,y las inundaciones fuera del metro ni se diga,
294,"?? ví un meme de esos candelabros y pensé que era una broma, y no!! si pusieron ???? ??????",
295,??????,
296,Ya quiero ver el costo al que se los vendieron a Brugada,
297,Por qué quieren aparentar lo que no es ???,
298,Las prioridades del metro están igual a mi economía,
299,puesi q ganan con gastar dinero en eso con quién quieren quedar bien y eso es poco por loq hayq hacer por los metros hospitales parques xxxxxx,
300,"El Auditorio ayer todo parecía La Esperanza pero sin luz, no mmn",
301,no words,
302,Les digo que este gobierno es una ??????,
303,como el mismo gobierno se roba la luz ?????,
304,"15 días y ya hicieron su mmda,, te apuesto que ni lo van a terminar y lo van a dejar a medias",
305,yo solo juzgamos y juzgamos como si fuwramos perfectos avwces si hay gente que cae mal se creen perfectos,
306,"¿Cómo no? Un parchecito por aquí, otro parchecito por allá y nadie ve los daños (sarcasmo).",
307,Uffas nuevos lienzos,
308,jajajajaja no mms,
309,Es para darle el estilo vintage,
310,"no, no, no, ??solo ve los candelabros",
311,parece zona de guerra,
312,lo peor esq las paredes de mármol las pusieron por encima de la pared de antes ??,
313,Un poco de pintura lila y queda como nuevo,
314,y....como pa que fue eso? de los candelabros ?,
315,??????????????????????,
316,Normal diran que entre en calendabro y la pinta dirán que costo 9.5 millones de dólares para justificar no te espantes,
317,DEBIERON EMPEZAR DESDE EL AÑO PASADO PERO SIEMPRE PROCASTINAN,
318,"Pues yo una ves me cague, para mí está bien ????",
319,La desventaja que el gobierno liberó los recursos a finales de marzo 2026,
320,No roban la energía ya está la instalación de CFE solo faltan los medidores eso pasa hasta en las casas no lo instalan de inmediato,
321,mejor deberían de ocupar ese presupuesto k gastaron en otras cosas k hacen falta para los k aqui vivimos,
322,Están construyendo baños para el mundial pero no arreglan los baches o las fugas de agua de hay en la cuidad ??,2.0
323,jajajaja si donde quiera hay goteras y eso que aún no llueve en serio,
324,uno que otro usuario del metro,
325,para eso si ahí lana no Pero para que aya agua y pavimenten para eso no ahí que poca tienen,
326,Para que no los abran! Como los elevadores en puentes y metro ??,
327,"exacto!!! es lo que digo, ese dinero que se gastaron, millones de pesos en remodelaciones piteras que no eran necesarias, y las vías, los trenes, las instalaciones eléctricas, las goteras, la humedad, lo que sí es necesario!?!?!?",
328,"no son goteras, es una fuente natural????",
329,está presidenta creo que estamos en el siglo 16 ya que siempre le echa la culpa a los opositores jajaja jajaja,
330,??????,
331,peña nieto se te extraña,
332,Sin mantenimiento estarán en cuanto acabe el mundial,2.0
333,Todo lo que gastan deberían de aumentar las pensiones de los s trabajadores del IMSS ni al mínimo llega,
334,CDMX es bien random,
335,no entendien que entre mas gente vengas mas gente deja su dinero aquí en mexico,
336,restos del prian,
337,En tres meses va estar alguien afuera de cada baño vendiendo dulces y cobrando $7 ????????,
338,?????????????? la gente ni lo va saber usar,
339,Ningún chile les embona ????.,
340,??????,
341,??????,
342,seguro gastaron más de 5 millones por sanitario,
343,nmmn llueve mas adentro que afuera,
344,jajajjajaj ????????,
345,mañana lo pintan de morado,
346,me imagino que habrá mucha gente de limpieza para todo lo que piensan poner,
347,salgo del metro puebla y no esta puebla dia 8 pidiendo este,
348,un mega desmadre,
350,??????,
351,creo que no se puede impermeabilizar la calle o si. Alguien puede decir que se puede hacer con su infinita inteligencia,
352,Como que hacen eso para molestar a Ciudadanos,
353,de q hay personas q nada les va!!!!!!,
354,Ahí uno en revolución,
355,Deberian llamarle estacion: FUENTES BROTANTES,
356,yo le doy 1 mes que van a durar,
358,todos con teléfono iPhone en paguitos...y recargas de 100,
359,"yo no sé para madres arreglaron tantas estaciones, y solo en lo visual , xq lo verdadero importante q son las grietas como estás, o los trenes ,",
360,?????????? eso es lo que deberían de arreglar las filtraciones de agua entre otras cosas ??????,
361,a mi si me sirve si me ando cagando es entrandole jejeje,
362,Hecho en México,
363,es decoración para el día de muertos. pues que no están chig y chig que con tiempo se hace todo jjj????,
364,Se van a meter a dormir ahí los que viven en la calle por ahí,
365,Y EL ÉBOLA AMA??? CENTROS DE CONTAGIO SEGURO....,
366,?????? nada les parece los baños públicos son útiles en todos lados A mí me ha pasado que tengo la urgencia de hacer mis necesidades como todo el mundo y no hay ni dónde ya ahí anda uno buscando una gasolinera o algún lugar en donde se pueda hacer sus necesidades y no hay ninguno????,
367,oooh!! todo quieren jajaja,
368,??????,
369,muy bien lo que dijo la señora,
370,"QPKM tiene el gobierno , habiendo tantas pinches necesidades en el país y gastan en esto .",
371,por que no arreglan las avenidas principales no que hay un buen de baches y la delincuencia cada dia esta peor ??,
372,señores no han visto la regadera que puso para lavar los trenes??,
373,Creo que el transporte demanda solución real en otros temas !!!,
374,El claro ejemplo de que ningun chile les embona,
375,jajajaja,
376,y si en los centros de salud nos dan sillas dignas para trabajar y material,
377,que ve vea 191,2.0
378,pensé que lo de los candelabros era broma ??,
379,exacto todas las estaciones están en muy malas condiciones esto son solo parches sus candelabros.. puro desperdicio de dinero,
380,desde que pasas los torniquetes,
381,??????,
382,"?????? el metro y la cuidad necesitan mantenimiento preventivo y correctivo, no solo pintura ??el país necesita educación y todos necesitamos más cultura ?? tamos bien mal todos y todo ??",
383,"lo primero era arreglar los problemas que tenia, tuvieron 4 años para hacerlo",
384,tranquila ahorita lo pintan de morado y le ponen un ajolote,
385,"@TelediarioMx ya sabemos el destino de estos sanitarios públicos, quedaran en el abandonó u operando en precarias e insalubres condiciones",
386,"tienen que aceptar que el problema no es solo el gobierno, también la gente, si el metro lo hubieran arreglado antes ya estaría todo pintado y maltratado ??",
387,Composturas del bienestar,
388,@Claudia Sheinbaum Pardo @Partido Morena,
389,Y si mejor le dan el presupuesto a las escuelas y hospitales?,
390,QUE BUENO XQ LUEGO UNO SE HANDA C@G@ND@ Y NO HAY DOND TIRARSE EL KEY,
391,Dinero desperdiciado,1.0
392,pues que bueno porque mi trabajo es en campo y luego no encuentro baños ????????,
393,??????,
394,o su restauración del metro auditorio y el resto de la línea horrorosa ??,
395,una prueba mas de que es una porquería este gobierno,
396,para que después huela horrible,2.0
397,Alch que bueno,
398,Que hartazgo con este gobierno,
399,Ya lo sabíamos wey ntp,
400,es parte del arte y el surrealismo que tiene está obra!!,
401,el AICM está igual ???? no van a terminar,
402,aquí aplica la de... barrieron nomas por donde pasa la suegra jajajajjajaja,
403,Ay sí y en unos meses va costar jaja,
404,entonces si es muy parecido al Titanic ??,
405,"Camara, contraten más especialistas en los hospitales",
406,??????,
407,"Ya me imagino esos baños , cerrados como los baños del metro bus. teniendo que buscar a algún policía para que te pueda abrir.",
408,lo remodelo bis chungus,
409,"No sé, no me convence ?? ?? ?? ¿Es un estilo moderno, clasico, futurista, mexicano (ajolotes), minimalista... ???.",
410,"[Sticker] son fuentes hermosa, es parte del estilo Antiguo",
411,??????,
412,"Ay que si, ya te escuchamos! ??",
413,La gente nada les gusta y todo critican,
414,Y pensar que para estas cosas me voy a dar de alta en el sat que coraje !,
415,lo que van a durar ??,
416,Sus candelabros de temu y su papel tapiz. Hoy en día por eso todos tenemos mármol en las paredes por qué nos cuesta 60 pesos el metro y viene en rollo de 10 metros. Lo malo que en el recibo van a poner candelabros forjados en Italia y mármol traído de la minas de no sé. Total 500 millones .,
417,Es un gasto innecesario para la capital ....apuesto que pasa el mundial y los van a cerrar... y jamás van a estar en funcionamiento...!!!,1.0
418,????????,
419,"si we pero hay cosas más importantes que pintar metros para el mundial, si no estuvieran arreglando también se quejarían JAJAJAJ",
420,"apenas le tocó a mi niño en pediatría y no había camas solo casos graves les asignaron , los demás en sillas estaban canalizados en batita cansados de madrugada que difícil situación del país, deberían invertir esos temas ya que todos los mexicanos aportamos para eso",
421,Solo si te fijas michojajajajaja,
422,Si los baños del metro siempre están cerrados ??????,
423,[Sticker] o es una o es otra cosa para las dos no alcanza,
424,Es la transformación de 4ta ??,
425,Jajajajajajq no mmen,
426,y se sigue parando el metro a veces :'v,
427,Muchas falta de mantenimiento. Para que los candelabros? ??,
428,sin palabras ????,
429,Y CUÁNTO COSTÓ LA SUAVICREMA ÓSEA EL MONUMENTO A LA CORRUPCIÓN Y PARA QUE SIRVE?,
430,"Y de hecho si llega a ganar en el siguiente PRI o pan estará igual no cambiará nada eso es un hecho , el metro está igual de siempre , entonces cuál es la sorpresa aúna si todos mienten más bien ustedes que creen",
431,Que absurdo!,
432,Y si mejor empieza por los baches que hay en toda la ciudad y las calles tan en mal estado,
433,termina mal**,
434,"Yo no entiendo ¿por qué subes esto? es obvio que lo van a arreglar, ni modo que se quede así...",
435,Es que a presión sale todo mejor ??,
436,POR AÑOS MME Y MME QUE PUSIERAN BAÑOS PÚBLICOS Y AHORA QUE LOS PONEN SIGUEN MMDO ?????????????????????,
437,??????,
438,?? se pasan todo horrible,
440,Él hazme reír para el mundo entero ??????,
441,"jaja la tubería , el reloj y el letrero entre otros jajajajaja",
442,"Es que es como el titanic, ya se está hundiendo ??",
443,Estuvo súper bien!!! Me agrada la idea????,
444,en eso gastan los impuestos ???,
445,Es parte bro es una mezcla de arte antiguo con arte moderno aestetic,
446,lo malo es q la gente no cuida las cosas,
447,??????????????,
448,pero ya esa estación es te etiqueta ??,
449,muchos faroles y candelabros y las goteras que?,
450,[Sticker] ptm nada pueden hacer bien la 4t,
451,El que busca que hacer siempre va a encontrar y sobre todo cuando se descuido el metro Pero con el cuidado que le demos estaremos más que satisfechos,
452,"que buena observación, entonces que cierre el metro el tiempo necesario para que arreglen todo y los usuarios empiecen a pagar sus taxis",
453,Exacto y lo que deberían de arreglar no lo arreglan ????????????????????????,
454,así decíamos del Azteca,
455,Pena ajena este gobierno en verdad,
456,mejor pongan botes de basura,
457,"No puede ser !!!! Que terrible, un metro con 70 años le encontraron humedad, devuelvan todo a como estaba !!",
458,??????,
459,y los medicamentos en insumos en los hospitales para cuando?,2.0
460,"Súper bien, por que se ocupan !! Luego te andan multando por orinar pero tampoco no hay baños cercanos !!",
461,"Eso tiene años, nadie ha hecho nada para reparar las filtraciones",
462,México no está preparado para ese tipo de infraestructura ??,
463,??????,
464,No Bro es que ahora estamos hablando de fútbol,
465,es que la gente por que no entiende que es mas importante que se vea bonito a que funcione bien,
