,comentario,rango_humano
110,si no hay maíz no hay mundial ??,1.0
111,en Guadalajara también se le ocurrió la misma ide.....otez a Lemus ??,1.0
112,por mi esta bien pero que me aga un deposito de retiro sin tarjeta de unos 1.000.000.000.000.000.000.000.000.000.000.000.000.000.000 y ya veremos,3.0
113,Que estamos muy pinches feos,3.0
114,[Sticker] Usted tampoco querida,3.0
115,todos a salir de casa en junio...,2.0
116,ni mi ex me escondía tanto ??,3.0
117,"Queremos seguridad y medicinas, al pueblo no le interesa.",1.0
118,cuando pensó que era buena idea? ??,3.0
119,alguien dijo... que protestemos contra las desapariciones para que los turistas conozcan la realidad de México?,1.0
120,??,3.0
122,jajaja solo tonteras de este gobierno,1.0
123,Están viendo como esta México usted cree que vengan ??,2.0
124,Esa mujer piensa que puede controlar y jugar como juguete a las personas,3.0
125,Y la mentira jajaja,3.0
126,QUE HAGAMOS MANIFESTACIÓN DICE??,3.0
127,???????? con la inseguridad quien va querer ir a mexico,1.0
128,"Disculpa soy Mexicana, que no me quedé en casa YO así entendí ????",3.0
129,????????,3.0
130,va ser el mundial más aburrido sí es que no pasa algo canónico,4.0
131,Ok pero díganselo a mi jefecito porque me obliga a venir a la oficina,2.0
132,??????,3.0
133,Que ese diga hagan una manifestación dice,1.0
134,??????,3.0
135,??????,3.0
136,"yo aún me preguntó,que tiene de importante el mundial de fútbol? que da o en qué beneficia esa madre?",2.0
137,??????,3.0
138,"Los carteles se van a dar vida con los turistas, a quien se le ocurrió darle el mundial a México ? ??????",4.0
139,y regresando ya no están completo,2.0
140,Que acaso la FIFA no lo cancelo y va hacer ahora en EU ???,3.0
141,??????,3.0
142,"solo les recuerdo que una mujer perdió la vida solo por salir en busca de empleo, un enfermo desvivio a varias personas desde una pirámide de Teotihuacan y el metro de la ciudad está en su peor momento, RAZONES PARA MANIFESTARNOS DURANTE EL MUNDIAL SI TENEMOS",1.0
144,"como si fuera a venir medio mundo, para la miseria de partidos que se jugarán en México????",3.0
145,??????,2.0
146,cuántos secuestrados va haber...,1.0
147,si we dame dinero pa quedarme todo ese tiempo en mi ksa y paga netflix pa entretenerme erra,3.0
148,Eso me sono a reto...??,3.0
149,no creo que vayan ???? con el desmadre que trae doña limones ??,2.0
150,??????,3.0
151,y con ese recurso recabado aumentara la seguridad? para los mexicanos,1.0
152,Porque siento como que abra millones de personas muy pronto en las calles ????????,3.0
153,"[Sticker] chale, apenas q aprendí a comer con cubiertos y decir ""buenas tardes""",3.0
154,si me paga mis 50 que ganó en el trabajo por ir 6 horas al día me quedo todo el año jaja ????,3.0
155,??????,3.0
156,cómo ven si les podemos su mundial,5.0
157,??????,3.0
158,ya les diría que es mui inseguro,1.0
159,#claudianoestassola,5.0
160,"Pero primero seguridad, porque si no va a valer madre",2.0
161,Que salgamos dice,2.0
162,no lo creo q cuánto sinismo,1.0
163,"No loco voy a México, menos con la falta de seguridad, México necesita a @Lilly Téllez",1.0
164,"los que trabajamos en plazas, autoservicios, transportes públicos, etc, no hay que ir a trabajar para que no haya personal y Haci estén cerrados y que que lo sugirió la clara brugada",3.0
165,Que miedo . ATENCIÓN TURISTAS MÉXICO NO PUEDE NI CON SU GENTE MENOS CON TURISTAS,1.0
166,se salen de contexto ???????? pero siempre tirando tierra sus propuestas,5.0
167,[Sticker] Shiembaum diciéndole adiós a esos visitantes jajajaja,2.0
168,"soy mexicano. no vengan a México, la presidenta se está pasando de lanza, la inseguridad está canija.",1.0
169,chsm,1.0
170,"[Sticker] que hagamos una manifestación, dice:...",1.0
171,????,3.0
173,??????,3.0
175,??????,3.0
176,que salgamos dice,3.0
177,Q hagamos manifestación dice,1.0
178,"[Sticker] Creo que esos días le voy a pedir a mi jefa que no sea home office ??, a ver a donde salgo",2.0
179,Normal mente ando en mi cueva pero esos días estaré en la calle todo el prro día,2.0
180,No venga por esta presidenta vale pa pura verg por favor ni vayan,1.0
181,esta feliz porque van andar ocupados sus patrones del cartel ahora si llenaran las fozaz,3.0
183,En conclusión tendré más dinero y como es obvio no lo compartiré con el pueblo,3.0
184,"[Sticker] Oigan esa mmda,,, es neta que lo dijo",3.0
185,con las ganas sequedaron ya esta confirmado no habrá mundial en México la culpa la tiene la presidenta por la inseguridad que se vive,1.0
186,Y con tanto campo de exterminio señora,1.0
187,Presidenta ??,5.0
188,no puedes con los mexicanos ??,1.0
189,Urge la Revocación de Mandato,1.0
190,mujer tenía que ser,3.0
191,Parece perfecta idea para desviar la atención ??,1.0
192,no iba a salir pero ahora como que me están dando unas ganas de ir al ángel de la independencia varios dias seguidos,3.0
193,??,3.0
194,se van a dar cuenta k estamos.de.la ve.rga ... y k su gobierno es de la mierda..,1.0
195,jaja cierren negocios para disfruten el mundial,3.0
196,Cd Juarez ya no existe el turismo como antes que Ivan gringos de Texas New Mexico Denver pero no le inporta cd Juarez Chihuahua,1.0
197,"Seria glorioso que la FIFA anunciará que no habrá mundial por la inseguridad, para ver qué dice la incompetente de Claudia y sus solovinos del bienestar ??",2.0
198,"Claro vamos a salir más esos días, porque así somos los mexicanos.... ??????????????",3.0
199,fijate que no estaría mal yo trabajo de didi podré aaer home Office desde mi casa,3.0
200,De eso si tiene información y hasta con detalle la señora pero qué tal de la inseguridad.,2.0
201,Sigan esperando????,
202,El punto medio lo entendí pero fue muy mal planteado xdd,
203,ya escucho jefe... que no voy a poder salir??,
204,Uff Monterrey tendrá turistas jajaja (humor llorones),
205,No creo así como está la delincuencia y tú no quieres hacer nada más que abrazarnos??????????,
206,que? que quiere manifestaciones??,
207,Quien se le antocaja de plantón esos días traemos carnitas asadas,
208,mejora la seguridad primero??,
209,??,
210,que nos paguen y así no salimos ni a tocar la luz del poco jajaajjajaja,
211,"y si mejor van y limpian los ríos, arreglan las calles, remodelan parques abandonados en vez de un mundial que solo traerá contaminación y gente, YA SOMOS MUCHOS!",
212,no que la gentrificacion,
213,con el peligro k los secuestren ??,
214,y cuántos van a regresar con vida a sus ciudades?,
215,??????,
216,ya me ví en el Oxxo Bailando con las de brasil,
217,"Sale, entonces me muero de hambre",
218,Yo a México no voy ni aunque me paguen el viaje todo pagado ?,
219,y como tienes esos datos si aún no pasa. y apoko ???? va estar como los tuburios esperando clientes pa poder ganar todos jajaja.. si me entiendes nO!!????,
220,??????????????????????????,
221,las soluciones del Bienestar.,
222,[Sticker] que nos manifestamos?,
223,manifestación ya yeaaaaaa,
224,nunca salgo pero ahora saldré nadamás para jod3r jajajajajajaa,
225,"que le pasa, iba a aprovechar para salir más jajajaja",
226,"Que gusto me va a dar que en pleno mundial le cierren avenidas, que protesten, que vean que el país se está cayendo",
227,como cuidara a esos visitantes??? ??????,
228,??????,
229,"[Sticker] JAJSJA lo q dijo erick gerardo es comp decir q no es agua es H2O, JAJAJA ES LO MISMO PERO MAS FINO",
230,"tanto se la pasaban criticando a díaz Ordaz de la masacre en Tlatelolco y a si le valió y se efectuaron las olimpiadas del 68"" ahora que otra vez hacen lo mismo sabiendo que estamos viviendo días de violencia",
231,Donde esta el sticker de que se vaya a la... ??,
232,si mataron al alcalde de México ella no dijo nada imaginarse a los turista pasa nada.,
233,q salgamos dice,
234,Que miedo ir a México,1.0
235,Mejor más hospitales en vez de gastar en tonterías,
236,Y pur culpa de la disque presidente ya no se va hacer,
237,abajo el mundial,
238,y tiktok inundando de turistas diciendo y aconsejando que no vayan a México por el tema de la inseguridad y por qué todo está carísimo ??,
239,ojalá y dios quiera que nada malo les pase a esos visitantes digo por como está la inseguridad no valla hacer que terminen o desaparecidos o secuestrados,
240,CREO QUE QUIERE MANIFESTACIONES,
241,Que no compren el VAR,
242,eso antes debieron de preveer,
243,hay que hacer una tendencia para que fifa se lleve el mundial d3 México,1.0
244,[Sticker] les damos vergüenza ???,
245,y va a ir a tulam ??,
246,uuy ya saben como nos encontramos los MEXICANOS con esta mal dita inseguridad mexico se desangra ahora la corrupcion nise diga,
247,GRACIAS PRESIDENTA TIENES TODO NUESTRO APOYO,
248,Ese nivel de inteligencia siempre eh pensado que tienen los políticos ????,
249,"yo por molestar si no salgo , saldría por decirme que hacer",
250,ahorita no estamos para esas cosas que se cancele,
251,keeeeeeeeee ???,
252,Yo no quería trabajar esos días pero creo que hasta caminando me voy a ir ??,
253,"México no , lo quieres tu ??",
254,deme $40000 a la semana mientras dure el mundial y tenemos trato,
255,lo que dice es que ese día los niños no tengan clases y que la gente trabaje en Home Office para que puedan disfrutar del mundial,
256,Que salgamos dice ??,
257,Ya se le olvidó lo de cambiar los Manzo,
258,"mis amigos y familiares que viajan s México desde Estados Unidos... regresan sin ninguna novedad, sanos y sin razguños y con mucha mercancía mexicana.",
259,lastima que en México es un país muy inseguro para los turistas,
260,??????,
261,pues uno de los atractivo turístico de mexico es la gente por que somos cotorros amables divertidos si no no van a tener la experiencia completa,
262,[Sticker] Como cuando te llevan de comer al sótano para que no salgas y avergüences a la familia.,
263,El Peso de la Copa,
264,déjame adivinar es otra frase sacada de contexto verdad?,
265,solo entendí que quiere ptzs,
266,"Ps tiene un punto, si todos salen imagínate el desastre que causaría la hora pico",
267,quién dijo eso que CHSM,
268,"no me agrada mucho salir, pero nomas por eso me voy a ir a dar la vuelta ??",
269,??????,
270,no debe haber ??,
271,que miedo ir a México y eso que soy de México,
272,Ora si yo voy a disfrutar de ellos ??????,
273,[Sticker] que salgamos dice,
274,@????ana ????gomez,
275,ojalá que todos lleguen bien de regreso a su país xq aquí en México hay magia se desaparece la gente,
276,que no es por eso sí no para no tener un impacto ambiental peorr,
278,concuerdo con ella,
279,y cuantos regresarán salvos a su casas,
280,y mi me darán home office esos dias asi por mi bien,
281,"Cancelar clases cuando lo mejor es perder clase ""viendo"" el partido con amigos????!!! (al menos yo no lo veía, yo me ponía a platicar con mis amigas xd)",
282,La barredora se está frotando las manos,
283,"es como si te dijera ""no salgas de tu cuarto, para que la visita se sienta agusto"" bro, aquí vivimos",
284,Hay paises donde suele ser al revez ??,
285,que salgamos a las calles a manifestarnos dice ??????,
286,Sólo me parece bien lo de las escuelas por temas de seguridad a los niños,
287,??????,
288,Es encerio! Es mas importante el mundial,
289,Qué manera de dejar de un lado todo lo que estamos pasando,
290,Van a ir 5.5 millones y como están las cosas van a regresar 2.7 millones hahaha,
291,perdón!!?? cómo esta eso???,
292,manifestaciones manifestaciones,
293,entendido! que salgamos todos ??,
294,[Sticker] ¿QUEEEEEE?,
295,"Ya no, me parece que cancelaron por la inseguridad y solo será en USA y Canadá",
296,okey a hacer marchas entendí perfectamente ??,
297,y la inseguridad,
298,"no,no y no",
300,o creo con tanto desorden que hay,
301,me gusta la idea pero solo si se pagan esos dias en los trabajos como dias de vacaciones,
302,"a cerrar estadios, aunque nos cueste que en México nunca haya mundiales.",
303,??????,
304,[Sticker] que hagamos fiesta en las calles dice?,
305,Entonces no van a ir a trabajar? Todo estará cerrado?,
306,yo entendí que durante ese tiempo salga todo el día??,
307,para que los roben ya sea los policías o los mismos delicuentes,
308,"Pon el video o la nota , un foto con un escrito como prueba ? ??",
309,Dice que todos salgamos a manifestarnos.,
310,se han dado cuenta que cómo quieres sabotear el pri y el pan los eventos y así todavía creen que alguien va a quererlos tener en la presidencia,
311,A cuántos de ellos los van a ?? por la inseguridad de México,
312,los que vayan cuidence mucho por la casa inseguridad ??,
313,Y para cuando lo de Carlos Manzo,
314,me han dado ganas de turistear mi ciudad con todos mis amigos y familia??,
315,mujer...,
316,[Sticker] Cómo ella pensó que reaccionaríamos todos los mexicanos:,
317,??????,
318,y tú regandola,
319,"todo aquel que quiera venir nuestro bello México todos sean bienvenidos, dejen de ver noticias amarillistas y tik tok, en todos los países hay inseguridad.",
320,Que dice Helen? ??,
321,jajaja viva morena jajaja jajaja,
322,"LE PREOCUPA MAS EL MUNDIAL LA SEÑORA, QUE EL PAÍS ESTA MAL",
323,Nuestra oportunidad para manifestarnos ??????,
324,cuánta lana tubo que soltar o acaso es otra cortina de humo para no Aser la marcha el 14 o 15 de noviembre ??????,
325,[Sticker] PS ahora salgo más y con pancartas en mano,
326,cuantos muertos pueden haber???,
327,yo solo escuche que salgan,
328,??????,
329,Dios quiera y los otros Paise se unan y mo vayan.. Muy muy peligroso Mexico.. muchos cuidado!!!,
330,No olvidemos a Carlos Manzo,
331,Pobre de ellos ojalá no los maten,
332,bueno empiece por cancelar las citas en imss,
333,que salgan todos y muestren el hermoso tráfico de la vida diaria ?????,
334,y de que sirve si los impuestos del mundial van a correr por cuenta del pueblo,
335,??,
336,Y Ciudad de México sin Aeropuerto con capacidad para el mundial ??,
337,??????,
338,[Sticker] Que hagamos de las nuestras dice,
339,México,
340,jajajajajaja suerte con las empresas que hacen producción,
341,Jajajja me sentí como bebé paloma escondido por que le avergüenzo a mis padres jsjsjsjs,
342,??????,
343,nunca le digas a una persona que hacer porque siempre hará lo contrario y peor??,
344,que muero ir a México,
345,sorry nosotros no iremos ????????,
346,Visitantes se escribe con m de mujer ??,
347,Y el aero puerto de San Miguel Allende,
348,Por 3 pinches partidos . ??,
349,"a bueno si ellos nos van un cheque de 100,000 pues no salgo para que no vallamos a trabajar y nos paguen las renta el agua la luz comida ??",
350,"si no salgo de mi casa, como crees que le voy hacer para probar el producto extranjero????",
351,Y la seguridad ? Dónde quedó??????,
352,Habló el experto,
353,??????,
354,y cuantos de esos volverán ah sus hogares?,
355,"Es que no van a terminar los arreglos del transporte a tiempo y no vamos a caber en los rtp, metro ni Mexibús",
356,ya cancelaron El mundial para mexico ya esta confirmado los partidos seran en estados unidos y Canada en mexico no ay seguridad,
357,Que miedo ir a Mexico es uno de los países mas peligrosos de latinoamerica,
358,ara eso si ahí dinero pero para proteger al pueblo ni madre dice,
359,"Suban la información bien, si lo dijo por escrito suban las capturas, si lo dijo en un en vivo suban la parte del en vivo. Si van a informar, informen bien.",
360,"yo no iba a salir, pero ahora me veo en la necesidad de salir esos días ??",
361,"no hay que ser groseros, me dice mi mamá que cuando haya visita tengo que salir a saludar",
362,Si no te cancelan el mundial ??????...,
363,"Como tal no digo eso, pero lo peor es que si lo da a entender ??",
364,????????????,
365,cómo e dicho no porque sean de Morena quiere decir que son buenos políticos. eso hubiera pesando antes de el mundial como solucionar ese problema,
366,awuiwi quiero ver manifestantes ?? es la más perfecta ocación,
367,así hubiera invertido en los hospitales ????,
368,JAJAJKAJA neta no es rage bait???,
369,revocación de mandato,
370,Y QUE TAL SI MEJOR RENUNCIA,
371,??????,
372,??????,
373,??????,
374,[Sticker] Que una manifestación dice,
375,Nmms jajaja,
376,"todo por eso tlaloc hará lo suyo , lluviaaaa",
377,??????,
378,??????????????,
379,@FIFA ojooo México está super insegurooo !,
380,Ablan de todo menos de Carlos Manzo,
381,No ma no que iban a suspender neta que vergüenza,
382,PRIMERO MÉXICO Y DESPUÉS EL DINERO!! Ya no tenemos medicamentos y la delincuencia EL DIA DE HOY NO ME DEJA TRABAJAR!!! No necesito un mundial. NECESITO UN MEXICO SEGURO!! Para recibir ingresos HOY!!!!,1.0
383,tenía que ser ??,
384,"La policía se frota las manos , de imaginarse ??????????",
385,[Sticker] que ?quiere que agamos manifestaciones,
386,jajaja qué mmada jaja,
387,"La cancion de ""la carencia"" de panteón rococo fue lo único que se me vino a la cabeza al leer esto",
388,manifestación !!!!,
389,En Jalisco van a suspender clases para que no haya tanta gente en la calle ??.,
390,Y crees claudia que deja mas dinero un mundial que todo inmigrante mandando dinero a mexico y visitando a nuestros pueblos ciudades y ranchos año con año ? Claro si trabajaras en mejorar la seguridad del pais primeramente !!!!!!!,
391,#TURISTANOVENGASAMEXICOPORTUSEGURIDAD,
392,??????,
393,[Sticker] QUE SALGAMOS DICE!!!,
394,oigan tienes razón hay que hacerlo así que los vendedores ambulantes los que venden los tacos los que venden en turismo todo lo que tenga que ver con trabajos sin importar que nos vamos a hacer esos ya sin trabajo así que los turistas pueden explorar pero lástima no se podrán llevar recuerdos porque nadie va a trabajar esos días ni los que venden para los turistas Pero qué se les puede hacer hay que respetar porque es buena idea,
395,Cuba?????,
396,????????,
397,??????,
398,"Ojalá cancelen la FIFA, a menos de que hagan algo con su narco gobierno",
399,300dlls al día y hablamos,
400,jajaja,
401,"a webo, las nuevas soluciones bienestar",
402,ya los conto??,
403,mil veces aldita Claudia,
404,????????,
405,Y van a trasparentar todo el ingreso o lo repartirán en la nómina de MORENA?,2.0
406,que dijo que salgamos todos para que nos vean los turistas jajajajaa,
407,si me dan para ir de vacaciones yo con gusto me largo los días para los que me alcancen,
408,No gracias,
409,si tan solo hubiera empezado el aeropuerto de peñas nieto otra casa sería.,
410,que nos manifestamos dice,
411,Como le van a hacer para darle servicios.?? El aeropuerto apenas puede mover a los locales,
412,y quién va a poner el ambiente ???????,
413,para todos los que dicen que la inseguridad... pues de una vez les informo que .. ya todo está en carpetas de investigación.. asi que no se preocupen... y para el. mundial .. habrá un chingo de seguridad lo que jamás en años se ha visto... ya lo verán para ese día México será diferente solo en lo que pasa el. mundial ja,
414,"cuantos turistas ya no regresarán a sus países, así como está la inseguridad en México ????",
415,km mexicano no me gusta q compartamos mundial con EU Y CANADÁ me parece injusto siempre a sido d un solo país los mundiales q poca m...,
417,"ESTA MUJER S VE ENFERMA, SE VE QUE NO HA DORMIDO!!!",
418,creo que no es la persona indicada para decir eso ??,
419,sino nos pueden cuidar a nosotros menos los turistas,
420,Ni de loco voy a México,
421,[Sticker] mi mamá diciéndome que no salga de mi cuarto cuando hay visitas,
422,lo tomaré pero me ofende muchísimo y por que no dejarlo así después del mundial?,
423,Que valor de los turistas,
424,@JustAnOrangeCat @Hake406 @Gámez U ´? ` U @MuffinTime,
425,"Y con un país lleno de inseguridad, como le harán????",1.0
426,jajaja para decir en mi trabajo que me dieron permiso de faltar,
427,De por sí ya es un caos la CDMX ??,
428,Todo muy bonito pero ojalá no sean víctimas del crimen organizado. No pueden brindarnos a nosotros seguridad menos a los turistas.,
429,[Sticker] que salgamos dice ????,
430,Cómo que me dan ganas de salir en pijama y despeinada todo el día,
431,????????,
432,[Sticker] Que hagamos fiesta al lado del mundial dice,
433,más bien salgamos hay que disfrutar de los turistas,
434,"[Sticker] YO NO QUERÍA SALIR PARA EVITAR EL TRÁFICO, ahora tendré que salir",
435,??????????????????????,
436,??????,
437,¡No salgan de sus casas para que no asusten a los turistas faltó decir!...??,
438,Ya quiero ver a esos Futbolistas ??????,
439,cómo que suspender clases ?? en mi niñez el maestro nos puso a ver el partido en el salón de clase ??,
440,Pobr3s Turistas que no volverán Asus países en un país peligroso que se le ocurrió hacer mundial a FiFa ????,
441,[Sticker] que salgamos entendí,
442,[Sticker] yo tengo otra idea,
443,wuuaaaooo excelente ????????,
444,wey jajajajaja hace meses estada asiendo burlas de eso con mi familia y ahora resulta que se hizo realidad ??,
445,p,
446,"no soy alguien de salir mucho, pero ya estuvo que esos días si o si voy a estar en la calle",
447,Soy mexicano y ojalá cancelen el mundial en México,
448,La marina de estados unidos va a visitar a Mexico ??,
449,"Detesto el futbol, y no me gusta salir, pero que les parece si esos días, nos organizamos y salimos todos Solo por molestar",
450,que quiere una manifestación,
451,??????,
452,Mientras me paguen mi salario no hay pex me quedo en mi casa,
453,??????,
454,"que quiere manifestaciones, dice",
455,Se me hace una falta de respeto?,
456,??????????,
457,cómo sabe que le pago sus viajes o que? de dónde saca ese dato????????,
458,"por qué se quejan? es una sugerencia aceptable, va a ser un maldito caos la ciudad",
459,hay que bendición trabajar desde tu casa bien cómodo,
460,Pobres turistas. van a venir con un chingo de miedo. ya que morena está con la delincuencia.,
461,Está horrible viajar en México el tráfico está horrible y la inseguridad,
462,Hay que sabotear el mundial,
463,Demasiado peligroso yo jamás viajo a México aunque me encanta mucho el Paiz pero muy peligroso.,
464,si me dan el día en mi trabajo va,
465,cómo que me dan ganas de viajar a CDMX ese día,
466,[Sticker] Mi humilde opinión,
467,@Clara Brugada,
468,[Sticker] Osea vamos a salir,
469,si me pagan esos días con gusto no salgo ni a tomar la Luz del sol,
470,[Sticker] ahí que salir solo molestar quien está conmigo,
471,En verdad está sra. está de jefa de gobierno?????,
472,Acuerden va aver secuestros también con esta presidenta ????,
474,??,
475,si me dan 500.000pesos y uno taquitos de pastor lo ago con gusto,
476,Es broma verdad ??,
477,"Entonces los comerciantes, guías turísticos, restaurantes, hoteles y demás no abran y disfrute su día en casita :)",
478,Que miedo ir al mundial a México,
479,God Bless Mexico ???? ????????????????????????,
480,como si estan cerrados los aeropuertos.???????,
481,ni mi casi nada me ocultó así,
482,Es broma verdad?,
483,"[Sticker] Pues usted no me manda,.",
484,cosas que nunca dijo,
485,"a caray, y quién nos va a mantener.",
486,Yo creo que ya no vendrá nadie ??,
