comentario,etiquetado_humano
uuy ya saben como nos encontramos los MEXICANOS con esta mal dita inseguridad mexico se desangra ahora la corrupcion nise diga,
GRACIAS PRESIDENTA TIENES TODO NUESTRO APOYO,
Ese nivel de inteligencia siempre eh pensado que tienen los políticos ????,
"yo por molestar si no salgo , saldría por decirme que hacer",
ahorita no estamos para esas cosas que se cancele,
keeeeeeeeee ???,
Yo no quería trabajar esos días pero creo que hasta caminando me voy a ir ??,
"México no , lo quieres tu ??",
deme $40000 a la semana mientras dure el mundial y tenemos trato,
lo que dice es que ese día los niños no tengan clases y que la gente trabaje en Home Office para que puedan disfrutar del mundial,
Que salgamos dice ??,
Ya se le olvidó lo de cambiar los Manzo,
"mis amigos y familiares que viajan s México desde Estados Unidos... regresan sin ninguna novedad, sanos y sin razguños y con mucha mercancía mexicana.",
lastima que en México es un país muy inseguro para los turistas,
??????,
pues uno de los atractivo turístico de mexico es la gente por que somos cotorros amables divertidos si no no van a tener la experiencia completa,
[Sticker] Como cuando te llevan de comer al sótano para que no salgas y avergüences a la familia.,
El Peso de la Copa,
déjame adivinar es otra frase sacada de contexto verdad?,
solo entendí que quiere ptzs,
"Ps tiene un punto, si todos salen imagínate el desastre que causaría la hora pico",
quién dijo eso que CHSM,
"no me agrada mucho salir, pero nomas por eso me voy a ir a dar la vuelta ??",
??????,
no debe haber ??,
que miedo ir a México y eso que soy de México,
Ora si yo voy a disfrutar de ellos ??????,
[Sticker] que salgamos dice,
@????ana ????gomez,
ojalá que todos lleguen bien de regreso a su país xq aquí en México hay magia se desaparece la gente,
que no es por eso sí no para no tener un impacto ambiental peorr,
[Sticker] ,
concuerdo con ella,
y cuantos regresarán salvos a su casas,
y mi me darán home office esos dias asi por mi bien,
"Cancelar clases cuando lo mejor es perder clase ""viendo"" el partido con amigos????!!!
(al menos yo no lo veía, yo me ponía a platicar con mis amigas xd)",
La barredora se está frotando las manos,
"es como si te dijera ""no salgas de tu cuarto, para que la visita se sienta agusto"" bro, aquí vivimos",
Hay paises donde suele ser al revez ??,
que salgamos a las calles a manifestarnos dice ??????,
Sólo me parece bien lo de las escuelas por temas de seguridad a los niños,
??????,
Es encerio! Es mas importante el mundial,
Qué manera de dejar de un lado todo lo que estamos pasando,
Van a ir 5.5 millones y como están las cosas van a regresar 2.7 millones hahaha,
"perdón!!??
cómo esta eso???",
manifestaciones manifestaciones,
entendido! que salgamos todos ??,
[Sticker] ¿QUEEEEEE?,
"Ya no, me parece que cancelaron por la inseguridad y solo será en USA y Canadá",
okey a hacer marchas entendí perfectamente ??,
y la inseguridad,
"no,no y no",
[Sticker] ,
o creo con tanto desorden que hay,
me gusta la idea pero solo si se pagan esos dias en los trabajos como dias de vacaciones,
"a cerrar estadios, aunque nos cueste que en México nunca haya mundiales.",
??????,
[Sticker] que hagamos fiesta en las calles dice?,
Entonces no van a ir a trabajar? Todo estará cerrado?,
yo entendí que durante ese tiempo salga todo el día??,
para que los roben ya sea los policías o los mismos delicuentes,
"Pon el video o la nota , un foto con un escrito como prueba ? ??",
Dice que todos salgamos a manifestarnos.,
se han dado cuenta que cómo quieres sabotear el pri y el pan los eventos y así todavía creen que alguien va a quererlos tener en la presidencia,
A cuántos de ellos los van a ?? por la inseguridad de México,
los que vayan cuidence mucho por la casa inseguridad ??,
Y para cuando lo de Carlos Manzo,
me han dado ganas de turistear mi ciudad con todos mis amigos y familia??,
mujer...,
[Sticker] Cómo ella pensó que reaccionaríamos todos los mexicanos:,
??????,
y tú regandola,
"todo aquel que quiera venir nuestro bello México todos sean bienvenidos, dejen de ver noticias amarillistas y tik tok, en todos los países hay inseguridad.",
Que dice Helen? ??,
jajaja viva morena jajaja jajaja,
"LE PREOCUPA MAS EL MUNDIAL LA SEÑORA, QUE EL PAÍS ESTA MAL",
Nuestra oportunidad para manifestarnos ??????,
cuánta lana tubo que soltar o acaso es otra cortina de humo para no Aser la marcha el 14 o 15 de noviembre ??????,
[Sticker] PS ahora salgo más y con pancartas en mano,
cuantos muertos pueden haber???,
yo solo escuche que salgan,
??????,
"Dios quiera y los otros Paise se unan y mo vayan.. Muy muy peligroso Mexico..
muchos cuidado!!!",
No olvidemos a Carlos Manzo,
Pobre de ellos ojalá no los maten,
bueno empiece por cancelar las citas en imss,
que salgan todos y muestren el hermoso tráfico de la vida diaria ?????,
y de que sirve si los impuestos del mundial van a correr por cuenta del pueblo,
??,
Y Ciudad de México sin Aeropuerto con capacidad para el mundial ??,
??????,
[Sticker] Que hagamos de las nuestras dice,
México,
jajajajajaja suerte con las empresas que hacen producción,
Jajajja me sentí como bebé paloma escondido por que le avergüenzo a mis padres jsjsjsjs,
??????,
nunca le digas a una persona que hacer porque siempre hará lo contrario y peor??,
que muero ir a México,
sorry nosotros no iremos ????????,
Visitantes se escribe con m de mujer ??,
Y el aero puerto de San Miguel Allende,
Por 3 pinches partidos…. ??,
"a bueno si ellos nos van un cheque de 100,000 pues no salgo para que no vallamos a trabajar y nos paguen las renta el agua la luz comida ??",
"si no salgo de mi casa, como crees que le voy hacer para probar el producto extranjero????",
Y la seguridad ? Dónde quedó??????,
Habló el experto,
??????,
y cuantos de esos volverán ah sus hogares?,
"Es que no van a terminar los arreglos del transporte a tiempo y no vamos a caber en los rtp, metro ni Mexibús",
ya cancelaron El mundial para mexico ya esta confirmado los partidos seran en estados unidos y Canada en mexico no ay seguridad,
Que miedo ir a Mexico es uno de los países mas peligrosos de latinoamerica,
ara eso si ahí dinero pero para proteger al pueblo ni madre dice,
"Suban la información bien, si lo dijo por escrito suban las capturas, si lo dijo en un en vivo suban la parte del en vivo. Si van a informar, informen bien.",
"yo no iba a salir, pero ahora me veo en la necesidad de salir esos días ??",
"no hay que ser groseros, me dice mi mamá que cuando haya visita tengo que salir a saludar",
Si no te cancelan el mundial ??????...,
"Como tal no digo eso, pero lo peor es que si lo da a entender ??",
????????????,
cómo e dicho no porque sean de Morena quiere decir que son buenos políticos. eso hubiera pesando antes de el mundial como solucionar ese problema,
awuiwi quiero ver manifestantes ?? es la más perfecta ocación,
así hubiera invertido en los hospitales ????,
JAJAJKAJA neta no es rage bait???,
revocación de mandato,
Y QUE TAL SI MEJOR RENUNCIA,
??????,
??????,
??????,
[Sticker] Que una manifestación dice,
Nmms jajaja,
"todo por eso tlaloc hará lo suyo , lluviaaaa",
??????,
??????????????,
@FIFA ojooo México está super insegurooo !,
Ablan de todo menos de Carlos Manzo,
No ma no que iban a suspender neta que vergüenza,
PRIMERO MÉXICO Y DESPUÉS EL DINERO!! Ya no tenemos medicamentos y la delincuencia EL DIA DE HOY NO ME DEJA TRABAJAR!!! No necesito un mundial. NECESITO UN MEXICO SEGURO!! Para recibir ingresos HOY!!!!,1
tenía que ser ??,
"La policía se frota las manos , de imaginarse ??????????",
[Sticker] que ?quiere que agamos manifestaciones,
jajaja qué mmada jaja,
"La cancion de ""la carencia"" de panteón rococo fue lo único que se me vino a la cabeza al leer esto",
manifestación !!!!,
En Jalisco van a suspender clases para que no haya tanta gente en la calle ??.,
Y crees claudia que deja mas dinero un mundial que todo inmigrante mandando dinero a mexico y visitando a nuestros pueblos ciudades y ranchos año con año ? Claro si trabajaras en mejorar la seguridad del pais primeramente !!!!!!!,
#TURISTANOVENGASAMEXICOPORTUSEGURIDAD,
??????,
[Sticker] QUE SALGAMOS DICE!!!,
oigan tienes razón hay que hacerlo así que los vendedores ambulantes los que venden los tacos los que venden en turismo todo lo que tenga que ver con trabajos sin importar que nos vamos a hacer esos ya sin trabajo así que los turistas pueden explorar pero lástima no se podrán llevar recuerdos porque nadie va a trabajar esos días ni los que venden para los turistas Pero qué se les puede hacer hay que respetar porque es buena idea,
Cuba?????,
????????,
??????,
"Ojalá cancelen la FIFA, a menos de que hagan algo con su narco gobierno",
300dlls al día y hablamos,
jajaja,
"a webo, las nuevas soluciones bienestar",
ya los conto??,
mil veces aldita Claudia,
????????,
Y van a trasparentar todo el ingreso o lo repartirán en la nómina de MORENA?,2
que dijo que salgamos todos para que nos vean los turistas jajajajaa,
si me dan para ir de vacaciones yo con gusto me largo los días para los que me alcancen,
No gracias,
si tan solo hubiera empezado el aeropuerto de peñas nieto otra casa sería.,
que nos manifestamos dice,
Como le van a hacer para darle servicios.?? El aeropuerto apenas puede mover a los locales,
y quién va a poner el ambiente ???????,
para todos los que dicen que la inseguridad... pues de una vez les informo que .. ya todo está en carpetas de investigación.. asi que no se preocupen... y para el. mundial .. habrá un chingo de seguridad lo que jamás en años se ha visto... ya lo verán para ese día México será diferente solo en lo que pasa el. mundial ja,
"cuantos turistas ya no regresarán a sus países, así como está la inseguridad en México ????",
km mexicano no me gusta q compartamos mundial con EU Y CANADÁ me parece injusto siempre a sido d un solo país los mundiales q poca m...,
[Sticker] ,
"ESTA MUJER S VE ENFERMA, SE VE QUE NO HA DORMIDO!!!",
creo que no es la persona indicada para decir eso ??,
sino nos pueden cuidar a nosotros menos los turistas,
Ni de loco voy a México,
[Sticker] mi mamá diciéndome que no salga de mi cuarto cuando hay visitas,
"lo tomaré pero me ofende muchísimo
y por que no dejarlo así después del mundial?",
Que valor de los turistas,
@JustAnOrangeCat @Hake406 @Gámez U ´? ` U @MuffinTime,
"Y con un país lleno de inseguridad, como le harán????",1
jajaja para decir en mi trabajo que me dieron permiso de faltar,
De por sí ya es un caos la CDMX ??,
Todo muy bonito pero… ojalá no sean víctimas del crimen organizado. No pueden brindarnos a nosotros seguridad menos a los turistas.,
[Sticker] que salgamos dice ????,
Cómo que me dan ganas de salir en pijama y despeinada todo el día,
????????,
[Sticker] Que hagamos fiesta al lado del mundial dice,
más bien salgamos hay que disfrutar de los turistas,
"[Sticker] YO NO QUERÍA SALIR PARA EVITAR EL TRÁFICO, ahora tendré que salir",
??????????????????????,
??????,
¡No salgan de sus casas para que no asusten a los turistas faltó decir!...??,
Ya quiero ver a esos Futbolistas ??????,
cómo que suspender clases ?? en mi niñez el maestro nos puso a ver el partido en el salón de clase ??,
Pobr3s Turistas que no volverán Asus países en un país peligroso que se le ocurrió hacer mundial a FiFa ????,
[Sticker] que salgamos entendí,
[Sticker] yo tengo otra idea,
wuuaaaooo excelente ????????,
"wey jajajajaja
hace meses estada asiendo burlas de eso con mi familia y ahora resulta que se hizo realidad ??",
p,
"no soy alguien de salir mucho, pero ya estuvo que esos días si o si voy a estar en la calle",
Soy mexicano y ojalá cancelen el mundial en México,
La marina de estados unidos va a visitar a Mexico ??,
"Detesto el futbol, y no me gusta salir, pero que les parece si esos días, nos organizamos y salimos todos
Solo por molestar",
que quiere una manifestación,
??????,
Mientras me paguen mi salario no hay pex me quedo en mi casa,
??????,
"que quiere manifestaciones, dice",
Se me hace una falta de respeto?,
??????????,
cómo sabe que le pago sus viajes o que? de dónde saca ese dato????????,
"por qué se quejan? es una sugerencia aceptable, va a ser un maldito caos la ciudad",
hay que bendición trabajar desde tu casa bien cómodo,
Pobres turistas. van a venir con un chingo de miedo. ya que morena está con la delincuencia.,
Está horrible viajar en México el tráfico está horrible y la inseguridad,
Hay que sabotear el mundial,
Demasiado peligroso yo jamás viajo a México aunque me encanta mucho el Paiz pero muy peligroso.,
si me dan el día en mi trabajo va,
cómo que me dan ganas de viajar a CDMX ese día,
[Sticker] Mi humilde opinión,
@Clara Brugada,
[Sticker] Osea vamos a salir,
si me pagan esos días con gusto no salgo ni a tomar la Luz del sol,
[Sticker] ahí que salir solo molestar quien está conmigo,
En verdad está sra. está de jefa de gobierno?????,
Acuerden va aver secuestros también con esta presidenta ????,
[Sticker] ,
??,
si me dan 500.000pesos y uno taquitos de pastor lo ago con gusto,
Es broma verdad ??,
"Entonces los comerciantes, guías turísticos, restaurantes, hoteles y demás no abran y disfrute su día en casita :)",
Que miedo ir al mundial a México,
God Bless Mexico ???? ????????????????????????,
como si estan cerrados los aeropuertos.???????,
ni mi casi nada me ocultó así,
Es broma verdad?,
"[Sticker] Pues usted no me manda,.",
cosas que nunca dijo,
"a caray, y quién nos va a mantener.",
Yo creo que ya no vendrá nadie ??,
"Soy de Guadalajara y me da vergüenza de cómo está de sucia la ciudad, sobretodo en zonas como la americana y zona centro, quitaron los botes de basura ?? según porque ya no les pagaron la concesión. Alguien sabe algo de esto?",
Cuantos vuelos va a recibir el AIFA ??????,
[Sticker] oilaaaaaa,
no es mala onda pero va haber un robadero y ahí la gárgola se va hacer la que no sabe como es su costumbre,
Hay q salir todos ????????,
será el mejor mundial y el pais muy hermoso,
A ver si no los desviven,
pero hay que salir a ligar,
[Sticker] Todos saliendo a las calles ??,
que smosh en la plaza dice,
@Oscar Ceh ??,
[Sticker] ,
si y van a mirar el desmadre que tiene México y aver si no se los levantan,
[Sticker] Que salgamos dice,
a si como está la seguridad no creo,
"Pero si solo habrá 13 paridos y varía de local de México , dudo mucho con todo respeto que haya más de 1 millón de personas",
y la inseguridad,
"Habiendo cosas más importantes, se pone a hablar de pendejadas*???????? fuera morena",
[Sticker] ni mi mamá se avergüenza tanto de mi,
"Soy de la CDMX pero la verdad que ni vengan , esta mujer debería ver mejor la seguridad de mi país antes de todo si es una basura de seguridad",
??????,
iban a venir,
"Ya lo dijo Fox:
-cenas y te vas ...",
y a esos también los va a desaparecer?,
??????????????????????????????????????,
[Sticker] que nos manifestamos? va,
"Como que ya me dieron ganas de trabajar e ir a la oficina esos días, y lo mejor está a la vuelta del estadio ??????",
que salgamos diceee,
2 de octubre no se olvida,
Y usted cree que la gente va a ir después de todo lo que está pasando en México ????,
[Sticker] Dice que hagamos manifestaciones?,
"ni iba a salir porque que hueva y que oso el fútbol, pero adivina qué, mi ciela",
"De miedo de los narcos, yo no iría, ni aconsejo que vaya nadie con ese narcogobierno y corruptos",
Ya lo canceló FIFA se va para Canadá oh EEUU,
queeeeee carajos ay que salir más y ASER ver al mexicano que somos viva México lindo ??,
Televisa he hechara a perder con sus jugadores el evento ya se sabe!!,
la FIFA ya cancelo por mucha inseguridad en México,
pues por ahí dicen q la FIFA ya no quiere ir a México,
[Sticker] ,
Con el simple echo de ver esa calaca ninguna noticia es importante puro circo ?? no me arrepiento de no aver votado por ella ??,
Ya saben si vuelven a votar por una mujer ????,
No sería mejor reparar el metro para que todas las líneas y las unidades estén en funcionamiento.,
"yo tengo una mejor, y si todos los locales se cierran ??",
????????,
Mate eso nunca pasó,
chin tiene que hacer un fuerte gasto para el mundial ojalá que con eso se pueda recuperar la bolsa,
Mejor invertir en las carreteras de los pueblos,
Teotihuacán 20 de abril dando una buena imagen a los turistas ??,
jajajaja que los trabajadores tampoco salgan para que los turistas disfruten ????,
lo más gracioso que dijo qué vara movilizar en transporte público o a los turistas,
