comentario,rango_humano,,,,,,
Que todo el mundo vea lo que vivimos en México,3,,,,,,
Y si mejor sacan un plan para proteger a México siempre y no solo durante el mundial?,3,,,,,,
si asen eso para un evento deportivo.... por que no aserlo siempre para seguridad de todos nosotros los mexicanos,3,,,,,,
pongan subtitulos en inglés para que se haga eco a nivel internacional por favor,3,,,,,,
Es una vergüenza nuestro gobierno 🥺,1,,,,,,
"¿Por qué no hacen eso siempre?
Yo desde los 15 años salgo de mi casa con más miedo de la policía que de los delincuentes.",1,,,,,,
Que fuerte realidad 😞,2,,,,,,
Ocultan la verdad.,2,,,,,,
oraleee así deberían de proteger a su pueblo y no solo a los extranjeros 😕,2,,,,,,
"lo más triste del asunto es que por más que luchen para que no haya mundial,el gobierno no les va hacer caso,van a seguir con el mundial y seguir invirtiendo en el mundial,es triste y da rabia",1,,,,,,
El mundial dará mucho empleo y dinero del turismo 😩 así que yo sí estoy de acuerdo con el mundial,5,,,,,,
Por qué si tienen tanto no combaten a los narcos,3,,,,,,
prefiero seguridad que un stupido mundial de futbol,1,,,,,,
[Sticker] Dios mío,3,,,,,,
Para los 4 partidos del mundial que va haber como que invirtieron de más no??,3,,,,,,
"Ya no pongan sus fotos ahorita, pongalas antes del mundial 🙈",3,,,,,,
justicia mexicanos,3,,,,,,
Prefiero no tener mundial!!,1,,,,,,
"La mediocridad del Gobierno y la borregada no da pa más en fin .
#LA JUSTICIA NO EXISTE NI EXISTIRÁ MIENTRAS NO SE #REFORMEN LAS LEYES A FAVOR DE LAS VÍCTIMAS.",1,,,,,,
Cómo apoyo para que se haga eso en la cdmx también??,4,,,,,,
Es más seguro ir a jugar a Israel o iran que a México 🤣🤣🤣,3,,,,,,
Cuándo va a cambiar la historia?,3,,,,,,
"prefiero un México sin desaparecidos, que un mundial, espero que puedan encontrarlos y los familiares tengan paz",2,,,,,,
[Sticker] pero ella jura que todo está bien,3,,,,,,
"Que raro que no lo terminaron con la palabra ""Bienestar"" 😂",3,,,,,,
Ojalá todos encuentren a sus seres queridos! fuerza y suerte 🫶🏼,2,,,,,,
Ósea que si tienen el armamento para combatir el narco solo no les importa lo mexicanos,2,,,,,,
se debe informar que solo sería para el mundial y como objetivo los extranjeros y que después del mundial será como cuando desinstalas una app de celular 📱😅,3,,,,,,
Siguen adelante en El Poderoso Nombre de Jesús . Sigan y pídanle a Dios que El Sea su. Guardador,3,,,,,,
el chiste se cuenta Solo este gobierno parece una burla,1,,,,,,
"Muyyy triste de verdad, me dueles México 🥺",1,,,,,,
😡😡😡 que coraje meda todo esto. sólo hay seguridad. porque va a ver mundial,1,,,,,,
Que lamentable! Apoyos a las familias afectadas! 🙏🙏,2,,,,,,
"No queremos Mundial, queremos un México seguro… 👊🏻",1,,,,,,
Qué cosas y por el pueblo mexicano no mueven un dedo😡😡😡,2,,,,,,
A lo mejor alguien entre mucha gente durante el mundial puede ser que ha visto o conocer a un desaparecido esto ayudará mucho,3,,,,,,
Apoyo total a este movimiento 👏,5,,,,,,
Welcome to Jalisco,4,,,,,,
Que feo que se enfoquen en esto en vez de proteger al pueblo,2,,,,,,
"osea que si se puede, nomás no quieren",3,,,,,,
"Si buscan la ruleta rusa con su seguridad, México es la opción",2,,,,,,
"❌seguridad en el país
✅seguridad por un partido de fútbol",3,,,,,,
seguro harán un trato con los narcos,1,,,,,,
"Ku-Kul-Kan, suena conocido de algo.... 🤔🤔🤔",3,,,,,,
"encontrar a los desaparecidos, y subir los sueldos (no puede ser que en nuestro país casi un 70% trabajen en la informalidad o sin prestaciones de ley) y un 49% de los egresados de universidades se encuentran en desempleo",3,,,,,,
Y cuando termine el mundial? Regreso a la realidad 💀,3,,,,,,
"A veces no dimensionamos las situaciones hasta que nos pasan, no se que sería de mi si alguien de mi familia desaparece y poca madre de los gobernantes por hacerse pendejos con estos temas",1,,,,,,
yo también tengo un hijo desaparecido y nadien me a escuchado no ay seguimiento de nada,1,,,,,,
ojalá se cancele,1,,,,,,
a veces pienso que lo hacen con sarcasmo para tener muchas vistas😏,2,,,,,,
nos hace falta unirnos como sociedad y cuidarnos entre todos.,3,,,,,,
"osea que habrá protección para que se pueda jugar al fútbol, pero no hay protección para tener una buena calidad de vida.",2,,,,,,
proteger a los Mexicanos:❌️proteger a los turistas:✅️,1,,,,,,
oye espérate si no estamos en wakanda,3,,,,,,
"Todo el mundial va ser en México y Canadá, porque usa 🇺🇸 no participará por lo que ya saben 😅😅😅",3,,,,,,
Osea que siempre han podido defender a la población? Les valía madres antes o que?,1,,,,,,
Que tristeza😔,1,,,,,,
"Mientras el gobierno invierte millones en eventos como el Mundial de fútbol, miles de familias siguen buscando a sus desaparecidos sin apoyo suficiente, sin respuestas y sin justicia.
No puede haber celebración completa en un país donde tantos padres siguen buscando a sus hijos. La prioridad debería ser la seguridad, la verdad y la dignidad de las víctimas.",2,,,,,,
en día de mundial hay que hacer una marcha por los desaparecidos 😔,1,,,,,,
No se que da más miedo que México puede 💀 o que México no quiere 💀,1,,,,,,
"En el parque de la ciudad donde vivo nunca habia visto pegados panfletos de desaparecidos y cuando recién pase y los vi fue un shock, se sintió muy triste🥺",1,,,,,,
"Es decir, que sí pueden combatir la delincuencia, pero no lo hacen todos los días 😅😂😂",1,,,,,,
Ósea si pueden y tienen poder solo no quieren,1,,,,,,
"No al mundial, matan mujeres todos los días y no las protegen",1,,,,,,
[Sticker] No ven TV Azteca,3,,,,,,
no al mundial,1,,,,,,
Y por qué 15 días antes y 15 días después??? Por qué no dejarlo así siempre,3,,,,,,
México no necesita tener un mundial para tener toda esa seguridad la necesita siempre para todos los mexicanos que triste ver la realidad del gobierno,1,,,,,,
🙏🏻 Dios les de fuerza y les devuelva a sus hijos,2,,,,,,
-proteger a los Mismos Mexicanos en su País Mexicano Respuesta: NEGATIVO!,1,,,,,,
"Para los que no entienden, ojalá nunca les toque buscar un familiar o que sean ellos a los que los tengan que buscar",1,,,,,,
TODOS los mexicanos conocemos o sabemos de alguien que está desaparecido o ha sido afectado por el crimen.,1,,,,,,
"Es que entiendan, no están en contra del mundial ni nada, sino que están en contra de que se gasten miles de millones de pesos en remodelaciones innecesarias solo para verse ""bonita"" para menos del mes, mientras no hay dinero para búsquedas de desaparecidos, no hay dinero para medicamentos, no hay dinero para nada",2,,,,,,
Y la de proteger al pueblo siempre no se la saben?,2,,,,,,
[Sticker] Donde se puede donar para que impriman más?,3,,,,,,
no queremos mundial gobierno mediocre queremos seguridad de nuestro país queremos nuestros ecosistemas limpios queremos que no destruyan nuestros ecosistemas y acaben con la naturaleza queremos un país con soberanía,1,,,,,,
"Me gusta mucho el fútbol, pero ha llegado el momento de que miles de voces sean escuchadas, de que todos nos unamos.",4,,,,,,
"osea que para el mundial si tienen seguridad pero para el día a día no 🗿
grande mi país (saquenme de aquí)",3,,,,,,
"Llenen este carrito de super , yo empiezo 🛒",3,,,,,,
que miedo 😔,1,,,,,,
si tan solo usaran toda esa organización y poder para realmente limpiar y cuidar el país 😔,1,,,,,,
necesitamos seguridad no mundial,1,,,,,,
El sábado fui al centro es una tristeza ver tantos carteles de personas desaparecidas !! Que miedo 🥹,1,,,,,,
"No vengan ,no les crean",1,,,,,,
"No me interesa el mundial aquí, me interesa la seguridad de mi pueblo, el hambre de mi país",1,,,,,,
Entonces tomaremos la seguridad como privilegio de algunos cuantos …😡😡😡,1,,,,,,
[Sticker] ,3,,,,,,
Nos puede des decir de donde sale o que significa KUKULCAN me suena a cucurrucucu hay México,3,,,,,,
Pero Dice Tu Tía Claudia Que Cada Vez Estamos Mejor,2,,,,,,
Lo que me imaginé …..,3,,,,,,
osea que si pueden proteger 😳 pero no quieren😳😳😳,1,,,,,,
E lugar de mi dial y trenes busque allude con los desaparesidos,3,,,,,,
"ven que si tenemos la capacidad de controlar la violencia en mexico, armamento, gente pero nomas les vlvga al gobierno",1,,,,,,
Los policías también roban ojo ahí turistas ojalá no vengan 😐,1,,,,,,
Si hablamos de Mexico no confío ni en la policía,1,,,,,,
Se va poner de acuerdo Harfuch con los capos con los que tiene acuerdo para que ese mes no hagan nada y van a decir que el plan que propusieron dio resultado 🤣🤣🤣🤣🤣,1,,,,,,
un poco mas y es el.plan kukusklan 😂😂😂,3,,,,,,
Por que no posieron eso para acabar con los carteles,1,,,,,,
Hay que cancelar el mundial eso no es importante lo importante es tratar los problemas del país,1,,,,,,
Imaginen esto en Sinaloa también ?,1,,,,,,
Lo chistoso es que esos 3 aviones caza F5 son todos los que tiene la Fuerza Aérea jajajaja,3,,,,,,
"osea hacen de cuidado solo cuando es mundial
pero el resto del año q se chinguen el pueblo",2,,,,,,
De que sirve si les da miedo enfrentar a los delincuentes,1,,,,,,
[Sticker] igual el mundial mexico no va pasar de cuartos,3,,,,,,
"no protege ni a los ciudadanos,que va proteger a los turistas",1,,,,,,
"Justicia para los desaparecidos, no quiero mundial quiero un Mexico seguro",1,,,,,,
"imponer el plan Kukulkán en México para que acaben con la violencia ❌
imponer el plan Kukulkán solo para el mundial y atraer extranjeros ✅",3,,,,,,
lamento mucho su dolor mamitas y papitos😢,3,,,,,,
"[Sticker] Cómo se notan las prioridades, no se dejen que vean lo que realmente importa!",2,,,,,,
"Mi apoyo desde España, comparto . Mucha fuerza para las Familias",3,,,,,,
"Que hermosa campaña, no se dejen, estamos con ustedes. 🥺😭",4,,,,,,
Gobierno de asco .....,1,,,,,,
Osea que si se puede reforzar la seguridad?... Interesante,2,,,,,,
triste realidad de México 😡😡😡😡,1,,,,,,
y la seguridad despues del Mundial que? cual plan ?🤔🤔🤔,1,,,,,,
"[Sticker] Ellos no deben ser invisibles en el Mundia, ellos deben ser los mas presentes en el Mundial, que el mundo vea rosotros de gente que puede ser encontrada gracias a la difusion",2,,,,,,
Duda latinus es independiente o pertenece a alguna televisora ?,3,,,,,,
los comentarios ocultos 👀,3,,,,,,
"pero ya están vendidos todos los boletos y la venta de playeras no para y no se diga del álbum que es todo un fenómeno nacional más de 1500 albums vendidos diariamente y 10 mil sobres con las cartitas, también",3,,,,,,
[Sticker] ojalá encuentren a los desaparecidos,3,,,,,,
Dios los bendiga salmos92:10-12 y salmos94:1-23,3,,,,,,
Su mirada 🥹,3,,,,,,
"Escuchen bien , dijeron proteger a los turistas y a los equipos, porque los mexicanos no les importamos",1,,,,,,
El mundial es cada 4 años y desaparecidos hay siempre pueden esperar.,2,,,,,,
"de por sí me cae mal el futbol, ahora mas",2,,,,,,
[Sticker] mientras tanto claudia:,1,,,,,,
La tristeza 😭,1,,,,,,
y porque no hacen eso siempre pero para todos los mexicanos???😏😏😏,2,,,,,,
"Ya vimos que si no le beneficia al gobierno no hace nada respecto a la seguridad 🤷🏽‍♂️, mientras después que pase la FIFA otra ves a números rojos",1,,,,,,
🚫 NO AL MUNDIAL EN MÉXICO 🚫,1,,,,,,
"Ahi vemos que es prioridad para los gobiernos, que tristeza",1,,,,,,
"y despues del mundial, q nos lleve la chingada a todos los demas",1,,,,,,
jajajaja no tenemos ese tipo de aviones 😂😂😂,3,,,,,,
NO AL MUNDIAL EN MEXICO 🇲🇽.. para proteger extrangeros hacen todo y NOSOTROS ??,1,,,,,,
"Se jactan, presumen de tanta seguridad y saben perfectamente que nada esta bien en éste país, ojalá no hubiera mundial.",1,,,,,,
ojala cancelen el mundial,1,,,,,,
[Sticker] ,3,,,,,,
[Sticker] NO QUEREMOS MUNDIAL,1,,,,,,
[Sticker] ,3,,,,,,
"Seguridad para la gente del Mencho
Seguridad para extranjeros
y para cuándo la seguridad para los ciudadanos?
Bueno igual se les olvida un poquito cuando tienen que ejercer sus derechos y ver a Shakira",,,,,,,
"Deberían cancelar el mundial en México, por seguridad no deberían hacerlo acá",,,,,,,
Para mí que gana Portugal,,,,,,,
ojalá los encuentren! dios los bendiga 🙏,,,,,,,
NO AL MUNDIAL,,,,,,,
El gobierno que hace para el mundial? Si el mundial lo hace la FIFA?,,,,,,,
Qué pena que sea para cuidar a los turistas y no lo hagan siempre para cuidar a los mexicanos,,,,,,,
Apoyo la manifestación el día del mundial 🙌,,,,,,,
Porque no entienden que no se trata de partidos políticos ni gobiernos se trata de quien Gobierna cada entidad quien este en la presidencia es lo mismo hará lo que pueda en su gobierno pero los que son los Gobernadores delegados o presidentes de cada entidad son los que hacen lo que quieren,,,,,,,
el dinero y el football es más importante que las vidas de la gente todo mundo lo sabe,,,,,,,
el mundial es un tape de ojo Pará lo que se viene todo lo que roba el gobierno,,,,,,,
ni regalado,,,,,,,
todo eso para proteger extranjeros pero a los mexicanos que nos lleve la chgda 😅,,,,,,,
Ojalá cancelen el mundial,,,,,,,
Que tristeza,,,,,,,
ya ven que no terminan con el narco nada más porqué no quieren,,,,,,,
"Osea, se preocupan por todos, menos por nosotros los MEXICANOS 😔",,,,,,,
Queremos seguridad no Mundial.,,,,,,,
[Sticker] ,,,,,,,
Por qué no hablan de cancelar el mundial en Estados Unidos por riesgo a un ataque 🙄,,,,,,,
Ya que cancelen el mundial por fsvooooor,,,,,,,
"si ellos mismos te roban también es algo que no tiene sentido, deben tener más cuidado ya que te quitan dinero",,,,,,,
para que tanta seguridad si se trata de un evento deportivo?,,,,,,,
que impotencia 😫😫😫😫,,,,,,,
"Tienen razón, no se vale!!!",,,,,,,
[Sticker] espero que algún día tenga respuesta de donde esta sus ijos,,,,,,,
"México protegiendo a todos menos a los mexicanos, ojalá no haya mundial neta",,,,,,,
BOICOT AL MUNDIAAAAAAAL,,,,,,,
Mucha fuerza y luz para todos los padres buscadores 🙏🏻,,,,,,,
"Y los medicamentos en los. Servicios de salud, para cuando????",,,,,,,
Deja tu flor (interactuando) 🌸👇🏻,,,,,,,
"no necesitamos un mundial , necesitamos apoyo para las madres buscadoras !!",,,,,,,
no queremos mundial,,,,,,,
[Sticker] ,,,,,,,
Entonces si había tecnología para acabar con el crimen organizado??? Pero no querían trabajar ???,,,,,,,
por favor FIFA cancele el mundial en México está muy muy peligroso,,,,,,,
Plan para defender a los ciudadanos? NAH AQUI NO HACEMOS ESO,,,,,,,
Que nos quieren decir que si se puede hacer operativos de seguridad pero no para el pueblo bueno y pero si para los turistas.... Que cinismo de este gobierno,,,,,,,
duele mucho este tema estos hechos duelen mucho 😞😞😞,,,,,,,
Terminando el mundial continuamos sin seguridad,,,,,,,
Marcha el día de la inauguración!!,,,,,,,
"Es que, el mundo se acaba para unas personas y sigue para otras, los que no tienen problemas si desean el mundial, lo siento en verdad por los que una tristeza o injusticia hará que vean al mundial como un gasto innecesario",,,,,,,
Toda mi empatía con los padres buscadores.,,,,,,,
"Plan para que el país mejore : ❌
Plan para el mundial solamente: ✅",,,,,,,
Reclámale a tu gobernador,,,,,,,
No sabía que contábamos con tantos elementos de defensa aérea en el país. además por qué mencionan medidas y entrenamiento contra terrorismo?...,,,,,,,
[Sticker] ,,,,,,,
Va a ser un CAOS total,,,,,,,
Ah bueno los mexicanos valemos madre,,,,,,,
¿Con quién nos comunicamos para apoyar con la impresión y el pegado de fichas?,,,,,,,
Todo sea por el futbol y a la población que se la lleve el cuerno,,,,,,,
México es un estado fallido,,,,,,,
Por Que no implementan un plan para todo Mexico ?,,,,,,,
[Sticker] No queremos mundial!!,,,,,,,
"@__carolom__: Lo ideal sería boicotear el mundial y no acudir al estadio, no consumir de las marcas patrocinadoras ... pero seguiré soñando, porque en mi México mágico eso jamás sucedería",,,,,,,
"Entonces para el gobierno es prioridad la seguridad de 5.5 millones de turistas por 1 mes, que la de 134 millones de mexicanos todo el año?",,,,,,,
"Eso significa que si pueden implementar seguridad, solo que no les interesa proteger a los mexicanos",,,,,,,
"esto ya es demasiado grave, par nuestro país",,,,,,,
"nosotros como mexicanos debemos cancelar dicho mundial, ya que el dinero recaudado no es para el país, es para el gobierno.
Dos, quien nos asegura que no va ver atentados, en los estadios, hoteles, avenidas principales.
mejor cancelarlo",,,,,,,
Eso no le importa al gobierno. Tristemente 😔😔😔😔,,,,,,,
Bravo por esa gente 🙏🏻👏🏻👏🏻👏🏻👏🏻,,,,,,,
SE APLAUDE Y LA PREGUNTA ES ..y porque no hacerlo Permanente para cuidarnos a los Mexicanos que vivimos aqui?,,,,,,,
"[Sticker] Yo te apoyo por qué hoy son tus hijos,Mañana NO quiero que sean los míos ❌",,,,,,,
"neta méxico tiene todo para ser primer mundo, pero a los del poder se les sube el poder, se dejan ganar y les gana el hambre de más poder.",,,,,,,
el plan Kukulkán llegó para quedarse o solo será temporal mientras está el mundial 🤔🤔,,,,,,,
Solo pensar en México da miedo,,,,,,,
q sean encontrados 🙏,,,,,,,
"Muy bonito todo, pero es obvio que no se cuenta con el personal y mucho menos con el equipo táctico indispensable para garantizar seguridad",,,,,,,
Me encanta el futbol y me llena de mucha alegría que los mexas sabemos que aquí lo importante son nuestros desaparecidos la exigencia de seguridad y una vida digna para todos mis compatriotas,,,,,,,
[Sticker] ,,,,,,,
si de mi dependiera sería ÚNICAMENTE EN CANADÁ.,,,,,,,
México NIEGA la violencia y desapareciones,,,,,,,
"Yo si los apoyo, Por qué yo no sé que haría si alguien forma parte de mi vida desapareciera. 🥹💔
#Noalmundial",,,,,,,
Que ganas de ser extranjera en mi país 🤦🏻‍♀️,,,,,,,
Exacto,,,,,,,
en culiacán hay soldados en cada esquina y no sirve de nada desviven ahí cerquita de ellos siempre llegan y no agarran a nadie,,,,,,,
ese es el verdadero mexico .....,,,,,,,
Es correcto y Peña Nieto no hubiera aceptado el mundial que desde un inicio de ser aceptado se empiezan con gastos pequeños propaganda y otros gastos pequeños si desde los 43 normalistas que son 43 jóvenes que no dio explicaciones de donde quedaron así como muchos que han desaparecido años antes ningún presidente a puesto una jurisdicción especializada solo para personas desaparecidas que desde 1980 a estado pasando esto.,,,,,,,
Cuanto dura el mundial? Para saber cuánto tiempo podré vivir sin tanto miedo a no volver a casa,,,,,,,
Por qué no hicieron esto cuando Carlos Manzo pidió ayuda?,,,,,,,
No mms 🤣 es un chiste el gobierno mexicano! 🙄,,,,,,,
Si si aún que estamos ya entrando a la fiebre mundialista no hay que olvidar la realidad de nuestro país que tenemos cientos de desaparecido y no hay que ser indiferentes porque no sabes cuando alguien puede estar en esos zapatos de papas buscando a sus hijos,,,,,,,
Osea tiene equipamiento y no lo usan en contra del narcotráfico,,,,,,,
Por los gobiernos no les interesa alas personas,,,,,,,
pero les apuesto que muchos vieron la final verán su mundial así quie hoy no joven gracias,,,,,,,
Solo por el mundial jajajaa y el resto del año nada 💔,,,,,,,
Excelente 👍👍👍,,,,,,,
Que miedos ir a México ya no iré al mundial,,,,,,,
no queremos mundial!,,,,,,,
y porque no aplican eso a diario?😂,,,,,,,
"Solo lo van a hacer por el mundial y turistas, porque no hacen esto todos los días",,,,,,,
"Y no podría ser todos los días para protegernos ??? no sé,se me ocurre.",,,,,,,
cancelen el mundial,,,,,,,
Y como van a vigilar el metro? recuerdan todos los piquetes que hubo meses antes?,,,,,,,
cuál mundial si son como 10 pedorros partidos,,,,,,,
Deberían apoyar más a las marchas y no ir al mundial o comprar boletos,,,,,,,
si no ubiera mundial no hacen eso,,,,,,,
Listo para la inaguración junto a mi familia 😎😎,,,,,,,
De seguro los otros países están muy protegidos no tiene. Problemas,,,,,,,
Todos dicen lo que pasó en Méx pero EU está en una guerra jajajaj la vida diplomática es un chiste .,,,,,,,
"solo por el mundial,, ya después vuelve lo normal , inseguridad, robo, y lo mismo de siempre 😂😂😂",,,,,,,
"Soy de España y se me encoje el corazon con vosotros,no visito mexico por estas cosas no me trae seguridad pero mira que si e un sitio muy prometedor 🥺🥲 ojala os ayude alguien aunque sea Trump ya que Claudia....",,,,,,,
y por que asta orita salen aser eso,,,,,,,
Tanta seguridad para extranjeros y para los mexicanos nada.,,,,,,,
[Sticker] ,,,,,,,
"no sé si todas las personas sepan lo que es perder un hijo, yo no! pero si me llegará a pasar sé que estaría con ellos buscando hasta en las coladeras, desiertos , etc.
y no me gustaría pasar ningún nadie pasara por eso. talvez no puedo apoyar directamente a toda esta gente buscadora.
pero no podemos ser indiferentes , así como sienten la unión en el mundial, diciéndonos hermanos, así deberíamos apoyar está ocasión.
Amo el fut pero es primero nuestro país y nuestra gente.",,,,,,,
[Sticker] Me dolió tanto ver este reportaje,,,,,,,
¿Cómo podemos registrarnos como turistas aunque seamos locales? Nos urge sentirnos seguros,,,,,,,
"Ósea que mexico mágico si puede tener seguridad, pero no quiere su gobierno?",,,,,,,
[Sticker] Por qué siguen insistiendo con el mundial?,,,,,,,
"se imaginan q hicieran esas grandes estrategias en michoacan, sinaloa bueno en todo mexico, o sin necesidad de la inauguración del mundial, la verdad mexico sería otra historia 🥺",,,,,,,
México narco,,,,,,,
Y por qué no hacen eso siempre y no solo para el mundial en lugar de gastar nuestros impuestos en croquetas del bienestar,,,,,,,
Todo para aparentar que este es un país seguro 😒,,,,,,,
pero nadie va a decir no al dinero que va a llegar al pais,,,,,,,
"que tal si mandan hacer camisetas del Mundial con la foto del desaparecido y al reverso
MÉXICO NO BUSCA
acuden al estadio tanto dentro como fuera haciendo haci una protesta!!!",,,,,,,
una manifestación en todo el país el día del mundial,,,,,,,
Ejemplo de fortaleza todas esas familias 🥹,,,,,,,
